,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,4.108e-08,1.28375e-09,1.0,3.556e-08,1.11125e-09,1.155230596175478,7.49053e-05,2.340790625e-06,0.0005484258123256967,7.50748e-05,2.3460875e-06,0.0005471876048953844
1,6,64,2.728e-08,4.2625e-10,1.0,2.432e-08,3.8e-10,1.1217105263157896,0.000179029,2.797328125e-06,0.00015237754777159006,0.000180953,2.827390625e-06,0.000150757378987914
2,7,128,2.368e-08,1.85e-10,1.0,2.264e-08,1.76875e-10,1.0459363957597174,0.000182047,1.4222421875e-06,0.00013007629897773652,0.000180322,1.408765625e-06,0.00013132063752620312
3,8,256,2.416e-08,9.4375e-11,1.0,2.416e-08,9.4375e-11,1.0,0.000180805,7.0626953125e-07,0.00013362462321285363,0.000179994,7.031015625e-07,0.00013422669644543706
4,9,512,2.42e-08,4.7265625e-11,1.0,2.492e-08,4.8671875e-11,0.971107544141252,0.000181156,3.538203125e-07,0.0001335865221135375,0.000180932,3.533828125e-07,0.00013375190679371256
5,10,1024,2.75e-08,2.685546875e-11,1.0,2.348e-08,2.29296875e-11,1.1712095400340716,0.000179777,1.755634765625e-07,0.00015296728725031568,0.000193176,1.886484375e-07,0.00014235722864123907
6,11,2048,3.66667e-08,1.7903662109375e-11,1.0,3.2e-08,1.5625e-11,1.1458343749999997,0.000193106,9.42900390625e-08,0.0001898786158897186,0.00019708,9.623046875e-08,0.00018604982748122588
7,12,4096,4.575e-08,1.116943359375e-11,1.0,4.24e-08,1.03515625e-11,1.0790094339622642,0.000180951,4.4177490234375e-08,0.0002528308768672182,0.000198881,4.8554931640625e-08,0.00023003705733579377
8,13,8192,4.725e-08,5.767822265625e-12,1.0,4.788e-08,5.8447265625e-12,0.9868421052631579,0.000190425,2.32452392578125e-08,0.00024812918471839307,0.000202084,2.466845703125e-08,0.0002338136616456523
9,14,16384,6.18333e-08,3.774005126953125e-12,1.0,5.604e-08,3.42041015625e-12,1.1033779443254819,0.000187577,1.144879150390625e-08,0.0003296422269254759,0.000200495,1.223724365234375e-08,0.0003084032020748647
10,15,32768,8.55e-08,2.6092529296875e-12,1.0,7.08333e-08,2.1616607666015625e-12,1.2070593915573609,0.00019538,5.9625244140625e-09,0.00043760876241171056,0.000206234,6.29376220703125e-09,0.00041457761571806785
11,16,65536,1.03e-07,1.5716552734375e-12,1.0,7.85833e-08,1.1990859985351562e-12,1.3107110543843283,0.000198095,3.0226898193359374e-09,0.0005199525480198894,0.000209294,3.193572998046875e-09,0.0004921306869762152
12,17,131072,1.41333e-07,1.0782852172851563e-12,1.0,1.455e-07,1.110076904296875e-12,0.9713608247422681,0.000191296,1.45947265625e-09,0.0007388183757109401,0.000211521,1.6137771606445312e-09,0.0006681747911554881
13,18,262144,1.93333e-07,7.375068664550781e-13,1.0,1.81583e-07,6.926841735839843e-13,1.0647087007043612,0.000192379,7.338676452636719e-10,0.0010049589612171805,0.000213262,8.135299682617188e-10,0.0009065515656797742
14,19,524288,1.87667e-07,3.5794639587402345e-13,1.0,1.65917e-07,3.1646156311035154e-13,1.1310896412061453,0.000199745,3.809833526611328e-10,0.0009395329044531778,0.000230337,4.393329620361328e-10,0.0008147496928413585
15,20,1048576,2.34667e-07,2.2379589080810546e-13,1.0,1.23333e-07,1.1761951446533204e-13,1.9027105478663453,0.000200135,1.9086360931396484e-10,0.0011725435331151474,0.000240233,2.2910404205322265e-10,0.0009768308267390409
16,21,2097152,1.64333e-07,7.836008071899414e-14,1.0,1.52167e-07,7.255887985229492e-14,1.0799516320884293,0.000202944,9.6771240234375e-11,0.000809745545569221,0.000234177,1.116642951965332e-10,0.0007017469691728905
17,22,4194304,2.49333e-07,5.944561958312988e-14,1.0,1.65333e-07,3.941845893859863e-14,1.5080655404547187,0.000224144,5.344009399414062e-11,0.001112378649439646,0.000250283,5.967211723327637e-11,0.0009962042967360948
18,23,8388608,2.18333e-07,2.6027321815490723e-14,1.0,1.93e-07,2.300739288330078e-14,1.131259067357513,0.000215562,2.569699287414551e-11,0.0010128547703212997,0.000256414,3.0566930770874024e-11,0.0008514862683004828
19,24,16777216,2.67e-07,1.5914440155029297e-14,1.0,5.30833e-07,3.1640112400054933e-14,0.5029830473990878,0.000347033,2.0684778690338135e-11,0.0007693792809329372,0.000261675,1.5597045421600342e-11,0.0010203496703926626
20,25,33554432,4.59e-07,1.3679265975952149e-14,1.0,3.07e-07,9.14931297302246e-15,1.4951140065146582,0.000331979,9.893745183944702e-12,0.0013826175752080705,0.000317005,9.447485208511352e-12,0.0014479266888534883
