,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,8.164e-08,2.55125e-09,1.0,1.0756e-07,3.36125e-09,0.7590182223875046,0.000142435,4.45109375e-06,0.0005731737283673254,0.000132591,4.14346875e-06,0.0006157280660074967
1,6,64,6.532e-08,1.020625e-09,1.0,9.686e-08,1.5134375e-09,0.6743753871567211,0.000138421,2.162828125e-06,0.00047189371554894126,0.000138999,2.171859375e-06,0.0004699314383556717
2,7,128,8.168e-08,6.38125e-10,1.0,9.308e-08,7.271875e-10,0.8775247099269446,0.000133695,1.0444921875e-06,0.0006109428176072403,0.000131765,1.0294140625e-06,0.0006198914734565325
3,8,256,6.004e-08,2.3453125e-10,1.0,9.464e-08,3.696875e-10,0.6344040574809805,0.000130124,5.08296875e-07,0.0004614060434662323,0.000128272,5.010625e-07,0.0004680678558064114
4,9,512,6.76e-08,1.3203125e-10,1.0,1.0618e-07,2.073828125e-10,0.6366547372386513,0.000133133,2.60025390625e-07,0.0005077629137779513,0.000134074,2.6186328125e-07,0.0005041991735907036
5,10,1024,7.65e-08,7.470703125e-11,1.0,1.0328e-07,1.00859375e-10,0.7407048799380326,0.000133131,1.300107421875e-07,0.0005746219888681073,0.000143411,1.400498046875e-07,0.00053343188458347
6,11,2048,7.20833e-08,3.5196923828125e-11,1.0,9.572e-08,4.673828125e-11,0.7530641454241538,0.000132818,6.48525390625e-08,0.0005427223719676551,0.000127893,6.244775390625e-08,0.0005636219339604201
7,12,4096,6.2e-08,1.513671875e-11,1.0,9.652e-08,2.3564453125e-11,0.64235391628678,0.000124669,3.0436767578125e-08,0.0004973168951383263,0.000131891,3.2199951171875e-08,0.0004700851460675861
8,13,8192,9.84167e-08,1.201375732421875e-11,1.0,1.0568e-07,1.2900390625e-11,0.9312708175624527,0.000130905,1.59796142578125e-08,0.0007518177304151866,0.000128089,1.56358642578125e-08,0.0007683462280133344
9,14,16384,1.155e-07,7.049560546875e-12,1.0,1.0832e-07,6.611328125e-12,1.066285081240768,0.000126676,7.731689453125e-09,0.0009117749218478638,0.00012726,7.767333984375e-09,0.0009075907590759076
10,15,32768,1.43833e-07,4.389434814453125e-12,1.0,1.42583e-07,4.351287841796875e-12,1.0087668235343623,0.000136938,4.17901611328125e-09,0.001050351253852108,0.000130385,3.979034423828125e-09,0.0011031406987000037
11,16,65536,1.38167e-07,2.1082611083984374e-12,1.0,1.58167e-07,2.4134368896484373e-12,0.8735513729159686,0.000125074,1.908477783203125e-09,0.0011046820282392823,0.00013432,2.049560546875e-09,0.0010286405598570578
12,17,131072,1.91e-07,1.45721435546875e-12,1.0,1.48667e-07,1.1342391967773437e-12,1.2847504826222365,0.000141257,1.0777053833007812e-09,0.001352145380405927,0.000129227,9.859237670898437e-10,0.0014780192993724224
13,18,262144,1.96833e-07,7.508583068847656e-13,1.0,1.66583e-07,6.354637145996094e-13,1.1815911587616983,0.000129365,4.934883117675781e-10,0.0015215320990994473,0.00012546,4.785919189453125e-10,0.0015688904830224771
14,19,524288,2.505e-07,4.777908325195313e-13,1.0,1.9675e-07,3.752708435058594e-13,1.273189326556544,0.00012665,2.415657043457031e-10,0.001977891827872089,0.00012457,2.3759841918945314e-10,0.0020109175563939956
15,20,1048576,2.53e-07,2.4127960205078125e-13,1.0,1.95167e-07,1.8612575531005858e-13,1.2963257108015187,0.000122238,1.1657524108886718e-10,0.0020697328163091677,0.000124949,1.1916065216064454e-10,0.0020248261290606567
16,21,2097152,2.94667e-07,1.4050817489624023e-13,1.0,2.39e-07,1.1396408081054688e-13,1.2329163179916318,0.000138264,6.592941284179688e-11,0.002131191054793728,0.000138954,6.625843048095703e-11,0.002120608258848252
17,22,4194304,3.2e-07,7.62939453125e-14,1.0,2.20667e-07,5.261111259460449e-14,1.450148866844612,0.000140689,3.3542871475219725e-11,0.002274520396050864,0.00015192,3.6220550537109374e-11,0.0021063717746182204
18,23,8388608,5.52667e-07,6.588304042816162e-14,1.0,3.88667e-07,4.63327169418335e-14,1.4219550412049387,0.000163374,1.9475698471069337e-11,0.003382833253761308,0.000167455,1.9962191581726074e-11,0.003300391149861156
