,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.0655999999999998e-07,3.3299999999999995e-09,1.0,5.843999999999999e-08,1.8262499999999998e-09,1.8234086242299794,9.72425e-05,3.038828125e-06,0.0010958171581355886,8.617790000000001e-05,2.6930593750000002e-06,0.001236511913147106
1,6,64,3.732e-08,5.83125e-10,1.0,3.32e-08,5.1875e-10,1.1240963855421686,8.59785e-05,1.3434140625e-06,0.00043406200387306125,8.127569999999999e-05,1.2699328124999999e-06,0.0004591778354415896
2,7,128,3.932e-08,3.071875e-10,1.0,3.658e-08,2.8578125e-10,1.074904319300164,8.294059999999999e-05,6.479734374999999e-07,0.000474074216969735,8.02297e-05,6.2679453125e-07,0.0004900928209877389
3,8,256,3.068e-08,1.1984375e-10,1.0,3.26e-08,1.2734375e-10,0.9411042944785276,8.1335e-05,3.1771484375e-07,0.0003772053851355505,7.971479999999999e-05,3.1138593749999997e-07,0.00038487206892572024
4,9,512,3.372e-08,6.5859375e-11,1.0,3.39e-08,6.62109375e-11,0.9946902654867257,8.14177e-05,1.590189453125e-07,0.0004141605572252716,8.00692e-05,1.5638515625e-07,0.00042113571760427234
5,10,1024,3.04167e-08,2.970380859375e-11,1.0,3.352e-08,3.2734375e-11,0.9074194510739857,8.02213e-05,7.834111328125e-08,0.000379159898929586,8.16643e-05,7.975029296875e-08,0.00037246018149913725
6,11,2048,4.9e-08,2.392578125e-11,1.0,2.9160000000000004e-08,1.4238281250000002e-11,1.680384087791495,8.03041e-05,3.9210986328125e-08,0.0006101805511798277,8.16133e-05,3.9850244140625e-08,0.0006003923380135346
7,12,4096,4.1583300000000005e-08,1.0152172851562501e-11,1.0,3.424e-08,8.359375e-12,1.2144655373831776,8.07708e-05,1.971943359375e-08,0.0005148308547148228,8.363319999999999e-05,2.0418261718749998e-08,0.0004972104379600447
8,13,8192,5.308330000000001e-08,6.479895019531251e-12,1.0,4.6440000000000004e-08,5.6689453125000005e-12,1.143051248923342,8.09384e-05,9.88017578125e-09,0.0006558481511865815,8.221110000000001e-05,1.0035534667968751e-08,0.0006456950460460935
9,14,16384,6.55833e-08,4.002886962890625e-12,1.0,4.612e-08,2.81494140625e-12,1.4220143104943626,8.0095e-05,4.88861083984375e-09,0.0008188189025532181,8.56224e-05,5.2259765625e-09,0.0007659596087005269
10,15,32768,7.2e-08,2.197265625e-12,1.0,5.46667e-08,1.6682952880859375e-12,1.3170723676388,8.22475e-05,2.5099945068359373e-09,0.0008754065473114684,8.47441e-05,2.5861846923828123e-09,0.0008496166694790552
11,16,65536,7.183330000000001e-08,1.0960891723632814e-12,1.0,6.8e-08,1.03759765625e-12,1.0563720588235295,8.22657e-05,1.2552749633789062e-09,0.0008731865163731666,9.06542e-05,1.3832733154296876e-09,0.0007923879974672988
12,17,131072,1.035e-07,7.89642333984375e-13,1.0,7.616670000000001e-08,5.811058044433594e-13,1.358861549732363,8.17346e-05,6.235855102539063e-10,0.0012662935892510637,9.20064e-05,7.01953125e-10,0.0011249217445742903
13,18,262144,1.36167e-07,5.194358825683594e-13,1.0,1.1808299999999999e-07,4.504508972167968e-13,1.1531465155864944,7.908350000000001e-05,3.016796112060547e-10,0.0017218130204151307,9.017790000000001e-05,3.440013885498047e-10,0.0015099819357070855
14,19,524288,1.3916700000000002e-07,2.654399871826172e-13,1.0,1.55e-07,2.956390380859375e-13,0.8978516129032259,8.121119999999999e-05,1.5489807128906249e-10,0.0017136429458005796,9.286790000000001e-05,1.77131462097168e-10,0.0014985479374466312
15,20,1048576,2.0866700000000002e-07,1.99000358581543e-13,1.0,1.7233299999999999e-07,1.6434955596923827e-13,1.2108359977485452,8.579180000000001e-05,8.181743621826173e-11,0.002432248769695938,0.00010204100000000001,9.731388092041016e-11,0.002044932919120746
16,21,2097152,1.3800000000000002e-07,6.580352783203126e-14,1.0,2.14833e-07,1.0244035720825195e-13,0.6423594140564998,9.23258e-05,4.4024372100830076e-11,0.0014947067883516853,9.803600000000001e-05,4.6747207641601566e-11,0.001407646170794402
17,22,4194304,2.6666699999999996e-07,6.357836723327636e-14,1.0,3.0383299999999997e-07,7.243943214416503e-14,0.8776762234516988,9.09647e-05,2.1687674522399902e-11,0.002931543774673032,0.00010417,2.4836063385009766e-11,0.002559921282518959
18,23,8388608,3.18e-07,3.790855407714844e-14,1.0,3.4549999999999996e-07,4.118680953979492e-14,0.9204052098408105,0.00018521599999999998,2.2079467773437498e-11,0.0017169143054595719,0.000114301,1.3625741004943848e-11,0.0027821278903946596
19,24,16777216,4.0833300000000003e-07,2.4338543415069582e-14,1.0,4.615e-07,2.7507543563842773e-14,0.8847952329360781,0.000172538,1.0284066200256347e-11,0.002366626482282164,0.00011373799999999999,6.779313087463378e-12,0.003590119397211135
20,25,33554432,4.56e-07,1.3589859008789063e-14,1.0,4.06e-07,1.2099742889404297e-14,1.1231527093596059,0.000196301,5.850225687026977e-12,0.0023229632044666102,0.00025311400000000003,7.543385028839112e-12,0.0018015597714863656
