n,lane,threads,seq,simd,par,simdpar
5,8,20,9.04e-08,1.7774e-07,8.48777e-05,8.5098e-05
6,8,20,1.0572e-07,1.6394e-07,0.000208491,0.000205022
7,8,20,1.4332e-07,1.6814e-07,0.000203634,0.000203919
8,8,20,2.1744e-07,2.186e-07,0.000206271,0.00020405
9,8,20,3.966e-07,2.8838e-07,0.000205303,0.000204074
10,8,20,7.2575e-07,4.8052e-07,0.000206025,0.000229472
11,8,20,1.657e-06,5.7496e-07,0.000202112,0.000224642
12,8,20,3.26783e-06,9.494e-07,0.000210105,0.000225842
13,8,20,5.9965e-06,1.63668e-06,0.000212164,0.000229509
14,8,20,1.10417e-05,3.21652e-06,0.000210997,0.000228596
15,8,20,2.50423e-05,7.385e-06,0.000207702,0.000233102
16,8,20,5.3079e-05,1.45157e-05,0.000218329,0.000232392
17,8,20,0.000107876,3.5879e-05,0.000216723,0.000239325
18,8,20,0.000209045,0.000107526,0.000216448,0.000242089
19,8,20,0.000460974,0.000306138,0.000227391,0.000252315
20,8,20,0.000924958,0.000659159,0.000249897,0.00025328
21,8,20,0.00189759,0.00132133,0.000430233,0.000224819
22,8,20,0.00371562,0.0024358,0.000318302,0.000287325
23,8,20,0.00819092,0.00531807,0.000982043,0.00128069
24,8,20,0.0158603,0.0110942,0.00203301,0.00380873
25,8,20,0.0314757,0.0224616,0.00378706,0.00822168
