,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,5.98e-08,1.86875e-09,1.0,1.28e-07,4e-09,0.46718750000000003,6.56964e-05,2.0530125e-06,0.0009102477456907837,6.56871e-05,2.052721875e-06,0.0009103766188490587
1,6,64,1.2124e-07,1.894375e-09,1.0,1.361e-07,2.1265625e-09,0.890815576781778,6.63878e-05,1.037309375e-06,0.0018262391583995852,6.61661e-05,1.0338453125e-06,0.0018323582620103044
2,7,128,1.5444e-07,1.2065625e-09,1.0,2.0542e-07,1.60484375e-09,0.7518255281861552,6.59393e-05,5.1515078125e-07,0.002342154072002584,6.45528e-05,5.0431875e-07,0.002392460125664572
3,8,256,2.2768e-07,8.89375e-10,1.0,1.887e-07,7.37109375e-10,1.2065712771595125,6.52402e-05,2.5484453125e-07,0.003489872808483113,6.60089e-05,2.57847265625e-07,0.0034492318460086443
4,9,512,3.7172e-07,7.26015625e-10,1.0,2.7918e-07,5.452734375e-10,1.331470735726055,6.58848e-05,1.2868125e-07,0.005641969012579533,6.64921e-05,1.298673828125e-07,0.005590438563378205
5,10,1024,7.03333e-07,6.868486328125e-10,1.0,4.5508e-07,4.444140625e-10,1.545515074272655,6.566e-05,6.412109375e-08,0.010711742308863842,6.69506e-05,6.53814453125e-08,0.010505253126932394
6,11,2048,1.30817e-06,6.387548828125e-10,1.0,1.05004e-06,5.1271484375e-10,1.2458287303340827,6.66588e-05,3.25482421875e-08,0.01962486573415663,6.63202e-05,3.238291015625e-08,0.019725061142758918
7,12,4096,2.56717e-06,6.2675048828125e-10,1.0,1.57224e-06,3.8384765625e-10,1.632810512389966,6.53754e-05,1.5960791015625e-08,0.03926813449707382,6.61025e-05,1.61383056640625e-08,0.03883620135395787
8,13,8192,5.03458e-06,6.1457275390625e-10,1.0,7.06588e-06,8.625341796875e-10,0.7125198842890058,6.50403e-05,7.93948974609375e-09,0.07740708453066793,6.76783e-05,8.26151123046875e-09,0.07438987090396774
9,14,16384,1.00557e-05,6.13751220703125e-10,1.0,1.25845e-05,7.68096923828125e-10,0.7990543923079979,6.5531e-05,3.99969482421875e-09,0.1534495124444919,6.65985e-05,4.064849853515625e-09,0.15098988715962072
10,15,32768,2.05837e-05,6.281646728515625e-10,1.0,2.29722e-05,7.01055908203125e-10,0.8960265015975832,6.82733e-05,2.0835357666015624e-09,0.30148974782235516,6.71655e-05,2.0497283935546877e-09,0.30646239512845136
11,16,65536,4.14083e-05,6.318405151367188e-10,1.0,3.85342e-05,5.879852294921875e-10,1.0745856927093336,7.15574e-05,1.0918792724609374e-09,0.5786725062676956,6.79395e-05,1.0366744995117187e-09,0.6094878531634764
12,17,131072,8.19025e-05,6.248664855957031e-10,1.0,6.67915e-05,5.095787048339844e-10,1.2262413630476932,6.02581e-05,4.597328186035156e-10,1.3591948634291489,6.42006e-05,4.898117065429688e-10,1.2757279526982612
13,18,262144,0.000162742,6.208114624023438e-10,1.0,0.000127964,4.881439208984375e-10,1.2717795630020945,5.63439e-05,2.1493492126464844e-10,2.8883694596930636,5.61983e-05,2.1437950134277344e-10,2.895852721523605
14,19,524288,0.000321859,6.138973236083985e-10,1.0,0.000243329,4.641132354736328e-10,1.3227317746754395,7.3814e-05,1.4078903198242187e-10,4.3604058850624545,6.52045e-05,1.2436771392822266e-10,4.936147045065908
15,20,1048576,0.000637928,6.083755493164062e-10,1.0,0.000472088,4.5021820068359376e-10,1.3512904373760823,0.000123795,1.1806011199951172e-10,5.153099882870875,9.8449e-05,9.388828277587891e-11,6.479781409663886
16,21,2097152,0.00127935,6.10041618347168e-10,1.0,0.000935636,4.4614601135253906e-10,1.36735867367224,0.000212615,1.0138273239135743e-10,6.0172142134844675,0.000190728,9.094619750976563e-11,6.707719894299736
17,22,4194304,0.00419516,1.000204086303711e-09,1.0,0.00336293,8.017849922180176e-10,1.247471698786475,0.000863885,2.0596623420715332e-10,4.856155622565503,0.00111713,2.663445472717285e-10,3.7553015316033047
18,23,8388608,0.00797245,9.50390100479126e-10,1.0,0.00711765,8.484899997711181e-10,1.120095818142224,0.00185477,2.2110581398010253e-10,4.29834966060482,0.00415957,4.958593845367431e-10,1.916652442439964
19,24,16777216,0.0160678,9.577155113220215e-10,1.0,0.0142338,8.484005928039551e-10,1.1288482344841153,0.00313337,1.8676340579986572e-10,5.127961268538347,0.00968064,5.770111083984375e-10,1.6597869562342984
20,25,33554432,0.0323519,9.6416175365448e-10,1.0,0.0281463,8.388251066207885e-10,1.149419284239847,0.00628154,1.8720448017120362e-10,5.150313458164717,0.018563,5.532205104827881e-10,1.742816355115014
