n,lane,threads,seq,simd,par,simdpar
5,8,40,1.04e-07,2.6662e-07,5.8817e-05,5.8391e-05
6,8,40,1.1284e-07,2.608e-07,0.000154163,0.000155576
7,8,40,2.076e-07,2.8504e-07,0.000389033,0.00039597
8,8,40,3.4804e-07,3.3164e-07,0.000390261,0.000393771
9,8,40,6.3284e-07,3.852e-07,0.000391174,0.000387553
10,8,40,1.1825e-06,4.9656e-07,0.000385042,0.000388231
11,8,40,2.38767e-06,7.236e-07,0.000387347,0.000389662
12,8,40,4.72533e-06,1.20168e-06,0.000395126,0.000391466
13,8,40,9.32992e-06,2.07972e-06,0.000389436,0.000387088
14,8,40,1.87431e-05,3.90592e-06,0.000375704,0.000380068
15,8,40,3.71797e-05,7.49075e-06,0.000381549,0.000376824
16,8,40,7.43122e-05,1.47119e-05,0.00038334,0.000397662
17,8,40,0.000152609,2.84244e-05,0.00038437,0.000390067
18,8,40,0.000182692,5.16805e-05,0.000400072,0.000399927
19,8,40,0.000465687,9.59708e-05,0.000396156,0.000404835
20,8,40,0.000643225,0.000129028,0.000389886,0.000391421
21,8,40,0.00168828,0.000378965,0.000389413,0.000399653
22,8,40,0.00431936,0.001354,0.000495133,0.000476219
23,8,40,0.00723775,0.00282834,0.000834653,0.000904044
