,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.04e-07,3.25e-09,1.0,2.6662e-07,8.331875e-09,0.39006826194584054,5.8817e-05,1.83803125e-06,0.0017681962697859463,5.8391e-05,1.82471875e-06,0.0017810964018427499
1,6,64,1.1284e-07,1.763125e-09,1.0,2.608e-07,4.075e-09,0.4326687116564417,0.000154163,2.408796875e-06,0.0007319525437361753,0.000155576,2.430875e-06,0.0007253046742428138
2,7,128,2.076e-07,1.621875e-09,1.0,2.8504e-07,2.226875e-09,0.7283188324445692,0.000389033,3.0393203125e-06,0.0005336308230921284,0.00039597,3.093515625e-06,0.0005242821425865596
3,8,256,3.4804e-07,1.35953125e-09,1.0,3.3164e-07,1.29546875e-09,1.0494512121577613,0.000390261,1.52445703125e-06,0.000891813427424211,0.000393771,1.53816796875e-06,0.0008838639716992871
4,9,512,6.3284e-07,1.236015625e-09,1.0,3.852e-07,7.5234375e-10,1.6428868120456908,0.000391174,7.6401171875e-07,0.00161779668382868,0.000387553,7.56939453125e-07,0.0016329121436293875
5,10,1024,1.1825e-06,1.15478515625e-09,1.0,4.9656e-07,4.84921875e-10,2.381383921379088,0.000385042,3.76017578125e-07,0.0030710935430420575,0.000388231,3.791318359375e-07,0.0030458670224685815
6,11,2048,2.38767e-06,1.1658544921875e-09,1.0,7.236e-07,3.533203125e-10,3.299709784411277,0.000387347,1.8913427734375e-07,0.0061641628823767836,0.000389662,1.902646484375e-07,0.006127541305028461
7,12,4096,4.72533e-06,1.15364501953125e-09,1.0,1.20168e-06,2.9337890625e-10,3.9322698222488515,0.000395126,9.646630859375e-08,0.011959045975207909,0.000391466,9.557275390625e-08,0.012070856728298242
8,13,8192,9.32992e-06,1.13890625e-09,1.0,2.07972e-06,2.538720703125e-10,4.4861423653184085,0.000389436,4.753857421875e-08,0.02395751805174663,0.000387088,4.7251953125e-08,0.024102839664365727
9,14,16384,1.87431e-05,1.143988037109375e-09,1.0,3.90592e-06,2.383984375e-10,4.798638989021793,0.000375704,2.293115234375e-08,0.04988794370035986,0.000380068,2.3197509765625e-08,0.04931512255701611
10,15,32768,3.71797e-05,1.1346343994140625e-09,1.0,7.49075e-06,2.2859954833984376e-10,4.9634148783499645,0.000381549,1.1643951416015625e-08,0.09744410285441713,0.000376824,1.1499755859375e-08,0.09866595545931257
11,16,65536,7.43122e-05,1.1339141845703125e-09,1.0,1.47119e-05,2.2448577880859376e-10,5.051162664237794,0.00038334,5.84930419921875e-09,0.19385454166014504,0.000397662,6.067840576171875e-09,0.18687277134853217
12,17,131072,0.000152609,1.1643142700195313e-09,1.0,2.84244e-05,2.168609619140625e-10,5.368943583681626,0.00038437,2.9325103759765624e-09,0.39703670942061037,0.000390067,2.975975036621094e-09,0.39123791553758713
13,18,262144,0.000182692,6.969146728515625e-10,1.0,5.16805e-05,1.9714546203613282e-10,3.5350277183850776,0.000400072,1.526153564453125e-09,0.45664780339538885,0.000399927,1.5256004333496094e-09,0.45681336843974024
14,19,524288,0.000465687,8.882274627685547e-10,1.0,9.59708e-05,1.8304977416992189e-10,4.85238218291397,0.000396156,7.556076049804687e-10,1.1755141913791536,0.000404835,7.721614837646484e-10,1.1503130905183594
15,20,1048576,0.000643225,6.134271621704101e-10,1.0,0.000129028,1.2305068969726562e-10,4.985158260222588,0.000389886,3.718242645263672e-10,1.6497771143359854,0.000391421,3.7328815460205076e-10,1.6433073340469724
16,21,2097152,0.00168828,8.050346374511718e-10,1.0,0.000378965,1.8070459365844726e-10,4.454976053197525,0.000389413,1.8568658828735353e-10,4.335448482716293,0.000399653,1.905694007873535e-10,4.22436463632201
17,22,4194304,0.00431936,1.029815673828125e-09,1.0,0.001354,3.228187561035156e-10,3.190073855243723,0.000495133,1.1804890632629395e-10,8.7236358715739,0.000476219,1.1353945732116699e-10,9.070112700249256
18,23,8388608,0.00723775,8.62807035446167e-10,1.0,0.00282834,3.3716440200805663e-10,2.559009878586026,0.000834653,9.949839115142822e-11,8.671567705381758,0.000904044,1.0777044296264649e-10,8.005970948316675
