,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.2284e-07,3.83875e-09,1.0,2.9242e-07,9.138125e-09,0.42008070583407425,6.38817e-05,1.996303125e-06,0.0019229294148402438,6.11095e-05,1.909671875e-06,0.002010162086091361
1,6,64,1.088e-07,1.7e-09,1.0,2.8224e-07,4.41e-09,0.38548752834467115,0.000160824,2.512875e-06,0.0006765159428940954,0.000158506,2.47665625e-06,0.0006864093472802291
2,7,128,1.056e-07,8.25e-10,1.0,2.8166e-07,2.20046875e-09,0.37492011645246043,0.000406131,3.1728984375e-06,0.00026001462582270256,0.000409643,3.2003359375e-06,0.00025778543756392765
3,8,256,2.408e-07,9.40625e-10,1.0,3.1984e-07,1.249375e-09,0.7528764382191095,0.000404503,1.58008984375e-06,0.0005952984279473822,0.000403943,1.57790234375e-06,0.0005961237105235144
4,9,512,4.18e-07,8.1640625e-10,1.0,3.818e-07,7.45703125e-10,1.0948140387637506,0.000398721,7.78751953125e-07,0.0010483521058584826,0.000403653,7.88384765625e-07,0.0010355429044253356
5,10,1024,7.53333e-07,7.356767578125e-10,1.0,5.14e-07,5.01953125e-10,1.465628404669261,0.000396399,3.871083984375e-07,0.001900441222101973,0.000400262,3.90880859375e-07,0.0018820997246803343
6,11,2048,1.501e-06,7.3291015625e-10,1.0,7.1812e-07,3.5064453125e-10,2.0901799142204647,0.000404544,1.9753125e-07,0.0037103504192374623,0.000397999,1.9433544921875e-07,0.00377136625971422
7,12,4096,2.95942e-06,7.225146484375e-10,1.0,1.21088e-06,2.95625e-10,2.4440241807610996,0.000396734,9.685888671875e-08,0.007459456462012331,0.000393365,9.6036376953125e-08,0.0075233434596367246
8,13,8192,5.97033e-06,7.28800048828125e-10,1.0,2.15568e-06,2.6314453125e-10,2.7695808283233134,0.000384969,4.69932861328125e-08,0.015508599393717416,0.00039018,4.762939453125e-08,0.015301476241734583
9,14,16384,1.1886e-05,7.254638671875e-10,1.0,3.9872e-06,2.43359375e-10,2.981039325842697,0.000384921,2.349371337890625e-08,0.030879063496145963,0.00039125,2.38800048828125e-08,0.03037955271565495
10,15,32768,2.36285e-05,7.210845947265625e-10,1.0,7.59958e-06,2.319207763671875e-10,3.1091849812752805,0.000384926,1.174700927734375e-08,0.06138452585691795,0.000387762,1.183355712890625e-08,0.06093557388294882
11,16,65536,2.90872e-05,4.4383544921875e-10,1.0,1.49212e-05,2.27679443359375e-10,1.949387448730665,0.000399149,6.090530395507813e-09,0.07287303738704093,0.000387437,5.911819458007813e-09,0.07507594783151841
12,17,131072,4.8687e-05,3.714523315429688e-10,1.0,1.84056e-05,1.40423583984375e-10,2.6452275394445173,0.000392892,2.997528076171875e-09,0.12391955041079993,0.000396209,3.0228347778320314e-09,0.12288211524725587
13,18,262144,7.98728e-05,3.046905517578125e-10,1.0,5.1038e-05,1.9469451904296876e-10,1.5649672792821034,0.000409252,1.5611724853515624e-09,0.19516776949165796,0.000404376,1.542572021484375e-09,0.19752111895859298
14,19,524288,0.000229996,4.3868255615234375e-10,1.0,8.81455e-05,1.6812419891357422e-10,2.609276707262424,0.0004199,8.008956909179688e-10,0.5477399380804954,0.000411841,7.855243682861328e-10,0.5584582399518261
15,20,1048576,0.000461992,4.4058990478515624e-10,1.0,0.000148821,1.4192676544189452e-10,3.1043468327722565,0.000398756,3.8028335571289063e-10,1.1585831937325082,0.000399242,3.8074684143066407e-10,1.1571728425366068
16,21,2097152,0.00125584,5.988311767578125e-10,1.0,0.000359076,1.7122077941894531e-10,3.4974211587519077,0.000392245,1.8703699111938476e-10,3.2016724241226786,0.000406434,1.938028335571289e-10,3.089898974987329
17,22,4194304,0.00228189,5.440449714660644e-10,1.0,0.0014292,3.4074783325195314e-10,1.5966204869857261,0.000487271,1.1617445945739746e-10,4.682999809141115,0.000486146,1.1590623855590821e-10,4.693836830910878
18,23,8388608,0.00382711,4.562270641326904e-10,1.0,0.00232597,2.772772312164307e-10,1.6453823566082106,0.000735432,8.767032623291015e-11,5.20389376584103,0.000831389,9.910929203033447e-11,4.603272355058823
