,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.1524e-07,3.60125e-09,1.0,2.1642e-07,6.763125e-09,0.5324831346455965,9.45424e-05,2.95445e-06,0.0012189239960060248,8.76743e-05,2.739821875e-06,0.0013144102661783444
1,6,64,1.7956e-07,2.805625e-09,1.0,2.504e-07,3.9125e-09,0.7170926517571885,9.37281e-05,1.4645015625e-06,0.0019157541868447135,8.9976e-05,1.405875e-06,0.0019956432826531523
2,7,128,2.8072e-07,2.193125e-09,1.0,2.873e-07,2.24453125e-09,0.9770971110337626,8.98656e-05,7.02075e-07,0.0031237759498629063,8.82176e-05,6.892e-07,0.0031821314567614624
3,8,256,4.8076e-07,1.87796875e-09,1.0,3.6466e-07,1.424453125e-09,1.3183787637799593,8.93529e-05,3.49034765625e-07,0.005380463308969266,8.83178e-05,3.4499140625e-07,0.005443523276168563
4,9,512,8.89e-07,1.736328125e-09,1.0,4.9332e-07,9.63515625e-10,1.8020757317765344,8.81399e-05,1.721482421875e-07,0.010086237901336398,8.78663e-05,1.716138671875e-07,0.01011764464874474
5,10,1024,1.6985e-06,1.65869140625e-09,1.0,7.8688e-07,7.684375e-10,2.1585248068320455,8.93216e-05,8.7228125e-08,0.01901555726722316,9.04999e-05,8.837880859375e-08,0.018767976539200596
6,11,2048,3.33658e-06,1.629189453125e-09,1.0,1.46984e-06,7.176953125e-10,2.2700293909541176,8.66167e-05,4.2293310546875e-08,0.03852120895854957,8.27461e-05,4.0403369140625e-08,0.04032310888368152
7,12,4096,6.58392e-06,1.60740234375e-09,1.0,3.4164e-06,8.3408203125e-10,1.92715138742536,0.000106063,2.5894287109375e-08,0.062075558865957024,8.39306e-05,2.0490869140625e-08,0.07844481035522205
8,13,8192,1.27814e-05,1.5602294921875e-09,1.0,9.44424e-06,1.152861328125e-09,1.3533540020160437,8.36459e-05,1.021068115234375e-08,0.15280366401700501,8.22446e-05,1.00396240234375e-08,0.15540716350982314
9,14,16384,2.54045e-05,1.550567626953125e-09,1.0,1.45665e-05,8.89068603515625e-10,1.7440359729516357,8.82663e-05,5.387347412109375e-09,0.28781652793874896,8.47237e-05,5.171124267578125e-09,0.29985116325184097
10,15,32768,5.40508e-05,1.64949951171875e-09,1.0,2.86893e-05,8.755279541015625e-10,1.884005535164678,8.82285e-05,2.6925201416015626e-09,0.6126229052970412,8.45214e-05,2.579388427734375e-09,0.6394924835603765
11,16,65536,0.00011033,1.683502197265625e-09,1.0,6.0121e-05,9.173736572265625e-10,1.8351324828263,7.44418e-05,1.1358917236328125e-09,1.482097423759232,7.30521e-05,1.1146865844726562e-09,1.5102919697038142
12,17,131072,0.000211277,1.6119155883789063e-09,1.0,0.000115835,8.837509155273438e-10,1.8239478568653689,8.02394e-05,6.121780395507813e-10,2.633082999125118,7.81585e-05,5.963020324707031e-10,2.7031864736401032
13,18,262144,0.000422071,1.6100730895996093e-09,1.0,0.000233248,8.897705078125e-10,1.8095374879956099,0.00010436,3.98101806640625e-10,4.044375239555385,9.75612e-05,3.7216644287109374e-10,4.3262177996990605
14,19,524288,0.000845793,1.6132221221923827e-09,1.0,0.000471427,8.991756439208985e-10,1.7941123440108435,0.000167278,3.190574645996094e-10,5.056211815062351,0.000143879,2.744274139404297e-10,5.878502074659957
15,20,1048576,0.00170393,1.6249942779541015e-09,1.0,0.000941159,8.975591659545898e-10,1.8104592316494874,0.000289482,2.7607154846191404e-10,5.886134543771289,0.000239006,2.2793388366699218e-10,7.129235249324285
16,21,2097152,0.0034171,1.6294002532958985e-09,1.0,0.00191124,9.113502502441406e-10,1.7878968627697203,0.000614679,2.931017875671387e-10,5.559161773868962,0.000402495,1.919245719909668e-10,8.489794904284526
17,22,4194304,0.00766702,1.8279600143432617e-09,1.0,0.00485733,1.1580777168273926e-09,1.5784433011551613,0.00189891,4.5273542404174804e-10,4.0375899858339785,0.0023213,5.534410476684571e-10,3.3028992374962303
18,23,8388608,0.0145789,1.7379403114318848e-09,1.0,0.00962703,1.1476314067840576e-09,1.5143715143715144,0.00474153,5.652344226837158e-10,3.074724825109195,0.00506787,6.041371822357178e-10,2.8767312500123325
