,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.5024e-07,4.695e-09,1.0,4.4326e-07,1.3851875e-08,0.33894328385146416,9.55712e-05,2.9866e-06,0.0015720216969128775,9.93261e-05,3.103940625e-06,0.001512593366698179
1,6,64,2.1688e-07,3.38875e-09,1.0,2.861e-07,4.4703125e-09,0.7580566235581964,0.000100623,1.572234375e-06,0.00215537203223915,0.00010413,1.62703125e-06,0.0020827811389609145
2,7,128,3.5988e-07,2.8115625e-09,1.0,3.6816e-07,2.87625e-09,0.9775097783572361,0.000112045,8.753515625e-07,0.0032119237806238566,0.000101084,7.8971875e-07,0.003560207352301057
3,8,256,5.4472e-07,2.1278125e-09,1.0,3.7916e-07,1.48109375e-09,1.436649435594472,0.000101665,3.9712890625e-07,0.005357989475237299,0.000105487,4.1205859375e-07,0.005163859053722259
4,9,512,1.01768e-06,1.98765625e-09,1.0,4.9496e-07,9.6671875e-10,2.056085340229514,0.000108169,2.11267578125e-07,0.00940824080836469,0.000102969,2.01111328125e-07,0.009883362953898748
5,10,1024,1.90783e-06,1.863115234375e-09,1.0,6.8048e-07,6.6453125e-10,2.803653303550435,0.000101858,9.9470703125e-08,0.01873029118969546,0.00010526,1.0279296875e-07,0.018124928747862437
6,11,2048,3.72917e-06,1.8208837890625e-09,1.0,1.07896e-06,5.268359375e-10,3.4562634388670572,0.000103865,5.071533203125e-08,0.03590401001299764,0.000106324,5.1916015625e-08,0.035073642827583615
7,12,4096,8.68717e-06,2.12089111328125e-09,1.0,2.03232e-06,4.96171875e-10,4.274508935600693,9.99068e-05,2.439130859375e-08,0.08695273995363678,0.00010403,2.539794921875e-08,0.0835063923868115
8,13,8192,1.53515e-05,1.87396240234375e-09,1.0,3.94032e-06,4.8099609375e-10,3.8960033702846473,9.86835e-05,1.204632568359375e-08,0.15556298672017105,9.70367e-05,1.184530029296875e-08,0.1582030303998384
9,14,16384,3.03968e-05,1.8552734375e-09,1.0,8.51328e-06,5.19609375e-10,3.5705157119230186,9.67236e-05,5.9035400390625e-09,0.3142645641808204,9.54392e-05,5.825146484375e-09,0.3184938683475972
10,15,32768,5.79763e-05,1.7692962646484376e-09,1.0,1.54334e-05,4.70989990234375e-10,3.756547487915819,8.87327e-05,2.7079071044921874e-09,0.6533814478766002,9.76159e-05,2.9790008544921876e-09,0.5939227113615713
11,16,65536,0.000111029,1.6941680908203125e-09,1.0,3.00576e-05,4.58642578125e-10,3.6938744277653575,8.1571e-05,1.2446746826171874e-09,1.3611332458839538,9.42367e-05,1.4379379272460938e-09,1.178192784764322
12,17,131072,0.000226967,1.7316207885742188e-09,1.0,6.89499e-05,5.260459899902344e-10,3.291766920619174,8.45982e-05,6.454330444335938e-10,2.6828821417004143,8.64211e-05,6.593406677246094e-10,2.626291495942542
13,18,262144,0.000449283,1.7138786315917968e-09,1.0,0.000131893,5.031318664550781e-10,3.4064203558945505,0.000111125,4.2390823364257814e-10,4.043041619797525,8.57762e-05,3.2721023559570313e-10,5.237851525248262
14,19,524288,0.000913117,1.7416324615478515e-09,1.0,0.000258241,4.925556182861328e-10,3.5359102543747896,0.000167718,3.1989669799804687e-10,5.444358983531881,0.000103603,1.9760704040527345e-10,8.813615435846451
15,20,1048576,0.00183527,1.7502498626708984e-09,1.0,0.000513617,4.898233413696289e-10,3.5732267428842897,0.000289437,2.7602863311767576e-10,6.340827192100527,0.000150705,1.437234878540039e-10,12.177897216416177
16,21,2097152,0.00368475,1.7570257186889649e-09,1.0,0.00102517,4.888391494750976e-10,3.5942819239735853,0.000530035,2.5274038314819335e-10,6.951899402869622,0.000248266,1.1838245391845704e-10,14.841943721653386
17,22,4194304,0.00761706,1.8160486221313477e-09,1.0,0.00192388,4.5868873596191406e-10,3.959217830633927,0.000969367,2.3111510276794432e-10,7.857766975768724,0.00042187,1.0058164596557618e-10,18.055467324057172
18,23,8388608,0.0155579,1.8546462059020996e-09,1.0,0.00546734,6.517577171325684e-10,2.845606821598803,0.00234013,2.7896523475646975e-10,6.648305863349472,0.00236453,2.818739414215088e-10,6.579700828494457
