,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.4972e-07,4.67875e-09,1.0,2.6402e-07,8.250625e-09,0.5670782516476024,0.000827007,2.584396875e-05,0.00018103837089649782,0.000456789,1.427465625e-05,0.00032776621153311487
1,6,64,9.884e-08,1.544375e-09,1.0,1.8996e-07,2.968125e-09,0.5203200673826069,0.000472029,7.375453125e-06,0.0002093939143569569,0.000292388,4.5685625e-06,0.0003380439689727349
2,7,128,2.0784e-07,1.62375e-09,1.0,3.133e-07,2.44765625e-09,0.6633897223108841,0.000339328,2.651e-06,0.0006125047152018106,0.000367314,2.869640625e-06,0.0005658374034205067
3,8,256,1.826e-07,7.1328125e-10,1.0,2.3782e-07,9.28984375e-10,0.7678075855689177,0.000775794,3.0304453125e-06,0.00023537176106028148,0.000443902,1.7339921875e-06,0.0004113520551833513
4,9,512,3.1172e-07,6.08828125e-10,1.0,2.9376e-07,5.7375e-10,1.0611383442265794,0.000387385,7.56611328125e-07,0.0008046775171986525,0.00041809,8.1658203125e-07,0.0007455810949795499
5,10,1024,6.4825e-07,6.33056640625e-10,1.0,5.1088e-07,4.9890625e-10,1.2688889758847477,0.000118521,1.157431640625e-07,0.0054694948574514225,0.00104655,1.022021484375e-06,0.0006194161769624003
6,11,2048,1.02133e-06,4.986962890625e-10,1.0,5.9292e-07,2.8951171875e-10,1.7225426701747286,0.00025169,1.228955078125e-07,0.004057888672573404,0.000238867,1.1663427734375e-07,0.004275726659605555
7,12,4096,2.00892e-06,4.90458984375e-10,1.0,1.24236e-06,3.03310546875e-10,1.6170192214816963,0.000241329,5.8918212890625e-08,0.008324403614982037,0.000267532,6.53154296875e-08,0.007509083025581987
8,13,8192,4.24708e-06,5.184423828125e-10,1.0,1.66624e-06,2.033984375e-10,2.548900518532744,0.00074925,9.1461181640625e-08,0.005668441775108442,0.000303684,3.707080078125e-08,0.013985195137050356
9,14,16384,8.95717e-06,5.467022705078126e-10,1.0,3.50364e-06,2.1384521484375e-10,2.556532634631412,0.000744698,4.54527587890625e-08,0.012027922728408027,0.000260061,1.587286376953125e-08,0.03444257308862152
10,15,32768,1.79555e-05,5.479583740234375e-10,1.0,7.76042e-06,2.368292236328125e-10,2.313727865244407,0.000401381,1.2249176025390626e-08,0.04473430481263438,0.00016892,5.155029296875e-09,0.10629587970636989
11,16,65536,3.31748e-05,5.06207275390625e-10,1.0,1.52601e-05,2.3285064697265625e-10,2.1739569203347293,0.000187536,2.861572265625e-09,0.17689830219264568,0.000239249,3.6506500244140625e-09,0.13866223056313715
12,17,131072,6.80242e-05,5.189834594726562e-10,1.0,3.16157e-05,2.4120864868164065e-10,2.151595568024747,0.00126958,9.686126708984375e-09,0.05358008160178957,0.000959983,7.3240890502929685e-09,0.07085979647556259
13,18,262144,0.000135389,5.164680480957031e-10,1.0,6.66949e-05,2.5442085266113283e-10,2.029975305458138,0.000436226,1.6640701293945313e-09,0.3103643524228267,0.000579358,2.2100753784179687e-09,0.23368797876269942
14,19,524288,0.0010669,2.034950256347656e-09,1.0,0.00012401,2.365303039550781e-10,8.60333844044835,0.000958057,1.8273487091064453e-09,1.113608062985814,0.00131206,2.502555847167969e-09,0.8131487889273356
15,20,1048576,0.000532899,5.082120895385742e-10,1.0,0.000269656,2.5716400146484376e-10,1.9762178479247632,0.00125528,1.1971282958984374e-09,0.42452600216684727,0.00118751,1.1324977874755859e-09,0.4487532736566429
16,21,2097152,0.0011133,5.308628082275391e-10,1.0,0.000596234,2.84306526184082e-10,1.8672199170124484,0.000561224,2.6761245727539064e-10,1.9836999130471968,0.00098448,4.694366455078125e-10,1.1308508044856167
17,22,4194304,0.00252334,6.016111373901367e-10,1.0,0.00152043,3.6249876022338865e-10,1.6596226067625606,0.00047217,1.1257410049438477e-10,5.34413452781837,0.000785596,1.8730068206787108e-10,3.2120071894459747
18,23,8388608,0.00618808,7.376766204833985e-10,1.0,0.00465131,5.544793605804443e-10,1.3303950929953068,0.00166161,1.9807934761047363e-10,3.7241470621866744,0.00273925,3.2654404640197753e-10,2.2590417084968517
19,24,16777216,0.0136712,8.148670196533203e-10,1.0,0.0095375,5.684792995452881e-10,1.4334154652686761,0.00252299,1.503819227218628e-10,5.418650093737985,0.00355546,2.1192193031311034e-10,3.8451283378240793
20,25,33554432,0.0253092,7.542729377746582e-10,1.0,0.0253611,7.558196783065796e-10,0.9979535587967399,0.00593427,1.7685502767562867e-10,4.264922222952444,0.00883218,2.632194757461548e-10,2.865566598506824
