,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,3.518e-08,1.099375e-09,1.0,4.314e-08,1.348125e-09,0.8154844691701437,3.56122e-05,1.11288125e-06,0.0009878637096275996,3.18407e-05,9.95021875e-07,0.0011048752068892958
1,6,64,3.58e-08,5.59375e-10,1.0,4.774e-08,7.459375e-10,0.7498952660242983,5.34365e-05,8.349453125e-07,0.0006699540576197917,5.69134e-05,8.89271875e-07,0.0006290258533139823
2,7,128,6.694e-08,5.2296875e-10,1.0,2.6838e-07,2.09671875e-09,0.24942246069006632,5.73316e-05,4.47903125e-07,0.0011675934388714077,5.59073e-05,4.3677578125e-07,0.001197339166799327
3,8,256,8.152e-08,3.184375e-10,1.0,9.272e-08,3.621875e-10,0.8792062122519414,5.74482e-05,2.2440703125e-07,0.0014190174800951117,5.76735e-05,2.25287109375e-07,0.0014134741258983762
4,9,512,9.69e-08,1.892578125e-10,1.0,2.9748e-07,5.81015625e-10,0.3257361839451392,5.75753e-05,1.124517578125e-07,0.001683013375527353,5.78095e-05,1.129091796875e-07,0.0016761950890424584
5,10,1024,1.1876e-07,1.159765625e-10,1.0,1.7596e-07,1.718359375e-10,0.6749261195726302,5.6765e-05,5.54345703125e-08,0.002092134237646437,6.57543e-05,6.421318359375e-08,0.0018061176227258142
6,11,2048,3.536e-07,1.7265625e-10,1.0,3.54e-07,1.728515625e-10,0.9988700564971751,5.45289e-05,2.6625439453125e-08,0.006484634753314298,6.18945e-05,3.0221923828125e-08,0.0057129470308347275
7,12,4096,1.70452e-06,4.16142578125e-10,1.0,1.1668e-06,2.8486328125e-10,1.4608501885498801,5.41397e-05,1.32177001953125e-08,0.031483735595136286,6.31525e-05,1.54180908203125e-08,0.026990538775187048
8,13,8192,3.32236e-06,4.055615234375e-10,1.0,2.1768e-06,2.6572265625e-10,1.5262587284086733,5.52225e-05,6.74102783203125e-09,0.06016315813300738,6.12937e-05,7.48214111328125e-09,0.054203939393445
9,14,16384,6.26e-06,3.82080078125e-10,1.0,4.11224e-06,2.509912109375e-10,1.5222846915549677,5.63983e-05,3.442279052734375e-09,0.11099625343317086,6.30327e-05,3.847210693359375e-09,0.0993135309133196
10,15,32768,1.10983e-05,3.386932373046875e-10,1.0,7.73192e-06,2.3595947265625e-10,1.4353873294084782,5.87951e-05,1.7942840576171876e-09,0.18876232883352523,7.28759e-05,2.2239959716796876e-09,0.15229040053021642
11,16,65536,2.68975e-05,4.1042327880859377e-10,1.0,2.31012e-05,3.52496337890625e-10,1.1643334545391582,7.4617e-05,1.1385650634765624e-09,0.36047415468324917,7.24258e-05,1.1051300048828125e-09,0.3713800883110715
12,17,131072,0.000157778,1.2037506103515624e-09,1.0,9.53757e-05,7.276588439941406e-10,1.6542788152537806,8.29259e-05,6.326744079589844e-10,1.9026383795653707,9.70793e-05,7.406562805175782e-10,1.6252486369390795
13,18,262144,0.000317243,1.2101860046386718e-09,1.0,0.000178217,6.798439025878906e-10,1.7800939304331236,0.000106106,4.0476226806640626e-10,2.9898686219440935,0.000114361,4.362525939941406e-10,2.774048845323143
14,19,524288,0.000617236,1.1772842407226562e-09,1.0,0.000331463,6.322154998779297e-10,1.862156560460745,0.000139445,2.6597023010253907e-10,4.426375990533902,0.000138638,2.644309997558594e-10,4.452141548493198
15,20,1048576,0.00131288,1.2520599365234375e-09,1.0,0.000712638,6.796245574951172e-10,1.8422817755999539,0.000217066,2.0701026916503906e-10,6.048298674135977,0.000214813,2.0486164093017579e-10,6.111734392238831
16,21,2097152,0.00273828,1.3057136535644532e-09,1.0,0.00178151,8.494901657104492e-10,1.5370556438077811,0.000396004,1.888294219970703e-10,6.914778638599611,0.000413449,1.9714784622192382e-10,6.6230175910450875
17,22,4194304,0.00613446,1.4625692367553712e-09,1.0,0.00463381,1.1047863960266114e-09,1.3238479782295778,0.000887372,2.1156597137451172e-10,6.91306464481638,0.000903358,2.153773307800293e-10,6.790729699631818
18,23,8388608,0.0123873,1.4766812324523926e-09,1.0,0.00965329,1.1507618427276611e-09,1.2832205393187193,0.00230724,2.750444412231445e-10,5.3688823009309825,0.00217075,2.587735652923584e-10,5.706460900610389
