n,lane,threads,seq,simd,par,simdpar
5,8,10,3.268e-08,3.51e-08,0.000320839,0.000466767
6,8,10,4.35e-08,3.94e-08,0.000594655,0.000795465
7,8,10,4.188e-08,5.522e-08,0.000836476,0.000795944
8,8,10,4.954e-08,6.392e-08,0.000787391,0.000594105
9,8,10,1.9042e-07,8.824e-08,0.000654021,0.000665717
10,8,10,1.1332e-07,1.7344e-07,0.00054958,0.000618543
11,8,10,2.4768e-07,2.698e-07,0.00104295,0.000697168
12,8,10,4.1104e-07,7.0888e-07,0.000914647,0.000691041
13,8,10,2.16548e-06,2.06232e-06,0.000967855,0.00110559
14,8,10,4.38972e-06,4.21628e-06,0.000876254,0.00106873
15,8,10,9.08158e-06,9.5965e-06,0.00100503,0.00120846
16,8,10,2.54845e-05,0.000274745,0.00147317,0.00167879
17,8,10,6.58083e-05,0.000362207,0.00141921,0.00135384
18,8,10,0.000152668,0.000194806,0.00202692,0.00199675
19,8,10,0.00085963,0.000416197,0.00192858,0.00183055
20,8,10,0.00121268,0.000853261,0.00146809,0.0021829
21,8,10,0.00191,0.00229573,0.00258837,0.00271819
22,8,10,0.00282355,0.00412357,0.00228043,0.00275885
