,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,9.34e-08,2.91875e-09,1.0,1.024e-07,3.2e-09,0.912109375,0.000514755,1.608609375e-05,0.00018144554205398687,0.000541502,1.69219375e-05,0.00017248320412482319
1,6,64,9.948e-08,1.554375e-09,1.0,8.514e-08,1.3303125e-09,1.1684284707540522,0.000342679,5.354359375e-06,0.000290300835475766,0.000442873,6.919890625e-06,0.00022462421506842822
2,7,128,1.6708e-07,1.3053125e-09,1.0,8.516e-08,6.653125e-10,1.9619539689995305,0.000456039,3.5628046875e-06,0.00036637217430965336,0.000511604,3.99690625e-06,0.00032658071477158115
3,8,256,1.92e-07,7.5e-10,1.0,9.336e-08,3.646875e-10,2.056555269922879,0.000488201,1.90703515625e-06,0.00039328063645916334,0.000393655,1.53771484375e-06,0.0004877367237809757
4,9,512,3.1092e-07,6.07265625e-10,1.0,1.752e-07,3.421875e-10,1.7746575342465751,0.00025382,4.957421875e-07,0.0012249625719013475,0.000681317,1.330697265625e-06,0.0004563514487382525
5,10,1024,5.74667e-07,5.611982421875e-10,1.0,3.362e-07,3.283203125e-10,1.709301011302796,0.000292824,2.859609375e-07,0.001962499658497937,0.000193116,1.8858984375e-07,0.0029757606826984816
6,11,2048,1.03683e-06,5.062646484375e-10,1.0,6.9112e-07,3.374609375e-10,1.5002170390091445,0.000112124,5.4748046875e-08,0.009247172773001319,0.000367051,1.7922412109375e-07,0.002824757322551907
7,12,4096,2.43517e-06,5.9452392578125e-10,1.0,1.47e-06,3.5888671875e-10,1.656578231292517,0.000189339,4.6225341796875e-08,0.012861428443162792,0.000605338,1.4778759765625e-07,0.004022826916532582
8,13,8192,4.19167e-06,5.11678466796875e-10,1.0,3.02584e-06,3.69365234375e-10,1.3852913571107526,0.000600578,7.3312744140625e-08,0.006979393184565534,0.000394117,4.81099853515625e-08,0.010635598058444573
9,14,16384,8.37592e-06,5.112255859375e-10,1.0,6.5454e-06,3.9949951171875e-10,1.2796651083203472,0.000181557,1.108135986328125e-08,0.0461338312485886,0.000176176,1.07529296875e-08,0.047542911633820725
10,15,32768,1.69968e-05,5.18701171875e-10,1.0,1.36687e-05,4.171356201171875e-10,1.2434832866329644,0.000525078,1.602410888671875e-08,0.03237004787860089,0.000236614,7.22088623046875e-09,0.07183345026076225
11,16,65536,3.77088e-05,5.75390625e-10,1.0,2.99893e-05,4.5760040283203127e-10,1.2574084756896626,5.96115e-05,9.095993041992187e-10,0.6325759291411892,0.000313239,4.779647827148437e-09,0.12038347715322806
12,17,131072,0.000619129,4.723579406738281e-09,1.0,6.64859e-05,5.072471618652344e-10,9.312184989599297,0.000156762,1.1959991455078124e-09,3.94948393105472,0.000165511,1.2627487182617187e-09,3.74071209768535
13,18,262144,0.000166841,6.364479064941407e-10,1.0,0.00014769,5.633926391601562e-10,1.1296702552644053,0.000697039,2.6589927673339843e-09,0.23935676482951457,0.000988916,3.772415161132813e-09,0.1687109926424489
14,19,524288,0.000341563,6.51479721069336e-10,1.0,0.000310269,5.917911529541016e-10,1.100860865893789,0.00105027,2.0032310485839845e-09,0.3252144686604397,0.000604109,1.1522464752197266e-09,0.5653996215914677
15,20,1048576,0.000762042,7.267398834228516e-10,1.0,0.000712754,6.797351837158203e-10,1.069151488451836,0.000249371,2.37818717956543e-10,3.0558565350421656,0.000229139,2.1852397918701172e-10,3.3256756815731934
16,21,2097152,0.00163996,7.819938659667969e-10,1.0,0.00269263,1.2839460372924805e-09,0.6090550874052506,0.0014509,6.91843032836914e-10,1.1303053277276174,0.00140718,6.709957122802735e-10,1.165423044670902
17,22,4194304,0.00440638,1.0505628585815429e-09,1.0,0.00447047,1.065843105316162e-09,0.9856636997899549,0.00355702,8.480596542358399e-10,1.2387841507778983,0.00323536,7.713699340820313e-10,1.3619442658622223
18,23,8388608,0.00997889,1.1895763874053956e-09,1.0,0.00944956,1.1264753341674804e-09,1.0560163647831224,0.00657842,7.842087745666504e-10,1.5169128757361192,0.00527763,6.291425228118897e-10,1.890789994751432
19,24,16777216,0.0176301,1.0508358478546142e-09,1.0,0.0200128,1.1928558349609375e-09,0.8809411976335145,0.00892213,5.31800389289856e-10,1.9759967631047741,0.00860033,5.126196146011352e-10,2.049932967688449
20,25,33554432,0.0368804,1.0991215705871582e-09,1.0,0.0377308,1.1244654655456544e-09,0.9774613843332237,0.0133437,3.9767324924468994e-10,2.7638810824583886,0.0131237,3.91116738319397e-10,2.8102135830596553
