n,lane,threads,seq,simd,par,simdpar
5,16,40,2.812e-08,4.308e-08,6.69102e-05,3.40969e-05
6,16,40,2.86e-08,4.65e-08,6.81362e-05,6.21246e-05
7,16,40,6.252e-08,7.392e-08,0.000115888,0.000114398
8,16,40,6.844e-08,7.891e-08,0.000113822,0.000119429
9,16,40,7.788e-08,9.085e-08,0.000179943,0.000194118
10,16,40,1.0806e-07,1.2548e-07,0.000108408,0.000110305
11,16,40,1.954e-07,1.8846e-07,0.000109562,0.000112236
12,16,40,3.412e-07,3.6076e-07,0.000117802,0.00011953
13,16,40,1.94796e-06,1.29196e-06,0.000112066,0.00012079
14,16,40,3.82486e-06,2.16772e-06,0.000123218,0.000124966
15,16,40,5.14048e-06,3.95124e-06,0.000115803,0.00013746
