,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,2.264e-07,7.075e-09,1.0,1.99e-07,6.21875e-09,1.1376884422110551,6.02653e-05,1.883290625e-06,0.0037567223593012893,5.62389e-05,1.757465625e-06,0.0040256832903915254
1,6,64,2.448e-07,3.825e-09,1.0,1.9382e-07,3.0284375e-09,1.2630275513362916,0.00015093,2.35828125e-06,0.0016219439475253432,0.000151731,2.370796875e-06,0.0016133815766059673
2,7,128,3.8484e-07,3.0065625e-09,1.0,1.924e-07,1.503125e-09,2.0002079002079003,0.000389356,3.04184375e-06,0.0009884013601947832,0.000392357,3.0652890625e-06,0.0009808414275774358
3,8,256,7.568e-07,2.95625e-09,1.0,3.244e-07,1.2671875e-09,2.3329223181257706,0.000386955,1.51154296875e-06,0.0019557829721802275,0.000384998,1.5038984375e-06,0.0019657244972701156
4,9,512,2.0408e-06,3.9859375e-09,1.0,5.856e-07,1.14375e-09,3.484972677595629,0.000379961,7.42111328125e-07,0.0053710775579598954,0.000383374,7.4877734375e-07,0.0053232613583602435
5,10,1024,1.36425e-06,1.332275390625e-09,1.0,6.252e-07,6.10546875e-10,2.182101727447217,0.000386012,3.7696484375e-07,0.003534216552853279,0.000389765,3.806298828125e-07,0.003500186009518556
6,11,2048,2.10842e-06,1.029501953125e-09,1.0,1.02728e-06,5.016015625e-10,2.052429717311736,0.000385449,1.8820751953125e-07,0.005470036243445955,0.000391299,1.9106396484375e-07,0.005388258083971593
7,12,4096,6.57583e-06,1.60542724609375e-09,1.0,1.8992e-06,4.63671875e-10,3.46242101937658,0.000385915,9.4217529296875e-08,0.017039581254939557,0.0003841,9.37744140625e-08,0.017120098932569643
8,13,8192,6.58425e-06,8.03741455078125e-10,1.0,3.06604e-06,3.742724609375e-10,2.147476875709384,0.000379198,4.6288818359375e-08,0.017363620061287242,0.000386232,4.71474609375e-08,0.017047396383520784
9,14,16384,1.35085e-05,8.24493408203125e-10,1.0,6.70904e-06,4.094873046875e-10,2.0134773380394213,0.000386063,2.356341552734375e-08,0.034990403120734176,0.000391719,2.390863037109375e-08,0.03448517942708931
10,15,32768,2.74118e-05,8.36541748046875e-10,1.0,1.03011e-05,3.143646240234375e-10,2.6610556154197123,0.000400558,1.222406005859375e-08,0.06843403452184203,0.000401085,1.2240142822265626e-08,0.06834411658376653
11,16,65536,2.93538e-05,4.479034423828125e-10,1.0,2.14612e-05,3.27471923828125e-10,1.3677613553762138,0.00040139,6.124725341796875e-09,0.07313037195744787,0.000403614,6.158660888671875e-09,0.0727274078698955
12,17,131072,7.92093e-05,6.043190002441406e-10,1.0,4.15155e-05,3.1673812866210937e-10,1.9079452252773061,0.000397649,3.033821105957031e-09,0.1991940128102925,0.000406837,3.1039199829101563e-09,0.1946954185582924
13,18,262144,0.000167251,6.380119323730468e-10,1.0,9.83595e-05,3.752117156982422e-10,1.700405146427137,0.000400618,1.5282363891601562e-09,0.4174824895536396,0.000412169,1.5722999572753906e-09,0.4057825794758946
14,19,524288,0.000350201,6.679553985595703e-10,1.0,0.000189201,3.608722686767578e-10,1.8509468766021322,0.000398603,7.602748870849609e-10,0.878570908899331,0.000400396,7.636947631835938e-10,0.8746366097563412
15,20,1048576,0.000523267,4.990262985229492e-10,1.0,0.000385781,3.6790943145751956e-10,1.3563835440314582,0.000408704,3.897705078125e-10,1.2803079979642968,0.000414358,3.951625823974609e-10,1.2628379324159302
16,21,2097152,0.00105123,5.012655258178711e-10,1.0,0.000824981,3.933815956115723e-10,1.2742475281248902,0.000746221,3.5582590103149416e-10,1.4087381620190265,0.000649368,3.0964279174804687e-10,1.6188509443027683
17,22,4194304,0.00251591,5.998396873474121e-10,1.0,0.00190974,4.55317497253418e-10,1.3174096997497042,0.00113324,2.701854705810547e-10,2.2201034202816703,0.00133234,3.176546096801758e-10,1.8883393127880272
18,23,8388608,0.00445486,5.310606956481933e-10,1.0,0.00375579,4.4772505760192873e-10,1.1861312799703922,0.0542473,6.4667820930480955e-09,0.08212132216718619,0.0577352,6.882572174072266e-09,0.07716020729121921
