,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,7.608e-08,2.3775e-09,1.0,1.0764e-07,3.36375e-09,0.7068004459308808,8.28861e-05,2.590190625e-06,0.0009178861111814888,8.17272e-05,2.553975e-06,0.0009309018295010719
1,6,64,7.94e-08,1.240625e-09,1.0,9.286e-08,1.4509375e-09,0.8550506138272668,0.000208885,3.263828125e-06,0.0003801134595590875,0.000206873,3.232390625e-06,0.0003838103570789808
2,7,128,9.172e-08,7.165625e-10,1.0,9.554e-08,7.4640625e-10,0.9600167469122881,0.000211336,1.6510625e-06,0.0004340008327970625,0.000206227,1.6111484375e-06,0.0004447526269596125
3,8,256,1.7448e-07,6.815625e-10,1.0,1.254e-07,4.8984375e-10,1.3913875598086125,0.000208204,8.13296875e-07,0.0008380242454515764,0.000208309,8.1370703125e-07,0.0008376018318939653
4,9,512,2.8924e-07,5.64921875e-10,1.0,2.1398e-07,4.179296875e-10,1.3517151135620153,0.000209921,4.10001953125e-07,0.0013778516680084413,0.000207996,4.062421875e-07,0.0013906036654551049
5,10,1024,5.52083e-07,5.391435546875e-10,1.0,7.5388e-07,7.362109375e-10,0.7323221202313366,0.000214367,2.093427734375e-07,0.002575410394323753,0.000242317,2.366376953125e-07,0.0022783502601963546
6,11,2048,1.17767e-06,5.750341796875e-10,1.0,1.30604e-06,6.3771484375e-10,0.9017105142262106,0.000210478,1.027724609375e-07,0.005595216602210207,0.00024308,1.1869140625e-07,0.004844783610334046
7,12,4096,2.7235e-06,6.649169921875e-10,1.0,2.46592e-06,6.0203125e-10,1.104455943420711,0.000213542,5.213427734375e-08,0.01275393131093649,0.000245614,5.996435546875e-08,0.011088537298362471
8,13,8192,5.48367e-06,6.69393310546875e-10,1.0,6.36348e-06,7.767919921875e-10,0.8617407456297498,0.000211731,2.58460693359375e-08,0.025899230627541552,0.000243734,2.9752685546875e-08,0.022498584522471218
9,14,16384,1.1575e-05,7.0648193359375e-10,1.0,1.25295e-05,7.64739990234375e-10,0.9238197853066763,0.000221107,1.349530029296875e-08,0.0523502195769469,0.000236319,1.442376708984375e-08,0.04898040360698886
10,15,32768,2.31637e-05,7.069000244140625e-10,1.0,2.8682e-05,8.7530517578125e-10,0.8076040722404295,0.000213011,6.500579833984375e-09,0.10874414936317842,0.000249451,7.612640380859374e-09,0.0928587177441662
11,16,65536,4.23052e-05,6.45526123046875e-10,1.0,5.12252e-05,7.81634521484375e-10,0.8258669561075409,0.000217722,3.322174072265625e-09,0.1943083381559971,0.000247555,3.7773895263671875e-09,0.17089212498232717
12,17,131072,9.55842e-05,7.292495727539062e-10,1.0,0.000116918,8.920135498046875e-10,0.8175319454660531,0.000215318,1.6427459716796874e-09,0.44392108416388787,0.00025044,1.91070556640625e-09,0.3816650694777192
13,18,262144,0.000206178,7.865066528320313e-10,1.0,0.000225416,8.59893798828125e-10,0.9146555701458636,0.000226559,8.642539978027344e-10,0.9100410930486098,0.000255548,9.748382568359374e-10,0.8068073316950242
14,19,524288,0.000528496,1.008026123046875e-09,1.0,0.000523248,9.98016357421875e-10,1.0100296608873804,0.00026865,5.124092102050781e-10,1.9672287362739627,0.000260283,4.964504241943359e-10,2.0304668380186186
15,20,1048576,0.00113685,1.0841846466064453e-09,1.0,0.000910882,8.686847686767578e-10,1.2480760405848397,0.000332631,3.1722164154052735e-10,3.417751201782155,0.00026612,2.5379180908203126e-10,4.271944987223809
16,21,2097152,0.00224702,1.071462631225586e-09,1.0,0.00190435,9.080648422241211e-10,1.179940662168194,0.0004376,2.086639404296875e-10,5.134872029250458,0.000404175,1.9272565841674805e-10,5.5595224840724935
17,22,4194304,0.00469245,1.118767261505127e-09,1.0,0.00445174,1.0613775253295899e-09,1.0540709924658673,0.00107387,2.560305595397949e-10,4.369662994589661,0.0011667,2.7816295623779294e-10,4.021985086140396
18,23,8388608,0.0104491,1.2456297874450683e-09,1.0,0.0100354,1.1963129043579101e-09,1.0412240668035155,0.0026094,3.110647201538086e-10,4.004407143404614,0.0024581,2.930283546447754e-10,4.2508848297465525
