n,lane,threads,seq,simd,par,simdpar
5,8,8,1.2172e-07,1.2096e-07,8.19659e-05,8.46094e-05
6,8,8,1.2976e-07,1.2588e-07,8.35101e-05,8.27754e-05
7,8,8,1.7048e-07,1.2e-07,8.37243e-05,8.51102e-05
8,8,8,2.3884e-07,1.68e-07,8.05653e-05,8.30674e-05
9,8,8,3.9368e-07,4.956e-07,8.74157e-05,8.21676e-05
10,8,8,6.6875e-07,4.6544e-07,8.04981e-05,8.08317e-05
11,8,8,1.25042e-06,9.0684e-07,8.76513e-05,8.89276e-05
12,8,8,2.66225e-06,2.00856e-06,9.03835e-05,8.78936e-05
13,8,8,5.51308e-06,4.317e-06,9.27262e-05,9.0065e-05
14,8,8,1.07183e-05,8.43592e-06,9.09096e-05,9.43011e-05
15,8,8,2.27943e-05,1.61442e-05,8.74332e-05,9.1249e-05
16,8,8,5.07513e-05,3.68602e-05,7.89393e-05,8.68977e-05
17,8,8,0.00010108,7.45751e-05,7.36444e-05,7.98344e-05
18,8,8,0.000201142,0.000143498,7.45588e-05,7.12176e-05
19,8,8,0.000430424,0.000290256,0.000145633,8.37536e-05
20,8,8,0.000839323,0.000594293,0.000280254,0.000135806
21,8,8,0.00171726,0.00117239,0.000513789,0.000375687
22,8,8,0.00408386,0.00375407,0.00201557,0.0019473
23,8,8,0.00844736,0.00795303,0.00422811,0.00419778
24,8,8,0.0165662,0.0157623,0.00797097,0.010971
25,8,8,0.0968035,0.0409339,0.0301814,0.0290546
