,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,3.155e-08,9.859375e-10,1.0,3.146e-08,9.83125e-10,1.0028607755880483,3.91993e-05,1.224978125e-06,0.0008048613112989262,4.21503e-05,1.317196875e-06,0.0007485118729878554
1,6,64,2.735e-08,4.2734375e-10,1.0,3.525e-08,5.5078125e-10,0.775886524822695,7.06542e-05,1.103971875e-06,0.0003870965915685125,7.04851e-05,1.1013296875e-06,0.0003880252705891033
2,7,128,6.249e-08,4.88203125e-10,1.0,6.741e-08,5.26640625e-10,0.9270137961726745,0.000122634,9.58078125e-07,0.0005095650472136602,0.000123869,9.677265625e-07,0.0005044845764476987
3,8,256,6.429e-08,2.511328125e-10,1.0,7.283e-08,2.844921875e-10,0.8827406288617329,0.000122242,4.775078125e-07,0.000525923986845765,0.000123195,4.8123046875e-07,0.0005218555947887496
4,9,512,7.635e-08,1.4912109375e-10,1.0,9.542e-08,1.863671875e-10,0.8001467197652484,0.000123405,2.41025390625e-07,0.0006186945423605204,0.000128326,2.5063671875e-07,0.0005949690631672459
5,10,1024,1.0892e-07,1.063671875e-10,1.0,1.1582e-07,1.1310546875e-10,0.9404247970989467,0.000131332,1.2825390625e-07,0.0008293485213047848,0.000128796,1.2577734375e-07,0.0008456784372185472
6,11,2048,1.898e-07,9.267578125e-11,1.0,1.5844e-07,7.736328125e-11,1.197929815703105,0.000123688,6.039453125e-08,0.001534506176832029,0.000124873,6.097314453125e-08,0.0015199442633715855
7,12,4096,2.2898e-07,5.59033203125e-11,1.0,3.359e-07,8.20068359375e-11,0.6816909794581721,0.000124523,3.0401123046875e-08,0.0018388570786119834,0.00013189,3.219970703125e-08,0.0017361437561604367
8,13,8192,1.87666e-06,2.2908447265625e-10,1.0,1.16156e-06,1.417919921875e-10,1.6156375908261302,0.000121619,1.48460693359375e-08,0.01543064817174948,0.000129465,1.58038330078125e-08,0.014495500714478816
9,14,16384,3.71988e-06,2.2704345703125e-10,1.0,2.15168e-06,1.31328125e-10,1.7288258477096967,0.000122361,7.46832275390625e-09,0.030400863020079927,0.00013521,8.2525634765625e-09,0.027511870423785223
10,15,32768,6.10388e-06,1.86275634765625e-10,1.0,4.42352e-06,1.349951171875e-10,1.3798694252540964,0.000127209,3.882110595703125e-09,0.04798308295796681,0.000152922,4.66680908203125e-09,0.039914989340971214
