,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,6.976e-08,2.18e-09,1.0,9.316e-08,2.91125e-09,0.7488192357234865,8.24503e-05,2.576571875e-06,0.0008460854599680049,8.24194e-05,2.57560625e-06,0.0008464026673331764
1,6,64,7.452e-08,1.164375e-09,1.0,9.594e-08,1.4990625e-09,0.7767354596622889,0.000206048,3.2195e-06,0.0003616633017549309,0.000213186,3.33103125e-06,0.00034955391066955615
2,7,128,7.724e-08,6.034375e-10,1.0,9.47e-08,7.3984375e-10,0.8156282998944033,0.000206258,1.611390625e-06,0.00037448244431731133,0.000223653,1.7472890625e-06,0.0003453564226726223
3,8,256,1.3984e-07,5.4625e-10,1.0,1.108e-07,4.328125e-10,1.2620938628158844,0.000205731,8.0363671875e-07,0.0006797225503205641,0.000223646,8.736171875e-07,0.0006252738703129052
4,9,512,2.5604e-07,5.00078125e-10,1.0,1.372e-07,2.6796875e-10,1.8661807580174927,0.000206286,4.0290234375e-07,0.0012411894166351571,0.000225264,4.3996875e-07,0.0011366219191703956
5,10,1024,4.36583e-07,4.263505859375e-10,1.0,2.822e-07,2.755859375e-10,1.547069454287739,0.000207023,2.021708984375e-07,0.0021088623003241184,0.000232267,2.268232421875e-07,0.0018796600464121031
6,11,2048,9.22833e-07,4.5060205078125e-10,1.0,5.488e-07,2.6796875e-10,1.6815470116618074,0.000213664,1.04328125e-07,0.004319085105586341,0.000242022,1.181748046875e-07,0.0038130128665989044
7,12,4096,1.70067e-06,4.1520263671875e-10,1.0,1.39244e-06,3.39951171875e-10,1.2213596277038867,0.000214296,5.2318359375e-08,0.007936079068204727,0.000245364,5.99033203125e-08,0.006931212402797478
8,13,8192,3.54933e-06,4.33267822265625e-10,1.0,2.87628e-06,3.511083984375e-10,1.2340001668822227,0.000210968,2.57529296875e-08,0.01682402070456183,0.000245782,3.0002685546875e-08,0.014440968012303585
9,14,16384,7.27967e-06,4.443157958984375e-10,1.0,5.80652e-06,3.5440185546875e-10,1.2537061785716748,0.00021749,1.32745361328125e-08,0.033471286036139594,0.00025137,1.53424072265625e-08,0.028959979313362774
10,15,32768,1.43792e-05,4.38818359375e-10,1.0,1.16153e-05,3.544708251953125e-10,1.2379533890644236,0.000222102,6.77801513671875e-09,0.06474142511098503,0.000254076,7.7537841796875e-09,0.0565940899573356
11,16,65536,2.882e-05,4.3975830078125e-10,1.0,2.53488e-05,3.867919921875e-10,1.136937448715521,0.000216643,3.3057098388671876e-09,0.13302991557539362,0.000252262,3.849212646484375e-09,0.11424629948228428
12,17,131072,5.59793e-05,4.2708816528320313e-10,1.0,5.21014e-05,3.9750213623046877e-10,1.0744298617695494,0.000216064,1.6484375e-09,0.25908665950829385,0.000253734,1.9358367919921873e-09,0.2206219899579875
13,18,262144,0.000119197,4.5470046997070314e-10,1.0,0.000112253,4.282112121582031e-10,1.0618602620865367,0.000217804,8.308563232421875e-10,0.5472672678187729,0.000251776,9.6044921875e-10,0.4734247902897814
14,19,524288,0.00024315,4.637718200683594e-10,1.0,0.000223217,4.257526397705078e-10,1.0892987541271497,0.000237071,4.521770477294922e-10,1.0256421072168254,0.000265545,5.064868927001953e-10,0.915664011749421
15,20,1048576,0.000657222,6.267757415771484e-10,1.0,0.00046251,4.410839080810547e-10,1.4209898164364012,0.0003165,3.018379211425781e-10,2.0765308056872036,0.000276266,2.6346778869628906e-10,2.3789463777663555
16,21,2097152,0.00124731,5.947637557983398e-10,1.0,0.000940519,4.4847440719604493e-10,1.3261933039098626,0.000346993,1.6545915603637694e-10,3.594625828186736,0.000275971,1.3159322738647462e-10,4.519714027923223
17,22,4194304,0.0025288,6.029129028320312e-10,1.0,0.00187792,4.4773101806640623e-10,1.3465962341313793,0.000448207,1.0686087608337402e-10,5.64203593428929,0.000415976,9.917640686035156e-11,6.079196876742889
18,23,8388608,0.00520518,6.205058097839356e-10,1.0,0.00440967,5.256736278533936e-10,1.1804012545156441,0.00104188,1.2420177459716797e-10,4.995949629515875,0.00107202,1.277947425842285e-10,4.855487770750546
