,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up
0,5,32,1.1584e-07,3.62e-09,1.0,2.2336e-07,6.98e-09,0.5186246418338109
1,6,64,3.4556e-07,5.399375e-09,1.0,4.3228e-07,6.754375e-09,0.7993892847228647
2,7,128,1.4808e-07,1.156875e-09,1.0,7.4618e-07,5.82953125e-09,0.19845077595218313
3,8,256,2.5148e-07,9.8234375e-10,1.0,9.3522e-07,3.653203125e-09,0.26889929642223226
4,9,512,4.6256e-07,9.034375e-10,1.0,1.55294e-06,3.0330859375e-09,0.2978608317127513
5,10,1024,9.02667e-07,8.815107421875e-10,1.0,2.98568e-06,2.915703125e-09,0.3023321320436216
6,11,2048,1.99467e-06,9.739599609375e-10,1.0,5.85492e-06,2.85884765625e-09,0.34068270787645266
7,12,4096,4.28133e-06,1.04524658203125e-09,1.0,1.19382e-05,2.914599609375e-09,0.3586244157410665
8,13,8192,8.3985e-06,1.02520751953125e-09,1.0,2.0814e-05,2.540771484375e-09,0.40350245027385406
9,14,16384,1.62363e-05,9.90985107421875e-10,1.0,3.75601e-05,2.292486572265625e-09,0.4322752069350188
10,15,32768,3.7931e-05,1.157562255859375e-09,1.0,8.27464e-05,2.5252197265625e-09,0.4584006071563234
11,16,65536,7.58865e-05,1.1579360961914063e-09,1.0,0.000160488,2.4488525390625e-09,0.4728484372663377
12,17,131072,0.000149099,1.1375350952148438e-09,1.0,0.000320626,2.4461822509765626e-09,0.46502467048835716
13,18,262144,0.000314796,1.2008514404296875e-09,1.0,0.000644772,2.4596099853515627e-09,0.4882283970147587
14,19,524288,0.000617862,1.1784782409667968e-09,1.0,0.00130109,2.4816322326660156e-09,0.4748802926776779
15,20,1048576,0.00142931,1.3630962371826172e-09,1.0,0.00271987,2.5938701629638673e-09,0.5255067337777173
16,21,2097152,0.00491047,2.3414945602416993e-09,1.0,0.00681275,3.24857234954834e-09,0.7207764852665958
17,22,4194304,0.0104256,2.48565673828125e-09,1.0,0.0138966,3.3132076263427735e-09,0.7502266741505116
18,23,8388608,0.0207493,2.473509311676025e-09,1.0,0.0276741,3.2990097999572754e-09,0.7497732536920803
19,24,16777216,0.0412553,2.459007501602173e-09,1.0,0.059426,3.5420656204223633e-09,0.6942297984047388
20,25,33554432,0.0806077,2.4022966623306276e-09,1.0,0.302082,9.002745151519776e-09,0.2668404605372051
