,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up
0,5,32,1.0724e-07,3.35125e-09,1.0,1.7428e-07,5.44625e-09,0.6153316502180399
1,6,64,1.0544e-07,1.6475e-09,1.0,2.3384e-07,3.65375e-09,0.45090660280533695
2,7,128,1.4076e-07,1.0996875e-09,1.0,4.1352e-07,3.230625e-09,0.3403946604759141
3,8,256,2.0324e-07,7.9390625e-10,1.0,7.4698e-07,2.917890625e-09,0.27208225119815793
4,9,512,3.0584e-07,5.9734375e-10,1.0,9.2894e-07,1.8143359375e-09,0.3292354726893018
5,10,1024,5.29833e-07,5.174150390625e-10,1.0,1.17976e-06,1.152109375e-09,0.44910235980199353
6,11,2048,9.925e-07,4.84619140625e-10,1.0,2.2926e-06,1.11943359375e-09,0.4329145947832156
7,12,4096,2.01683e-06,4.9239013671875e-10,1.0,4.51996e-06,1.103505859375e-09,0.4462052761528863
8,13,8192,4.15e-06,5.06591796875e-10,1.0,8.66844e-06,1.0581591796875e-09,0.47874819460018186
9,14,16384,8.13725e-06,4.966583251953125e-10,1.0,1.59409e-05,9.72955322265625e-10,0.510463650107585
10,15,32768,1.72865e-05,5.275421142578125e-10,1.0,2.33512e-05,7.126220703125e-10,0.7402831546130392
11,16,65536,3.75253e-05,5.725906372070312e-10,1.0,5.10499e-05,7.789596557617188e-10,0.7350709795709688
12,17,131072,8.70067e-05,6.638084411621093e-10,1.0,0.000102131,7.791976928710938e-10,0.8519127395208115
13,18,262144,0.000169985,6.484413146972656e-10,1.0,0.000209819,8.003959655761719e-10,0.8101506536586295
14,19,524288,0.000349511,6.666393280029297e-10,1.0,0.000433614,8.270530700683594e-10,0.8060417790938483
15,20,1048576,0.000736425,7.023096084594726e-10,1.0,0.00095689,9.125614166259765e-10,0.769602566648204
16,21,2097152,0.00374118,1.7839336395263673e-09,1.0,0.0025636,1.2224197387695313e-09,1.459346231861445
17,22,4194304,0.00441747,1.0532069206237792e-09,1.0,0.00512149,1.2210583686828614e-09,0.8625360978933864
18,23,8388608,0.0110259,1.314389705657959e-09,1.0,0.0114003,1.3590216636657715e-09,0.9671587589800268
19,24,16777216,0.0197239,1.175636053085327e-09,1.0,0.0246822,1.4711737632751466e-09,0.7991143415092657
20,25,33554432,0.0336617,1.0031968355178834e-09,1.0,0.0454137,1.3534337282180787e-09,0.7412234634042151
