n,lane,threads,seq,simd,par,simdpar
5,8,10,9.632e-08,1.6448e-07,0.00177583,1.80935e-07
6,8,10,9.772e-08,2.463e-07,0.00280106,2.62715e-07
7,8,10,1.1856e-07,4.5594e-07,0.00165141,4.257e-07
8,8,10,1.9664e-07,7.5384e-07,0.0015121,7.2859e-07
9,8,10,3.0664e-07,9.1464e-07,0.00180955,9.61225e-07
10,8,10,5.35083e-07,1.22352e-06,0.0022875,1.35406e-06
11,8,10,9.88e-07,2.30708e-06,0.00210775,2.50787e-06
12,8,10,2.00025e-06,4.29256e-06,0.00185225,3.68461e-05
13,8,10,4.16408e-06,8.48952e-06,0.00207592,8.91098e-06
14,8,10,8.30667e-06,1.55118e-05,0.00110418,1.75441e-05
15,8,10,1.73048e-05,2.47263e-05,0.00104333,3.21288e-05
16,8,10,3.69948e-05,5.09358e-05,0.0022831,0.000120128
17,8,10,7.85457e-05,0.000105239,0.000505786,0.000114773
18,8,10,0.00016361,0.000214835,0.00178366,0.000226005
19,8,10,0.00034448,0.000445522,0.00260303,0.00065262
20,8,10,0.000782548,0.000943941,0.000994972,0.00108003
21,8,10,0.00377501,0.00201665,0.00345216,0.00255599
22,8,10,0.00332216,0.00568214,0.00529828,0.00569228
23,8,10,0.00988871,0.0123727,0.00566014,0.0113419
24,8,10,0.0197414,0.0233802,0.00723899,0.0230273
25,8,10,0.033855,0.044584,0.0122088,0.0474733
