,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up
0,5,32,6.004e-08,1.87625e-09,1.0,6.204e-08,1.93875e-09,0.9677627337201804
1,6,64,3.776e-08,5.9e-10,1.0,4.152e-08,6.4875e-10,0.9094412331406552
2,7,128,8.006e-08,6.2546875e-10,1.0,8.91e-08,6.9609375e-10,0.8985409652076319
3,8,256,5.65e-08,2.20703125e-10,1.0,4.744e-08,1.853125e-10,1.1909780775716696
4,9,512,6.388e-08,1.24765625e-10,1.0,6.984e-08,1.3640625e-10,0.9146620847651776
5,10,1024,1.2288e-07,1.2e-10,1.0,1.332e-07,1.30078125e-10,0.9225225225225225
6,11,2048,1.9052e-07,9.302734375e-11,1.0,2.8924e-07,1.4123046875e-10,0.6586917438805143
7,12,4096,4.1984e-07,1.025e-10,1.0,6.3624e-07,1.5533203125e-10,0.6598767760593487
8,13,8192,2.0704e-06,2.52734375e-10,1.0,2.0668e-06,2.52294921875e-10,1.0017418231081867
9,14,16384,4.34964e-06,2.6548095703125e-10,1.0,4.03324e-06,2.4616943359375e-10,1.0784480963195842
10,15,32768,0.000250419,7.642181396484375e-09,1.0,1.09548e-05,3.3431396484375e-10,22.85929455581115
11,16,65536,2.72288e-05,4.15478515625e-10,1.0,2.59668e-05,3.96221923828125e-10,1.048600520664849
12,17,131072,5.89488e-05,4.4974365234375e-10,1.0,7.62978e-05,5.821060180664063e-10,0.772614675652509
13,18,262144,0.000157956,6.025543212890625e-10,1.0,0.000193625,7.386207580566406e-10,0.8157830858618463
14,19,524288,0.000335128,6.392059326171875e-10,1.0,0.000416793,7.949695587158203e-10,0.8040634079747021
15,20,1048576,0.000743993,7.095270156860351e-10,1.0,0.00203266,1.938495635986328e-09,0.36601940314661574
16,21,2097152,0.00143977,6.865358352661133e-10,1.0,0.00178131,8.493947982788086e-10,0.8082647040661086
17,22,4194304,0.00286303,6.825995445251465e-10,1.0,0.00357886,8.53266716003418e-10,0.7999837937220232
