,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,6.654e-08,2.079375e-09,1.0,5.5079999999999994e-08,1.7212499999999998e-09,1.2080610021786493,4.41424e-05,1.37945e-06,0.0015073942513320526,4.30887e-05,1.346521875e-06,0.0015442563827639266
1,6,64,8.339999999999999e-08,1.3031249999999999e-09,1.0,4.862e-08,7.596875e-10,1.715343480049362,4.58867e-05,7.169796875e-07,0.0018175201093127199,4.2052600000000005e-05,6.570718750000001e-07,0.0019832305255798686
2,7,128,1.4478e-07,1.13109375e-09,1.0,8.602e-08,6.7203125e-10,1.6830969541966985,3.95207e-05,3.0875546875e-07,0.003663396650362974,3.9786599999999996e-05,3.1083281249999997e-07,0.0036389136040777554
3,8,256,3.0039e-07,1.1733984375e-09,1.0,1.1337999999999999e-07,4.4289062499999995e-10,2.6494090668548247,4.02176e-05,1.571e-07,0.007469117998090389,4.04566e-05,1.5803359375e-07,0.007424993696949323
4,9,512,5.5134e-07,1.0768359375e-09,1.0,1.4428e-07,2.81796875e-10,3.821319656224009,3.87702e-05,7.5723046875e-08,0.014220715910673662,4.13438e-05,8.0749609375e-08,0.013335494076499982
5,10,1024,1.1890799999999998e-06,1.1612109374999998e-09,1.0,2.1441999999999996e-07,2.0939453124999996e-10,5.5455647794049066,4.00857e-05,3.914619140625e-08,0.029663446066801873,4.05225e-05,3.957275390625e-08,0.029343697945585785
6,11,2048,2.31882e-06,1.132236328125e-09,1.0,3.2452e-07,1.5845703125e-10,7.145383951682485,3.73751e-05,1.8249560546875e-08,0.06204184069072725,5.00556e-05,2.44412109375e-08,0.046324886725960725
7,12,4096,4.331280000000001e-06,1.0574414062500002e-09,1.0,6.5194e-07,1.591650390625e-10,6.643678866153328,3.7864e-05,9.244140625e-09,0.11439045003169239,3.94135e-05,9.6224365234375e-09,0.10989331066766465
8,13,8192,8.538960000000001e-06,1.0423535156250002e-09,1.0,1.52102e-06,1.8567138671875e-10,5.613969573049665,3.7558e-05,4.584716796875e-09,0.2273539592097556,3.96672e-05,4.8421875e-09,0.21526500484027108
9,14,16384,1.65076e-05,1.0075439453125e-09,1.0,2.85092e-06,1.7400634765625e-10,5.790271210696899,6.66571e-05,4.068426513671875e-09,0.2476495377086612,4.54846e-05,2.77615966796875e-09,0.36292723251386183
10,15,32768,3.20506e-05,9.78106689453125e-10,1.0,1.8014e-05,5.4974365234375e-10,1.7792050627289886,3.87318e-05,1.182000732421875e-09,0.8275009165595196,5.46201e-05,1.6668731689453126e-09,0.5867913094263834
11,16,65536,6.357e-05,9.70001220703125e-10,1.0,3.15745e-05,4.817886352539063e-10,2.0133335444741802,4.9395600000000005e-05,7.537170410156251e-10,1.2869567329883633,6.56778e-05,1.0021636962890626e-09,0.967906963996967
12,17,131072,0.000133313,1.0170974731445313e-09,1.0,4.6573199999999997e-05,3.5532531738281247e-10,2.8624402016610415,6.557520000000001e-05,5.002990722656251e-10,2.0329789310593025,8.34634e-05,6.367752075195312e-10,1.5972629919222079
13,18,262144,0.000241059,9.195671081542969e-10,1.0,0.000108656,4.1448974609375e-10,2.2185521278162277,7.40273e-05,2.8239173889160154e-10,3.2563527239275243,8.66775e-05,3.3064842224121096e-10,2.781102362204724
14,19,524288,0.000488452,9.316482543945313e-10,1.0,0.000212334,4.049949645996094e-10,2.300394661241252,0.000109379,2.0862388610839843e-10,4.465683540716225,9.7941e-05,1.8680763244628907e-10,4.987206583555405
15,20,1048576,0.00115679,1.103200912475586e-09,1.0,0.000574854,5.482234954833984e-10,2.0123196498589206,0.000282985,2.6987552642822263e-10,4.08781384172306,0.000264046,2.5181388854980467e-10,4.381016944017331
16,21,2097152,0.00234847,1.119837760925293e-09,1.0,0.00133265,6.354570388793945e-10,1.7622556560237124,0.000580118,2.766218185424805e-10,4.048262594851392,0.000555626,2.6494312286376955e-10,4.226710053165259
17,22,4194304,0.00485633,1.157839298248291e-09,1.0,0.00274162,6.536531448364258e-10,1.7713359254747192,0.00132224,3.1524658203125e-10,3.6728052395934174,0.0012687000000000002,3.024816513061524e-10,3.8278001103491754
18,23,8388608,0.00980982,1.169421672821045e-09,1.0,0.00566313,6.750977039337158e-10,1.7322258185844226,0.00226179,2.6962637901306153e-10,4.337193108113485,0.00420826,5.016636848449707e-10,2.331086957554904
