,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,6.63e-08,2.071875e-09,1.0,4.576e-08,1.43e-09,1.4488636363636365,3.71733e-05,1.161665625e-06,0.0017835381846647998,3.34358e-05,1.04486875e-06,0.001982904551408969
1,6,64,9.292e-08,1.451875e-09,1.0,4.986e-08,7.790625e-10,1.8636181307661452,5.71867e-05,8.935421875e-07,0.0016248533312815743,6.13608e-05,9.587625e-07,0.001514321847172788
2,7,128,1.2766e-07,9.9734375e-10,1.0,8.954e-08,6.9953125e-10,1.4257315166406073,6.05278e-05,4.728734375e-07,0.0021091134982603034,6.22769e-05,4.8653828125e-07,0.002049877241802337
3,8,256,2.2744e-07,8.884375e-10,1.0,9.698e-08,3.78828125e-10,2.345225819756651,6.01145e-05,2.34822265625e-07,0.0037834465894251803,6.39438e-05,2.4978046875e-07,0.0035568733794363178
4,9,512,4.8454e-07,9.463671875e-10,1.0,1.1384e-07,2.2234375e-10,4.256324666198173,6.03674e-05,1.17905078125e-07,0.008026517623750567,6.55082e-05,1.27945703125e-07,0.007396631261429867
5,10,1024,7.8496e-07,7.665625e-10,1.0,1.5392e-07,1.503125e-10,5.0997920997921,6.01776e-05,5.87671875e-08,0.013044056260136662,6.18703e-05,6.042021484375e-08,0.012687185935739765
6,11,2048,1.5374e-06,7.5068359375e-10,1.0,2.506e-07,1.2236328125e-10,6.134876296887471,6.22734e-05,3.040693359375e-08,0.02468790848098867,6.73449e-05,3.2883251953125e-08,0.022828751694634632
7,12,4096,3.62828e-06,8.85810546875e-10,1.0,3.7828e-07,9.2353515625e-11,9.591519509358147,5.8021e-05,1.4165283203125e-08,0.06253391013598525,6.90826e-05,1.6865869140625e-08,0.05252089527608978
8,13,8192,7.19548e-06,8.783544921875e-10,1.0,6.9568e-07,8.4921875e-11,10.343088776448942,5.92145e-05,7.22833251953125e-09,0.12151550718151805,6.56636e-05,8.015576171875e-09,0.10958095504967745
9,14,16384,1.42979e-05,8.72674560546875e-10,1.0,1.464e-06,8.935546875e-11,9.766325136612021,5.53076e-05,3.3757080078125e-09,0.25851600864980584,7.08388e-05,4.3236572265625e-09,0.2018371288051181
10,15,32768,2.42974e-05,7.41497802734375e-10,1.0,4.67258e-06,1.425958251953125e-10,5.199996575767562,5.53206e-05,1.688250732421875e-09,0.43921070993445477,7.17941e-05,2.1909820556640626e-09,0.3384317095694493
11,16,65536,4.79818e-05,7.321441650390625e-10,1.0,1.46519e-05,2.2357025146484374e-10,3.2747834751806937,6.0655e-05,9.255218505859375e-10,0.7910609183084659,5.84002e-05,8.911163330078125e-10,0.8216033506734567
12,17,131072,9.56173e-05,7.295021057128906e-10,1.0,3.42513e-05,2.6131668090820314e-10,2.7916400253421036,6.09407e-05,4.6494064331054686e-10,1.569022016484878,6.77387e-05,5.168052673339844e-10,1.41156089502751
13,18,262144,0.000191725,7.313728332519532e-10,1.0,4.56656e-05,1.74200439453125e-10,4.198455730352826,7.08323e-05,2.7020378112792967e-10,2.7067453689912657,8.28522e-05,3.160560607910156e-10,2.3140604594687892
14,19,524288,0.000380098,7.249794006347656e-10,1.0,9.72657e-05,1.855195999145508e-10,3.907831846169821,8.7191e-05,1.6630363464355469e-10,4.359371953527313,9.83758e-05,1.8763694763183593e-10,3.8637347803016597
15,20,1048576,0.000766336,7.308349609375e-10,1.0,0.000179178,1.7087745666503906e-10,4.2769536438625275,9.73827e-05,9.287137985229493e-11,7.869323812135009,0.000105392,1.005096435546875e-10,7.271291938667071
16,21,2097152,0.00147827,7.048940658569336e-10,1.0,0.000332993,1.587834358215332e-10,4.439342568762707,0.000155988,7.438087463378906e-11,9.47681872964587,0.000158509,7.558298110961915e-11,9.3260950482307
17,22,4194304,0.00273671,6.524825096130371e-10,1.0,0.000648325,1.5457272529602052e-10,4.221200786642501,0.000231989,5.531048774719238e-11,11.796723120492782,0.000205299,4.8947095870971677e-11,13.330362057292048
18,23,8388608,0.00567099,6.760346889495849e-10,1.0,0.00163225,1.945793628692627e-10,3.474339102465921,0.000463393,5.5240750312805174e-11,12.237970793689158,0.000289918,3.45609188079834e-11,19.560668878786416
