,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.28e-07,4e-09,1.0,1.8002e-07,5.625625e-09,0.7110321075436064,6.15495e-05,1.923421875e-06,0.00207962696691281,5.82881e-05,1.821503125e-06,0.002195988546547237
1,6,64,1.3284e-07,2.075625e-09,1.0,1.0482e-07,1.6378125e-09,1.2673153978248426,0.00015481,2.41890625e-06,0.0008580841030941153,0.000155339,2.427171875e-06,0.0008551619361525437
2,7,128,2.172e-07,1.696875e-09,1.0,1.0102e-07,7.8921875e-10,2.1500692932092655,0.000396099,3.0945234375e-06,0.0005483477615444624,0.000395832,3.0924375e-06,0.0005487176377857273
3,8,256,3.784e-07,1.478125e-09,1.0,1.34e-07,5.234375e-10,2.823880597014925,0.000391915,1.53091796875e-06,0.000965515481673322,0.00039417,1.5397265625e-06,0.0009599918816754192
4,9,512,8.6248e-07,1.68453125e-09,1.0,1.8044e-07,3.52421875e-10,4.779871425404567,0.000390933,7.63541015625e-07,0.002206209248132033,0.000389715,7.61162109375e-07,0.0022131044481223457
5,10,1024,1.311e-06,1.2802734375e-09,1.0,2.704e-07,2.640625e-10,4.848372781065089,0.000387038,3.77966796875e-07,0.003387264299629494,0.000393184,3.8396875e-07,0.003334316757548629
6,11,2048,2.54675e-06,1.2435302734375e-09,1.0,4.8328e-07,2.359765625e-10,5.269719417315014,0.000392616,1.9170703125e-07,0.006486617967683436,0.00039308,1.9193359375e-07,0.006478961025745395
7,12,4096,5.10042e-06,1.2452197265625e-09,1.0,7.7336e-07,1.8880859375e-10,6.595143270921692,0.000394519,9.6318115234375e-08,0.012928198641890504,0.000396438,9.678662109375e-08,0.01286561833123969
8,13,8192,9.98517e-06,1.218892822265625e-09,1.0,1.69188e-06,2.065283203125e-10,5.901819277962977,0.000394595,4.81683349609375e-08,0.0253048568785717,0.000394103,4.81082763671875e-08,0.02533644757842493
9,14,16384,1.00111e-05,6.11029052734375e-10,1.0,3.0852e-06,1.883056640625e-10,3.2448787760923117,0.000391514,2.38961181640625e-08,0.025570222265359606,0.000390335,2.382415771484375e-08,0.025647456671833168
10,15,32768,1.99353e-05,6.083770751953125e-10,1.0,4.82792e-06,1.4733642578125e-10,4.129169497423321,0.000404487,1.2343963623046874e-08,0.0492853911250547,0.000405964,1.23890380859375e-08,0.04910607837148121
11,16,65536,3.97973e-05,6.072586059570312e-10,1.0,1.12113e-05,1.7107086181640626e-10,3.549748914042082,0.000409027,6.241256713867188e-09,0.09729748891882442,0.000408115,6.227340698242188e-09,0.09751491613883341
12,17,131072,9.31243e-05,7.104820251464844e-10,1.0,1.84028e-05,1.404022216796875e-10,5.060333210163671,0.000406293,3.0997695922851563e-09,0.22920478570883576,0.00040911,3.1212615966796876e-09,0.22762655520520153
13,18,262144,0.000186258,7.105178833007812e-10,1.0,3.54537e-05,1.3524513244628907e-10,5.253556046336489,0.000414991,1.5830650329589845e-09,0.4488241913680055,0.000408163,1.557018280029297e-09,0.45633239661605773
14,19,524288,0.000318069,6.06668472290039e-10,1.0,6.79867e-05,1.296743392944336e-10,4.678400334183009,0.000425513,8.116016387939453e-10,0.7474953761694707,0.000411207,7.843151092529297e-10,0.7735009374840408
15,20,1048576,0.000651714,6.215229034423828e-10,1.0,0.000128873,1.2290287017822265e-10,5.057025133270739,0.000522996,4.987678527832031e-10,1.2461166050983181,0.000411786,3.9270973205566404e-10,1.5826521542743075
16,21,2097152,0.00135655,6.468534469604492e-10,1.0,0.000323487,1.542506217956543e-10,4.193522459944294,0.00064035,3.053426742553711e-10,2.1184508471929413,0.000422558,2.014913558959961e-10,3.2103285229483287
17,22,4194304,0.00374925,8.938908576965332e-10,1.0,0.00117389,2.798771858215332e-10,3.193868250006389,0.000739487,1.7630743980407716e-10,5.070068845023645,0.000602611,1.4367365837097167e-10,6.221675342799916
18,23,8388608,0.00574947,6.853902339935302e-10,1.0,0.0022628,2.6974678039550783e-10,2.540865299628778,0.0322359,3.842818737030029e-09,0.1783561184890138,0.0256528,3.0580520629882812e-09,0.224126411151999
