n,lane,threads,seq,simd,par,simdpar
5,8,20,5.756e-08,3.77e-08,3.95624e-05,3.58565e-05
6,8,20,6.914e-08,2.3894e-07,6.39084e-05,6.33299e-05
7,8,20,1.1514e-07,8.662e-08,6.17098e-05,6.2702e-05
8,8,20,2.0266e-07,1.0504e-07,6.248e-05,6.30335e-05
9,8,20,3.6288e-07,1.435e-07,6.32538e-05,5.96803e-05
10,8,20,7.0044e-07,2.2496e-07,6.456e-05,6.91391e-05
11,8,20,1.64376e-06,3.5068e-07,6.26726e-05,6.55743e-05
12,8,20,3.27696e-06,6.4096e-07,5.77138e-05,6.78127e-05
13,8,20,6.40932e-06,1.42888e-06,5.96501e-05,6.22369e-05
14,8,20,1.28466e-05,2.76812e-06,5.75625e-05,6.66742e-05
15,8,20,2.25302e-05,7.87825e-06,5.62057e-05,7.48255e-05
16,8,20,4.28639e-05,3.34201e-05,7.05786e-05,6.70832e-05
17,8,20,8.73792e-05,4.49004e-05,7.35098e-05,7.86387e-05
18,8,20,0.000170669,9.76512e-05,8.46538e-05,9.5971e-05
19,8,20,0.000326959,0.00017446,0.00103578,0.000102585
20,8,20,0.000645875,0.000328292,0.000101604,0.000104996
21,8,20,0.00136889,0.000651782,0.000158057,0.000175748
22,8,20,0.00317475,0.00158282,0.000297529,0.000248591
23,8,20,0.00669993,0.00424118,0.000779108,0.000709029
