,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,5.337000000000001e-08,1.6678125000000002e-09,1.0,3.886e-08,1.214375e-09,1.3733916623777667,4.74433e-05,1.482603125e-06,0.0011249217486979195,3.95163e-05,1.234884375e-06,0.0013505819117680554
1,6,64,7.304e-08,1.14125e-09,1.0,4.378e-08,6.840625e-10,1.6683417085427135,3.72123e-05,5.814421875e-07,0.001962791872579765,3.57133e-05,5.580203125e-07,0.0020451764468699335
2,7,128,1.4323e-07,1.118984375e-09,1.0,8.555e-08,6.68359375e-10,1.6742255990648744,3.58652e-05,2.80196875e-07,0.0039935647926123375,3.5339499999999996e-05,2.7608984374999997e-07,0.004052971886981989
3,8,256,2.105e-07,8.22265625e-10,1.0,1.0397e-07,4.061328125e-10,2.0246224872559395,3.54302e-05,1.3839921875e-07,0.005941259151797055,4.40664e-05,1.72134375e-07,0.004776882159649983
4,9,512,3.9686e-07,7.751171875e-10,1.0,1.2748e-07,2.48984375e-10,3.113115782867901,3.42423e-05,6.68794921875e-08,0.011589758865496768,4.518100000000001e-05,8.824414062500001e-08,0.008783780792811136
5,10,1024,9.1024e-07,8.8890625e-10,1.0,2.1561999999999997e-07,2.1056640624999997e-10,4.2215007884240805,3.50595e-05,3.423779296875e-08,0.025962720517976583,3.6396700000000003e-05,3.5543652343750003e-08,0.02500886069341451
6,11,2048,1.6596599999999997e-06,8.103808593749999e-10,1.0,3.8546e-07,1.88212890625e-10,4.305660768951382,3.41913e-05,1.6694970703125e-08,0.048540418176553676,3.5963e-05,1.756005859375e-08,0.04614909768373049
7,12,4096,3.2687e-06,7.980224609375e-10,1.0,7.141e-07,1.743408203125e-10,4.57737011623022,3.36858e-05,8.224072265625e-09,0.097034952413183,3.79093e-05,9.2552001953125e-09,0.08622422466254982
8,13,8192,6.426219999999999e-06,7.844506835937499e-10,1.0,1.61584e-06,1.9724609375e-10,3.9770150509951474,3.35644e-05,4.097216796875e-09,0.19145940341552356,4.1125100000000004e-05,5.0201538085937505e-09,0.15626028872878117
9,14,16384,1.53632e-05,9.376953125e-10,1.0,2.9987e-06,1.83026123046875e-10,5.123286757594957,4.03202e-05,2.46094970703125e-09,0.38102985600269834,5.3158800000000003e-05,3.2445556640625002e-09,0.28900577138686345
10,15,32768,2.51157e-05,7.664703369140625e-10,1.0,2.40973e-05,7.353912353515625e-10,1.042261996157246,3.91279e-05,1.1940887451171876e-09,0.6418872466960915,5.54506e-05,1.692218017578125e-09,0.45293829101939387
11,16,65536,5.41039e-05,8.255599975585938e-10,1.0,3.00718e-05,4.588592529296875e-10,1.799157350075486,0.00021669700000000002,3.3065338134765627e-09,0.24967535314286768,7.75658e-05,1.1835601806640624e-09,0.6975226195049881
12,17,131072,9.275530000000001e-05,7.076667785644532e-10,1.0,4.62291e-05,3.527000427246094e-10,2.006426687951961,6.52126e-05,4.975326538085937e-10,1.4223524288251046,7.84936e-05,5.98858642578125e-10,1.1816925201545097
13,18,262144,0.000191032,7.28729248046875e-10,1.0,0.00011161799999999999,4.257888793945312e-10,1.711480227203498,7.25434e-05,2.7673110961914063e-10,2.6333477614779564,8.43511e-05,3.2177391052246094e-10,2.2647244671379507
14,19,524288,0.000371935,7.094097137451172e-10,1.0,0.000221177,4.218616485595703e-10,1.6816169854912582,9.27789e-05,1.7696170806884764e-10,4.008831749460276,9.90864e-05,1.889923095703125e-10,3.753643285052237
15,20,1048576,0.00124614,1.1884117126464843e-09,1.0,0.000528676,5.041847229003906e-10,2.3570958394177155,0.000369931,3.5279369354248046e-10,3.368574139501691,0.0025120999999999997,2.3957252502441404e-09,0.49605509334819475
16,21,2097152,0.0020359,9.707927703857423e-10,1.0,0.00143718,6.853008270263672e-10,1.416593606924672,0.0008329,3.971576690673828e-10,2.4443510625525273,0.00112213,5.350732803344727e-10,1.8143174142033456
17,22,4194304,0.00410441,9.785676002502442e-10,1.0,0.00421159,1.0041213035583497e-09,0.9745511790084029,0.000995038,2.3723554611206054e-10,4.124877642863891,0.00111622,2.661275863647461e-10,3.677061869523929
18,23,8388608,0.00813133,9.693300724029542e-10,1.0,0.00555061,6.616842746734619e-10,1.4649434926971991,0.0016777,1.999974250793457e-10,4.846712761518746,0.00130025,1.5500187873840332e-10,6.253666602576429
