n,lane,threads,seq,simd,par,simdpar
5,16,10,5.723e-08,5.113e-08,4.11256e-05,4.28541e-05
6,16,10,8.216e-08,4.999e-08,3.90726e-05,4.00695e-05
7,16,10,1.2935e-07,8.392e-08,3.77163e-05,3.72188e-05
8,16,10,2.0626e-07,9.715e-08,3.68276e-05,4.18283e-05
9,16,10,4.6978e-07,1.2248e-07,3.98064e-05,3.84085e-05
10,16,10,7.4782e-07,1.715e-07,3.62831e-05,3.80396e-05
11,16,10,3.19014e-06,4.1508e-07,3.73788e-05,4.26522e-05
12,16,10,3.49116e-06,4.1776e-07,3.59419e-05,3.94144e-05
13,16,10,1.05931e-05,1.1838e-06,3.82442e-05,3.99669e-05
14,16,10,1.25181e-05,1.5547e-06,3.67135e-05,6.30955e-05
15,16,10,2.27594e-05,7.97636e-06,5.12461e-05,7.73882e-05
16,16,10,4.70832e-05,2.26288e-05,3.88811e-05,5.75427e-05
17,16,10,9.87376e-05,3.29678e-05,5.32367e-05,6.46075e-05
18,16,10,0.000184345,5.186e-05,9.88402e-05,7.81581e-05
19,16,10,0.000427489,0.000112514,9.85097e-05,0.000256186
20,16,10,0.000743715,0.00023741,0.000512204,0.000390501
21,16,10,0.00162005,0.000597616,0.000481287,0.00120152
22,16,10,0.00388165,0.00142563,0.00101591,0.00169855
23,16,10,0.00700696,0.00280327,0.00201841,0.00100588
