,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,5.723e-08,1.7884375e-09,1.0,5.113e-08,1.5978125e-09,1.1193037355759827,4.1125600000000005e-05,1.2851750000000002e-06,0.0013915906394070844,4.28541e-05,1.339190625e-06,0.0013354614844320613
1,6,64,8.216000000000002e-08,1.2837500000000002e-09,1.0,4.999e-08,7.8109375e-10,1.6435287057411485,3.90726e-05,6.10509375e-07,0.002102752312362116,4.00695e-05,6.260859375e-07,0.002050437365078177
2,7,128,1.2935e-07,1.010546875e-09,1.0,8.392000000000001e-08,6.556250000000001e-10,1.5413489037178263,3.7716300000000003e-05,2.9465859375000003e-07,0.0034295516792474338,3.7218800000000004e-05,2.9077187500000003e-07,0.003475394155641772
3,8,256,2.0625999999999997e-07,8.057031249999999e-10,1.0,9.714999999999999e-08,3.7949218749999997e-10,2.123108594956253,3.68276e-05,1.438578125e-07,0.005600690786258132,4.18283e-05,1.63391796875e-07,0.004931111233303767
4,9,512,4.6978e-07,9.175390625e-10,1.0,1.2248e-07,2.3921875e-10,3.8355649902024824,3.98064e-05,7.7746875e-08,0.011801619840025725,3.8408499999999997e-05,7.501660156249999e-08,0.012231146751370141
5,10,1024,7.4782e-07,7.3029296875e-10,1.0,1.715e-07,1.6748046875e-10,4.360466472303207,3.62831e-05,3.543271484375e-08,0.02061069754238199,3.80396e-05,3.7148046875e-08,0.019658986950441118
6,11,2048,3.19014e-06,1.557685546875e-09,1.0,4.1508000000000003e-07,2.0267578125000002e-10,7.685602775368603,3.73788e-05,1.82513671875e-08,0.08534623904459211,4.2652200000000005e-05,2.0826269531250002e-08,0.07479426618087695
7,12,4096,3.49116e-06,8.52333984375e-10,1.0,4.1776000000000006e-07,1.0199218750000001e-10,8.356855610877057,3.59419e-05,8.7748779296875e-09,0.09713342922883876,3.94144e-05,9.62265625e-09,0.08857574896484534
8,13,8192,1.05931e-05,1.29310302734375e-09,1.0,1.1838e-06,1.445068359375e-10,8.948386551782395,3.82442e-05,4.6684814453125e-09,0.2769857913095319,3.99669e-05,4.87877197265625e-09,0.26504682624872083
9,14,16384,1.25181e-05,7.64044189453125e-10,1.0,1.5547e-06,9.4891357421875e-11,8.05177847816299,3.67135e-05,2.240814208984375e-09,0.34096721914282213,6.30955e-05,3.851043701171875e-09,0.1983992519276335
10,15,32768,2.27594e-05,6.94561767578125e-10,1.0,7.976360000000001e-06,2.4341918945312503e-10,2.853356668956767,5.12461e-05,1.5639068603515624e-09,0.4441196500806891,7.73882e-05,2.361700439453125e-09,0.29409393163298797
11,16,65536,4.70832e-05,7.184326171875e-10,1.0,2.2628800000000003e-05,3.4528808593750004e-10,2.0806759527681535,3.88811e-05,5.932785034179688e-10,1.2109533938083026,5.754270000000001e-05,8.780319213867189e-10,0.8182306356844568
12,17,131072,9.87376e-05,7.5330810546875e-10,1.0,3.29678e-05,2.5152435302734375e-10,2.994970850344882,5.32367e-05,4.0616378784179686e-10,1.8546904672904219,6.46075e-05,4.929161071777343e-10,1.5282683898928144
13,18,262144,0.000184345,7.032203674316407e-10,1.0,5.186e-05,1.978302001953125e-10,3.5546664095642115,9.884020000000001e-05,3.7704544067382816e-10,1.8650812118955646,7.81581e-05,2.981494903564453e-10,2.3586167012760035
14,19,524288,0.000427489,8.153705596923829e-10,1.0,0.000112514,2.1460342407226563e-10,3.7994294043407932,9.85097e-05,1.8789234161376952e-10,4.339562499936555,0.000256186,4.886360168457031e-10,1.6686665157346616
15,20,1048576,0.000743715,7.092618942260743e-10,1.0,0.00023741,2.264118194580078e-10,3.1326186765511146,0.000512204,4.884757995605469e-10,1.4519898321762423,0.00039050099999999997,3.72410774230957e-10,1.9045149692318333
16,21,2097152,0.00162005,7.725000381469727e-10,1.0,0.000597616,2.8496551513671877e-10,2.710854461727932,0.00048128699999999995,2.294955253601074e-10,3.3660788677026394,0.00120152,5.729293823242187e-10,1.348333777215527
17,22,4194304,0.00388165,9.254574775695801e-10,1.0,0.00142563,3.3989667892456055e-10,2.7227611652392274,0.00101591,2.422118186950684e-10,3.8208601155614175,0.00169855,4.04965877532959e-10,2.2852727326248856
18,23,8388608,0.00700696,8.352947235107421e-10,1.0,0.00280327,3.3417582511901856e-10,2.4995665776040124,0.00201841,2.406132221221924e-10,3.471524615910543,0.00100588,1.1991024017333985e-10,6.96599992046765
