n,lane,threads,seq,simd,par,simdpar
5,16,20,8.228e-08,9.686e-08,7.79263e-05,8.1091e-05
6,16,20,7.584e-08,8.012e-08,0.000189414,0.000189087
7,16,20,1.146e-07,8.26e-08,0.000188991,0.000183273
8,16,20,1.9692e-07,9.896e-08,0.000184887,0.000186677
9,16,20,3.7116e-07,1.2678e-07,0.000194884,0.000192877
10,16,20,7.17667e-07,1.8824e-07,0.000185553,0.00018632
11,16,20,1.39033e-06,2.7948e-07,0.000190366,0.000218922
12,16,20,2.72067e-06,4.5028e-07,0.000189313,0.000210806
13,16,20,6.416e-06,8.5096e-07,0.000203927,0.000217414
14,16,20,1.27336e-05,1.55636e-06,0.000207155,0.000229226
15,16,20,2.19597e-05,3.43683e-06,0.000218858,0.000232721
16,16,20,4.54192e-05,1.36165e-05,0.000210364,0.000245608
17,16,20,8.53222e-05,3.64733e-05,0.000205403,0.000234527
18,16,20,0.000172936,5.36358e-05,0.00021216,0.000243165
19,16,20,0.000344689,0.000109323,0.00020427,0.000234957
20,16,20,0.000739477,0.000301275,0.000270256,0.000247563
21,16,20,0.00150909,0.00052769,0.00032095,0.000346563
22,16,20,0.00300237,0.00103887,0.000364103,0.000366617
23,16,20,0.00587756,0.00213401,0.000456028,0.000280233
