,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.3432e-07,4.1975e-09,1.0,1.4382e-07,4.494375e-09,0.9339452092893895,9.103360000000001e-05,2.8448000000000003e-06,0.0014754991563554554,8.75389e-05,2.735590625e-06,0.0015344035623020167
1,6,64,1.3776e-07,2.1525e-09,1.0,1.3948e-07,2.179375e-09,0.9876684829366218,8.323690000000001e-05,1.3005765625000001e-06,0.001655035206741241,8.55113e-05,1.3361140625e-06,0.0016110151523833695
2,7,128,2.0519999999999998e-07,1.6031249999999999e-09,1.0,1.3524e-07,1.0565625e-09,1.5173025732031942,8.350729999999999e-05,6.524007812499999e-07,0.002457270202724792,8.39786e-05,6.560828125e-07,0.0024434796483866123
3,8,256,2.3024e-07,8.99375e-10,1.0,1.3834e-07,5.40390625e-10,1.6643053346826657,8.09514e-05,3.1621640625e-07,0.0028441756411871815,8.0582e-05,3.147734375e-07,0.002857213769824527
4,9,512,4.2904e-07,8.3796875e-10,1.0,2.3504000000000002e-07,4.5906250000000004e-10,1.8253914227365553,7.87083e-05,1.537271484375e-07,0.0054510134255218315,8.14017e-05,1.589876953125e-07,0.005270651595728345
5,10,1024,9.91083e-07,9.678544921875e-10,1.0,3.0344e-07,2.96328125e-10,3.266158054310572,8.273540000000001e-05,8.079628906250001e-08,0.011978947342975315,8.543920000000001e-05,8.343671875000001e-08,0.011599862826430959
6,11,2048,2.29342e-06,1.119833984375e-09,1.0,4.7056000000000005e-07,2.2976562500000003e-10,4.8738099285957155,8.33506e-05,4.069853515625e-08,0.027515338821796128,8.80886e-05,4.301201171875e-08,0.02603537801713275
7,12,4096,4.11858e-06,1.0055126953125e-09,1.0,6.562000000000001e-07,1.6020507812500002e-10,6.276409631209996,8.34523e-05,2.03740966796875e-08,0.04935250436476886,8.95259e-05,2.18569091796875e-08,0.04600434064332221
8,13,8192,6.64258e-06,8.1086181640625e-10,1.0,1.05256e-06,1.28486328125e-10,6.31088013984951,8.399239999999999e-05,1.0252978515624999e-08,0.0790854886870717,9.224549999999999e-05,1.1260437011718749e-08,0.07200979993604024
9,14,16384,1.3538199999999999e-05,8.263061523437499e-10,1.0,2.5948e-06,1.583740234375e-10,5.217434869739479,8.37042e-05,5.10889892578125e-09,0.16173859854105288,9.25212e-05,5.6470458984375e-09,0.14632538272309478
10,15,32768,2.82817e-05,8.630889892578125e-10,1.0,9.6305e-06,2.938995361328125e-10,2.9366803385078657,8.40471e-05,2.5649139404296874e-09,0.3364982253998056,0.00010452,3.189697265625e-09,0.2705864906238041
11,16,65536,4.57163e-05,6.975753784179688e-10,1.0,2.6006300000000002e-05,3.968246459960938e-10,1.7578932797053022,8.68677e-05,1.3254959106445313e-09,0.5262750136126546,0.00010261,1.565704345703125e-09,0.4455345482896404
12,17,131072,9.39142e-05,7.165084838867187e-10,1.0,3.32927e-05,2.540031433105469e-10,2.8208646339888324,8.23918e-05,6.285995483398438e-10,1.1398488684553558,0.00010503,8.013153076171875e-10,0.894165476530515
13,18,262144,0.000322702,1.2310104370117188e-09,1.0,5.93995e-05,2.2659111022949219e-10,5.432739332822667,7.74196e-05,2.9533233642578125e-10,4.168220967300271,0.00010274600000000001,3.919448852539063e-10,3.140774336713838
14,19,524288,0.00041978699999999997,8.006801605224609e-10,1.0,0.000137761,2.627582550048828e-10,3.047212200840586,0.000146595,2.796077728271484e-10,2.863583341860227,0.00011575600000000001,2.2078704833984376e-10,3.6264815646705135
15,20,1048576,0.00076526,7.298088073730469e-10,1.0,0.000329116,3.138694763183594e-10,2.3251984102869505,0.00021909599999999998,2.0894622802734373e-10,3.492806806148903,0.00013241200000000002,1.262779235839844e-10,5.779385554179379
16,21,2097152,0.00153176,7.304000854492188e-10,1.0,0.00073133,3.487253189086914e-10,2.0944853896325872,0.000341294,1.6274166107177735e-10,4.4880953078577415,0.00020731599999999998,9.885597229003905e-11,7.38852765826082
17,22,4194304,0.00412599,9.83712673187256e-10,1.0,0.0014107999999999998,3.3636093139648433e-10,2.9245747093847467,0.00126864,3.0246734619140623e-10,3.2522937949300044,0.00047944,1.1430740356445312e-10,8.605852661438346
18,23,8388608,0.00631607,7.529342174530029e-10,1.0,0.00286144,3.411102294921875e-10,2.2073047137105792,0.00103576,1.2347221374511718e-10,6.098005329419943,0.0007511010000000001,8.953821659088136e-11,8.409082134093815
19,24,16777216,0.0146994,8.761525154113769e-10,1.0,0.00575568,3.430652618408203e-10,2.553894587607372,0.00177512,1.0580539703369141e-10,8.280792284465274,0.00129822,7.737994194030762e-11,11.322734205296483
20,25,33554432,0.0255023,7.600277662277221e-10,1.0,0.011809899999999998,3.519624471664428e-10,2.159400164268961,0.0033036000000000003,9.845495223999024e-11,7.719548371473543,0.00245793,7.325202226638794e-11,10.375519237732563
