,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up
0,5,32,1.1652e-06,3.64125e-08,1.0,9.3614e-07,2.9254375e-08,1.2446856239451365
1,6,64,8.3608e-07,1.306375e-08,1.0,7.9278e-07,1.23871875e-08,1.0546179267892732
2,7,128,8.0844e-07,6.3159375e-09,1.0,8.643e-07,6.75234375e-09,0.9353696633113502
3,8,256,1.04688e-06,4.089375e-09,1.0,1.06344e-06,4.1540625e-09,0.9844278943805009
4,9,512,1.25816e-06,2.45734375e-09,1.0,1.19852e-06,2.340859375e-09,1.0497613723592432
5,10,1024,1.768e-06,1.7265625e-09,1.0,1.44308e-06,1.4092578125e-09,1.2251573024364553
6,11,2048,2.59142e-06,1.265341796875e-09,1.0,2.116e-06,1.033203125e-09,1.2246786389413988
7,12,4096,4.1915e-06,1.0233154296875e-09,1.0,3.50884e-06,8.56650390625e-10,1.1945543256460824
8,13,8192,7.47642e-06,9.1264892578125e-10,1.0,6.19616e-06,7.563671875e-10,1.206621520425554
9,14,16384,1.42332e-05,8.687255859375e-10,1.0,1.1407e-05,6.9622802734375e-10,1.2477601472779871
10,15,32768,2.75992e-05,8.422607421875e-10,1.0,2.19383e-05,6.695037841796875e-10,1.2580373137389862
11,16,65536,5.4211e-05,8.271942138671875e-10,1.0,4.307e-05,6.57196044921875e-10,1.2586719294172277
12,17,131072,0.000110583,8.436813354492187e-10,1.0,8.49216e-05,6.47900390625e-10,1.3021775378702238
13,18,262144,0.000214117,8.167915344238281e-10,1.0,0.000169521,6.466712951660156e-10,1.2630706520136148
14,19,524288,0.000422778,8.063850402832031e-10,1.0,0.000333912,6.368865966796875e-10,1.2661359879249623
15,20,1048576,0.000848509,8.092012405395508e-10,1.0,0.000670106,6.390628814697265e-10,1.266231014197754
