n,lane,threads,seq,simd,par,simdpar
5,16,20,4.4512e-07,4.4374e-07,0.000123176,5.0239e-07
6,16,20,3.4752e-07,2.9678e-07,5.64086e-05,3.7465e-07
7,16,20,4.606e-07,3.34e-07,5.42851e-05,3.8782e-07
8,16,20,6.522e-07,3.9306e-07,5.22656e-05,4.526e-07
9,16,20,1.05432e-06,3.8562e-07,5.56472e-05,5.2434e-07
10,16,20,1.891e-06,4.3724e-07,5.08756e-05,6.7807e-07
11,16,20,3.49717e-06,6.0456e-07,5.55983e-05,9.6296e-07
12,16,20,6.9915e-06,7.4444e-07,5.19213e-05,1.62712e-06
13,16,20,1.3027e-05,1.3448e-06,5.4884e-05,2.72622e-06
14,16,20,2.56681e-05,1.84408e-06,5.3243e-05,5.71971e-06
15,16,20,4.6841e-05,3.64825e-06,5.98906e-05,1.21289e-05
16,16,20,8.83215e-05,1.17679e-05,5.25885e-05,3.37081e-05
17,16,20,0.000171431,3.66019e-05,5.82572e-05,5.29925e-05
18,16,20,0.000342665,5.55551e-05,5.73103e-05,8.33676e-05
19,16,20,0.000684215,0.000109992,5.95877e-05,0.000138734
20,16,20,0.00145059,0.000263539,0.000198111,0.000256312
21,16,20,0.00281777,0.000612738,0.000235857,0.000480044
22,16,20,0.00552457,0.00123515,0.000433649,0.000918074
23,16,20,0.0110237,0.00225981,0.000643965,0.00176001
