,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up
0,5,32,1.13888e-06,3.559e-08,1.0,9.3536e-07,2.923e-08,1.217584673280876
1,6,64,8.7604e-07,1.3688125e-08,1.0,8.0468e-07,1.2573125e-08,1.0886812148928766
2,7,128,8.9084e-07,6.9596875e-09,1.0,8.7462e-07,6.83296875e-09,1.0185451967711692
3,8,256,1.007e-06,3.93359375e-09,1.0,9.5858e-07,3.744453125e-09,1.0505122159861462
4,9,512,1.23956e-06,2.421015625e-09,1.0,9.8372e-07,1.921328125e-09,1.2600740047981134
5,10,1024,1.68358e-06,1.64412109375e-09,1.0,1.23576e-06,1.206796875e-09,1.3623842817375542
6,11,2048,2.0575e-06,1.004638671875e-09,1.0,1.7118e-06,8.3583984375e-10,1.201951162518986
7,12,4096,3.48775e-06,8.5150146484375e-10,1.0,2.27388e-06,5.55146484375e-10,1.5338320403891148
8,13,8192,6.12717e-06,7.47945556640625e-10,1.0,3.88172e-06,4.738427734375e-10,1.5784677926280102
9,14,16384,1.15051e-05,7.02215576171875e-10,1.0,7.03748e-06,4.2953369140625e-10,1.6348323547633525
10,15,32768,2.2111e-05,6.74774169921875e-10,1.0,1.29203e-05,3.942962646484375e-10,1.7113379720285131
11,16,65536,4.31343e-05,6.581771850585937e-10,1.0,2.51233e-05,3.8335113525390626e-10,1.7169042283457985
12,17,131072,8.55082e-05,6.523757934570312e-10,1.0,4.928e-05,3.759765625e-10,1.7351501623376622
13,18,262144,0.000169525,6.466865539550781e-10,1.0,9.71623e-05,3.706447601318359e-10,1.7447610853180708
14,19,524288,0.000333921,6.369037628173828e-10,1.0,0.000193134,3.6837387084960937e-10,1.7289602037963279
15,20,1048576,0.00066599,6.351375579833984e-10,1.0,0.000383676,3.659019470214844e-10,1.7358135510170039
