n,lane,threads,seq,simd,par,simdpar
5,8,10,2.49524e-06,8.5506e-07,0.0017877,9.3059e-07
6,8,10,8.0708e-07,6.375e-07,0.00158401,1.05863e-06
7,8,10,8.6348e-07,8.9138e-07,0.00172744,9.2329e-07
8,8,10,7.6228e-07,4.8222e-07,0.0015306,1.09166e-06
9,8,10,8.5696e-07,5.8258e-07,0.0019546,1.12327e-06
10,8,10,1.62908e-06,1.05308e-06,0.00164319,1.3619e-06
11,8,10,1.98225e-06,9.1024e-07,0.00194118,1.60664e-06
12,8,10,3.56483e-06,1.40096e-06,0.00144197,2.54588e-06
13,8,10,6.45125e-06,2.28192e-06,0.00167663,4.07249e-06
14,8,10,1.2973e-05,3.60264e-06,0.00132878,7.89056e-06
15,8,10,2.48677e-05,6.64775e-06,0.000566476,1.63031e-05
16,8,10,4.76733e-05,1.35e-05,0.00171381,2.9524e-05
17,8,10,9.74925e-05,3.25392e-05,0.000881828,5.4139e-05
18,8,10,0.000195704,5.93171e-05,0.000198205,0.000101196
19,8,10,0.000417408,0.000133187,0.000324785,0.000181199
20,8,10,0.00081002,0.000311867,0.00248053,0.000503308
21,8,10,0.00263039,0.00128669,0.00183035,0.00117169
22,8,10,0.00324964,0.00274372,0.00243633,0.00249559
23,8,10,0.0102035,0.00474788,0.00412668,0.00424097
24,8,10,0.0197023,0.0094649,0.00516093,0.00933045
25,8,10,0.0403918,0.0177966,0.00650064,0.0185273
