,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up
0,5,32,1.48856e-06,4.65175e-08,1.0,4.7442e-07,1.4825625e-08,3.137641752034063
1,6,64,3.1884e-07,4.981875e-09,1.0,3.1028e-07,4.848125e-09,1.0275879850457652
2,7,128,3.5036e-07,2.7371875e-09,1.0,2.9526e-07,2.30671875e-09,1.1866151866151866
3,8,256,4.4852e-07,1.75203125e-09,1.0,3.1408e-07,1.226875e-09,1.4280438104941415
4,9,512,6.126e-07,1.196484375e-09,1.0,3.5246e-07,6.883984375e-10,1.738069568177949
5,10,1024,1.07542e-06,1.05021484375e-09,1.0,5.1308e-07,5.010546875e-10,2.096008419739612
6,11,2048,1.91008e-06,9.3265625e-10,1.0,5.7056e-07,2.7859375e-10,3.3477285473920357
7,12,4096,3.3795e-06,8.250732421875e-10,1.0,7.3664e-07,1.7984375e-10,4.587722632493484
8,13,8192,6.43133e-06,7.85074462890625e-10,1.0,1.17084e-06,1.429248046875e-10,5.492919613269106
9,14,16384,1.25367e-05,7.65179443359375e-10,1.0,2.043e-06,1.2469482421875e-10,6.136417033773862
10,15,32768,2.32062e-05,7.08197021484375e-10,1.0,4.30575e-06,1.3140106201171876e-10,5.38958369622017
11,16,65536,4.17017e-05,6.363174438476563e-10,1.0,1.34462e-05,2.051727294921875e-10,3.101374365991879
12,17,131072,8.34683e-05,6.368125915527344e-10,1.0,3.74732e-05,2.858978271484375e-10,2.227413191294045
13,18,262144,0.000166977,6.369667053222657e-10,1.0,5.6889e-05,2.1701431274414061e-10,2.9351368454358493
14,19,524288,0.000331129,6.315784454345703e-10,1.0,0.000110603,2.1095848083496093e-10,2.9938518846685893
15,20,1048576,0.000758431,7.232961654663085e-10,1.0,0.000238811,2.2774791717529296e-10,3.1758629208872287
16,21,2097152,0.00148033,7.05876350402832e-10,1.0,0.000646718,3.083791732788086e-10,2.2889883998899054
17,22,4194304,0.00292616,6.976509094238282e-10,1.0,0.00123792,2.9514312744140625e-10,2.3637714876567144
18,23,8388608,0.00573443,6.835973262786866e-10,1.0,0.00207113,2.4689793586730957e-10,2.76874459835935
