,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.2776e-07,3.9925e-09,1.0,7.152e-08,2.235e-09,1.7863534675615214,8.21504e-05,2.5672e-06,0.0015551963228420068,7.9768e-05,2.49275e-06,0.0016016447698325143
1,6,64,9.292e-08,1.451875e-09,1.0,8.48e-08,1.325e-09,1.095754716981132,8.18772e-05,1.27933125e-06,0.001134870269134753,7.88599e-05,1.2321859375e-06,0.0011782921358003244
2,7,128,1.3152e-07,1.0275e-09,1.0,1.0244e-07,8.003125e-10,1.2838734869191724,8.17962e-05,6.390328125e-07,0.0016078986554387612,7.97626e-05,6.231453125e-07,0.001648893090245303
3,8,256,2.026e-07,7.9140625e-10,1.0,1.523e-07,5.94921875e-10,1.33026920551543,7.66045e-05,2.99236328125e-07,0.002644753245566514,8.10818e-05,3.1672578125e-07,0.002498711178094221
4,9,512,3.1392e-07,6.13125e-10,1.0,1.966e-07,3.83984375e-10,1.5967446592065107,7.81326e-05,1.52602734375e-07,0.004017785149860622,7.99255e-05,1.561044921875e-07,0.003927657631169026
5,10,1024,5.695e-07,5.5615234375e-10,1.0,3.386e-07,3.306640625e-10,1.681925575900768,8.51228e-05,8.3127734375e-08,0.0066903344344875874,8.50657e-05,8.307197265625e-08,0.006694825293861098
6,11,2048,1.13142e-06,5.52451171875e-10,1.0,7.1644e-07,3.4982421875e-10,1.5792250572274023,8.70961e-05,4.2527392578125e-08,0.012990478333702657,8.76665e-05,4.2805908203125e-08,0.012905956094973563
7,12,4096,2.3525e-06,5.743408203125e-10,1.0,1.59952e-06,3.905078125e-10,1.4707537261178354,8.98455e-05,2.19349365234375e-08,0.026183837810463517,8.78125e-05,2.14385986328125e-08,0.02679003558718861
8,13,8192,4.73517e-06,5.78023681640625e-10,1.0,3.507e-06,4.281005859375e-10,1.3502053036783574,9.9548e-05,1.215185546875e-08,0.047566701490738134,0.000100182,1.2229248046875e-08,0.047265676468826734
9,14,16384,1.02784e-05,6.2734375e-10,1.0,7.47136e-06,4.56015625e-10,1.375706698646565,0.000106295,6.48773193359375e-09,0.09669692835975352,0.000102749,6.27130126953125e-09,0.10003406359185978
10,15,32768,2.00838e-05,6.12908935546875e-10,1.0,1.61506e-05,4.92877197265625e-10,1.2435327480093619,9.54947e-05,2.9142669677734375e-09,0.2103132425150296,9.41988e-05,2.87471923828125e-09,0.21320653766290015
11,16,65536,4.21163e-05,6.426437377929688e-10,1.0,3.79257e-05,5.787002563476563e-10,1.1104949941596332,8.25875e-05,1.2601852416992187e-09,0.5099597396700469,8.68856e-05,1.32576904296875e-09,0.48473279807010605
12,17,131072,8.32192e-05,6.34912109375e-10,1.0,7.57671e-05,5.780570983886719e-10,1.098355354764799,7.60547e-05,5.802513122558593e-10,1.0942019362379973,7.2976e-05,5.567626953125e-10,1.1403639552729665
13,18,262144,0.000185546,7.078018188476563e-10,1.0,0.00016643,6.348800659179687e-10,1.1148590999218893,0.000150402,5.737380981445313e-10,1.2336671054906185,6.90659e-05,2.634654998779297e-10,2.6865066552379684
14,19,524288,0.000354269,6.757144927978515e-10,1.0,0.000319643,6.096706390380859e-10,1.1083271024236414,0.000194014,3.700523376464844e-10,1.8259970929932892,8.57599e-05,1.6357402801513672e-10,4.130939984771437
15,20,1048576,0.000707743,6.749563217163086e-10,1.0,0.000634648,6.052474975585938e-10,1.1151740807502741,0.000368886,3.5179710388183596e-10,1.9185954468318125,0.00013588,1.2958526611328126e-10,5.208588460406241
16,21,2097152,0.00149948,7.150077819824219e-10,1.0,0.00131614,6.275844573974609e-10,1.1393012901363078,0.000496754,2.3687076568603514e-10,3.0185564685941135,0.000254735,1.2146711349487306e-10,5.886430996918366
17,22,4194304,0.004446,1.060009002685547e-09,1.0,0.00458187,1.0924029350280762e-09,0.9703461687040444,0.00241431,5.756163597106933e-10,1.8415199373734112,0.00240031,5.722784996032715e-10,1.8522607496531698
18,23,8388608,0.0093329,1.1125683784484863e-09,1.0,0.00951918,1.134774684906006e-09,0.9804310875516589,0.00694687,8.281314373016357e-10,1.3434683533735337,0.00511032,6.091976165771484e-10,1.82628485104651
19,24,16777216,0.0184604,1.100325584411621e-09,1.0,0.0258781,1.5424549579620362e-09,0.7133599452819178,0.0105659,6.297767162322998e-10,1.7471677755799315,0.0127914,7.624268531799316e-10,1.44318839220101
20,25,33554432,0.048072,1.432657241821289e-09,1.0,0.228144,6.79922103881836e-09,0.21070902587839258,0.0894045,2.6644617319107055e-09,0.537691055819338,0.045309,1.350313425064087e-09,1.060981262000927
