,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,8.756e-08,2.73625e-09,1.0,8.734e-08,2.729375e-09,1.0025188916876575,7.59373e-05,2.373040625e-06,0.001153056534799104,7.52537e-05,2.351678125e-06,0.0011635308297133563
1,6,64,6.852000000000001e-08,1.0706250000000001e-09,1.0,8.728e-08,1.36375e-09,0.7850595783684694,7.53434e-05,1.177240625e-06,0.0009094359957209258,7.58908e-05,1.18579375e-06,0.000902876237962968
2,7,128,8.408e-08,6.56875e-10,1.0,8.582000000000001e-08,6.704687500000001e-10,0.9797250058261476,7.55956e-05,5.90590625e-07,0.0011122340453677197,8.00897e-05,6.2570078125e-07,0.0010498228860889725
3,8,256,1.3492000000000002e-07,5.270312500000001e-10,1.0,9.144e-08,3.571875e-10,1.4755030621172356,7.458310000000001e-05,2.9134023437500003e-07,0.0018089888996300771,8.11766e-05,3.1709609375e-07,0.0016620553213610822
4,9,512,2.3432e-07,4.5765625e-10,1.0,1.1515999999999998e-07,2.2492187499999996e-10,2.0347342827370616,7.42591e-05,1.450373046875e-07,0.003155438188720305,7.968600000000001e-05,1.5563671875000002e-07,0.002940541625881585
5,10,1024,4.3025e-07,4.20166015625e-10,1.0,1.6135999999999998e-07,1.5757812499999998e-10,2.666398116013882,7.96871e-05,7.781943359375e-08,0.005399242788355956,8.31139e-05,8.116591796875e-08,0.005176631105025754
6,11,2048,1.22675e-06,5.989990234375e-10,1.0,2.8324000000000004e-07,1.3830078125000002e-10,4.331132608388645,7.94666e-05,3.880205078125e-08,0.015437303219214108,8.3884e-05,4.0958984375e-08,0.014624362214486672
7,12,4096,1.66725e-06,4.0704345703125e-10,1.0,3.1756e-07,7.7529296875e-11,5.250188940672629,7.83549e-05,1.91296142578125e-08,0.021278184261609677,8.46828e-05,2.067451171875e-08,0.019688177528376483
8,13,8192,3.372e-06,4.1162109375e-10,1.0,8.8036e-07,1.074658203125e-10,3.830251260847835,8.00653e-05,9.77359619140625e-09,0.04211562312262616,8.596450000000001e-05,1.0493713378906252e-08,0.03922549424471729
9,14,16384,1.2666400000000001e-05,7.730957031250001e-10,1.0,1.6482400000000002e-06,1.0060058593750001e-10,7.684803184002329,8.16083e-05,4.980975341796875e-09,0.155209702934628,9.133290000000001e-05,5.5745178222656255e-09,0.13868386966799479
10,15,32768,1.34603e-05,4.107757568359375e-10,1.0,4.32175e-06,1.3188934326171874e-10,3.1145485046566788,7.77158e-05,2.371697998046875e-09,0.17319901487213668,9.296e-05,2.8369140625e-09,0.14479668674698795
11,16,65536,3.56695e-05,5.442733764648438e-10,1.0,9.307669999999999e-06,1.4202377319335935e-10,3.8322695153566904,8.273540000000001e-05,1.2624420166015627e-09,0.43112742550347244,9.794799999999999e-05,1.4945678710937499e-09,0.36416772164822153
12,17,131072,5.29158e-05,4.0371551513671874e-10,1.0,2.26643e-05,1.7291488647460937e-10,2.334764365102827,8.297469999999999e-05,6.330467224121093e-10,0.6377341526995579,9.9912e-05,7.6226806640625e-10,0.5296240691808791
13,18,262144,0.000104458,3.9847564697265623e-10,1.0,4.617e-05,1.7612457275390625e-10,2.2624648039852717,7.97417e-05,3.0419044494628907e-10,1.3099545156423802,9.6238e-05,3.6711883544921873e-10,1.0854132463268147
14,19,524288,0.000218397,4.1655921936035157e-10,1.0,0.000136129,2.596454620361328e-10,1.6043385318337753,0.000113699,2.1686363220214843e-10,1.920834835838486,9.323719999999999e-05,1.778358459472656e-10,2.3423805090671967
15,20,1048576,0.00042601300000000004,4.062776565551758e-10,1.0,0.00024045700000000002,2.2931766510009767e-10,1.7716805915402754,0.000171735,1.6377925872802735e-10,2.4806416863190384,0.000101103,9.641933441162109e-11,4.213653402965293
16,21,2097152,0.000844565,4.027199745178223e-10,1.0,0.000540052,2.5751686096191404e-10,1.5638586654618445,0.000224525,1.0706186294555664e-10,3.761563300300635,0.00013462,6.419181823730469e-11,6.2736963304115285
17,22,4194304,0.00219647,5.236792564392089e-10,1.0,0.00140903,3.359389305114746e-10,1.5588525439486738,0.000379375,9.045004844665527e-11,5.789706754530478,0.00028314599999999996,6.750726699829101e-11,7.757376053343505
18,23,8388608,0.00352351,4.2003512382507325e-10,1.0,0.00302246,3.603053092956543e-10,1.165775560305182,0.00104672,1.2477874755859374e-10,3.3662392999082855,0.00101148,1.205778121948242e-10,3.483519199588722
19,24,16777216,0.007216800000000001,4.301548004150391e-10,1.0,0.00643277,3.8342297077178955e-10,1.1218806206346568,0.00216179,1.288527250289917e-10,3.3383446125664387,0.00209978,1.2515664100646972e-10,3.4369314880606545
20,25,33554432,0.014509600000000001,4.3241977691650394e-10,1.0,0.0131761,3.926783800125122e-10,1.1012059714179463,0.00435625,1.298263669013977e-10,3.3307546628407465,0.00436266,1.3001739978790283e-10,3.3258608280269377
