n,lane,threads,seq,simd,par,simdpar
5,16,20,3.37e-08,4.532e-08,0.000161092,3.45079e-05
6,16,20,5.222e-08,3.682e-08,5.38947e-05,5.94909e-05
7,16,20,8.206e-08,7.114e-08,5.2552e-05,5.90165e-05
8,16,20,1.3532e-07,7.74e-08,5.4041e-05,6.04122e-05
9,16,20,2.3044e-07,8.482e-08,5.20999e-05,6.19809e-05
10,16,20,3.5892e-07,1.2732e-07,5.22098e-05,6.35662e-05
11,16,20,7.0116e-07,1.9684e-07,5.48684e-05,6.21857e-05
12,16,20,1.61904e-06,2.8864e-07,5.49757e-05,6.13717e-05
13,16,20,3.30488e-06,5.1432e-07,5.36538e-05,5.97971e-05
14,16,20,6.90108e-06,1.33632e-06,5.4152e-05,5.81364e-05
15,16,20,1.19597e-05,3.04133e-06,5.41963e-05,6.11027e-05
16,16,20,2.36621e-05,6.87808e-06,5.77947e-05,6.17997e-05
17,16,20,4.62116e-05,1.36309e-05,6.16735e-05,6.35055e-05
18,16,20,9.64437e-05,3.85911e-05,6.67388e-05,7.89213e-05
19,16,20,0.000212227,9.51255e-05,8.97753e-05,0.000101375
20,16,20,0.000394006,0.000179575,0.000102327,0.000105547
21,16,20,0.00077025,0.000329933,0.000154282,0.000190149
22,16,20,0.00143995,0.00066857,0.000196811,0.0018429
23,16,20,0.0032463,0.00198535,0.00034551,0.00031344
