,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,3.432e-08,1.0725e-09,1.0,3.967e-08,1.2396875e-09,0.8651373834131586,7.44352e-05,2.3261e-06,0.00046107218090365846,4.67253e-05,1.460165625e-06,0.000734505717459278
1,6,64,5.065e-08,7.9140625e-10,1.0,3.666e-08,5.728125e-10,1.3816148390616476,7.75387e-05,1.2115421875e-06,0.0006532221974317341,8.14571e-05,1.2727671875e-06,0.0006217996957907906
2,7,128,6.825e-08,5.33203125e-10,1.0,6.978e-08,5.4515625e-10,0.978073946689596,0.000124316,9.7121875e-07,0.0005490041507127,0.000136642,1.067515625e-06,0.0004994803940223358
3,8,256,1.311e-07,5.12109375e-10,1.0,7.58e-08,2.9609375e-10,1.729551451187335,0.000121728,4.755e-07,0.0010769913249211356,0.000134994,5.273203125e-07,0.0009711542735232678
4,9,512,2.2927e-07,4.4779296875e-10,1.0,8.87e-08,1.732421875e-10,2.5847801578354,0.0001211,2.365234375e-07,0.0018932287365813376,0.000210448,4.1103125e-07,0.0010894377708507564
5,10,1024,3.6092e-07,3.524609375e-10,1.0,1.2314e-07,1.2025390625e-10,2.9309728764008445,0.000115118,1.12419921875e-07,0.00313521777654233,0.000135424,1.3225e-07,0.002665111058601134
6,11,2048,8.402e-07,4.1025390625e-10,1.0,1.611e-07,7.8662109375e-11,5.2153941651148354,0.000117066,5.71611328125e-08,0.00717714793364427,0.000135158,6.59951171875e-08,0.006216428180351885
7,12,4096,1.64276e-06,4.01064453125e-10,1.0,2.8428e-07,6.9404296875e-11,5.7786689179682,0.00011476,2.8017578125e-08,0.014314743813175322,0.000127171,3.1047607421875e-08,0.012917724953016017
8,13,8192,3.38832e-06,4.1361328125e-10,1.0,4.9084e-07,5.99169921875e-11,6.9031048814277565,0.000118143,1.44217529296875e-08,0.028679820217871563,0.000128856,1.57294921875e-08,0.026295399515738498
9,14,16384,6.84762e-06,4.17945556640625e-10,1.0,1.37358e-06,8.3836669921875e-11,4.985235661555935,0.000118565,7.23663330078125e-09,0.057754143296925735,0.000130195,7.94647216796875e-09,0.05259510733899152
10,15,32768,1.16189e-05,3.545806884765625e-10,1.0,2.8782e-06,8.7835693359375e-11,4.036863317351123,0.000124942,3.81292724609375e-09,0.09299434937811143,0.000149858,4.57330322265625e-09,0.07753273098533278
