n,lane,threads,seq,simd,par,simdpar
5,4,10,1.1776e-07,6.75e-08,6.58061e-05,6.61525e-05
6,4,10,7.412e-08,7.274e-08,6.39308e-05,6.35654e-05
7,4,10,1.0736e-07,9.302e-08,6.52418e-05,6.57765e-05
8,4,10,1.69e-07,1.1938e-07,6.5471e-05,6.47951e-05
9,4,10,2.6152e-07,1.6046e-07,6.49276e-05,6.53416e-05
10,4,10,4.36e-07,2.2388e-07,6.6503e-05,6.48784e-05
11,4,10,8.555e-07,4.084e-07,6.48894e-05,6.58145e-05
12,4,10,1.6735e-06,1.01032e-06,6.70109e-05,6.71217e-05
13,4,10,3.29167e-06,2.18052e-06,6.80879e-05,6.92859e-05
14,4,10,6.7155e-06,4.44556e-06,6.80804e-05,6.83277e-05
15,4,10,1.35395e-05,1.0932e-05,6.9572e-05,6.90738e-05
16,4,10,2.89203e-05,2.52562e-05,6.80325e-05,7.09695e-05
17,4,10,5.80192e-05,5.12089e-05,6.49121e-05,6.5953e-05
18,4,10,0.000145383,0.000127365,0.000108745,5.86832e-05
19,4,10,0.000234152,0.000208697,0.00011442,5.7083e-05
20,4,10,0.000470787,0.00041713,0.000192492,7.76493e-05
21,4,10,0.000965892,0.000829877,0.000206813,0.000134888
22,4,10,0.00349556,0.00347795,0.00109711,0.00107831
23,4,10,0.00737062,0.00759897,0.00266814,0.00268356
24,4,10,0.014713,0.0151286,0.00532993,0.00535349
25,4,10,0.0295798,0.0302008,0.0105791,0.0105992
