,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,9.924e-08,3.10125e-09,1.0,1.2802e-07,4.000625e-09,0.7751913763474456,5.45511e-05,1.704721875e-06,0.0018192117115878505,5.57016e-05,1.740675e-06,0.0017816364341419276
1,6,64,9.964e-08,1.556875e-09,1.0,1.112e-07,1.7375e-09,0.8960431654676259,0.000149919,2.342484375e-06,0.0006646255644714812,0.000147395,2.303046875e-06,0.0006760066488008412
2,7,128,1.112e-07,8.6875e-10,1.0,1.2124e-07,9.471875e-10,0.9171890465193007,0.00037619,2.938984375e-06,0.0002955953108801404,0.000378548,2.95740625e-06,0.0002937540285512009
3,8,256,2.3128e-07,9.034375e-10,1.0,1.514e-07,5.9140625e-10,1.5276089828269486,0.000375484,1.466734375e-06,0.0006159516783671208,0.000377788,1.475734375e-06,0.0006121951994240156
4,9,512,3.928e-07,7.671875e-10,1.0,1.9482e-07,3.805078125e-10,2.0162201006056875,0.00038054,7.432421875e-07,0.0010322173753087717,0.000384203,7.50396484375e-07,0.0010223761917527974
5,10,1024,7.04167e-07,6.876630859375e-10,1.0,3.06e-07,2.98828125e-10,2.3011993464052285,0.000376347,3.675263671875e-07,0.001871057826952254,0.000380395,3.714794921875e-07,0.001851146834211806
6,11,2048,1.33425e-06,6.514892578125e-10,1.0,5.1804e-07,2.5294921875e-10,2.5755733148019457,0.000382573,1.8680322265625e-07,0.0034875696925815466,0.000383595,1.8730224609375e-07,0.0034782778711922734
7,12,4096,1.29525e-06,3.1622314453125e-10,1.0,8.252e-07,2.0146484375e-10,1.5696194861851673,0.000386734,9.441748046875e-08,0.003349201259780624,0.000377103,9.2066162109375e-08,0.0034347379893556935
8,13,8192,5.05642e-06,6.1723876953125e-10,1.0,1.50124e-06,1.832568359375e-10,3.368162319149503,0.000381275,4.65423583984375e-08,0.013261871352698185,0.000386857,4.72237548828125e-08,0.013070514427811828
9,14,16384,1.01027e-05,6.16619873046875e-10,1.0,3.5616e-06,2.173828125e-10,2.836562219227314,0.000386712,2.360302734375e-08,0.026124609528538036,0.000389549,2.377618408203125e-08,0.02593434972237126
10,15,32768,1.01742e-05,3.10491943359375e-10,1.0,4.56617e-06,1.3934844970703125e-10,2.228169341045121,0.000385273,1.1757598876953125e-08,0.026407767998276547,0.000390931,1.1930267333984375e-08,0.026025564613704207
11,16,65536,2.02302e-05,3.086883544921875e-10,1.0,1.09968e-05,1.677978515625e-10,1.839644260148407,0.000398721,6.083999633789062e-09,0.050737733904158554,0.000394262,6.015960693359375e-09,0.05131156439119165
12,17,131072,6.27692e-05,4.788909912109375e-10,1.0,2.37705e-05,1.8135452270507812e-10,2.6406343997812414,0.000401255,3.0613327026367187e-09,0.15643219399135214,0.000401234,3.0611724853515624e-09,0.15644038142330907
13,18,262144,0.000106895,4.0777206420898437e-10,1.0,4.97955e-05,1.899547576904297e-10,2.1466799208763843,0.000400425,1.5275001525878906e-09,0.26695386152213274,0.000403765,1.540241241455078e-09,0.2647455822074722
14,19,524288,0.000231568,4.41680908203125e-10,1.0,0.000112196,2.1399688720703124e-10,2.0639594994473955,0.000507698,9.683570861816406e-10,0.45611367387698987,0.000402591,7.678813934326172e-10,0.5751941797009869
15,20,1048576,0.000367937,3.508920669555664e-10,1.0,0.000249489,2.379312515258789e-10,1.4747624143749825,0.000697219,6.649198532104492e-10,0.527720845243747,0.000417149,3.978242874145508e-10,0.88202776465963
16,21,2097152,0.00152318,7.26308822631836e-10,1.0,0.00102997,4.911279678344727e-10,1.4788586075322583,0.000721894,3.4422588348388674e-10,2.1099773650979228,0.000577508,2.753772735595703e-10,2.6375045886810224
17,22,4194304,0.00305509,7.283902168273926e-10,1.0,0.00216378,5.158853530883789e-10,1.4119226538742384,0.00107586,2.5650501251220705e-10,2.8396724480880406,0.00109565,2.61223316192627e-10,2.7883813261534245
18,23,8388608,0.004968,5.922317504882813e-10,1.0,0.00442344,5.273151397705078e-10,1.1231078074982368,0.00160469,1.9129395484924316e-10,3.095925069639619,0.00190673,2.2729992866516112e-10,2.6055078590046836
