n,lane,threads,seq,simd,par,simdpar
5,8,40,1.208e-07,1.2822e-07,5.68322e-05,5.57969e-05
6,8,40,1.0724e-07,1.072e-07,0.000146498,0.000148346
7,8,40,1.28e-07,1.104e-07,0.000373686,0.000375925
8,8,40,2.4084e-07,1.2144e-07,0.000379212,0.000387403
9,8,40,3.9604e-07,1.6082e-07,0.000376421,0.00037744
10,8,40,6.9425e-07,2.496e-07,0.000378484,0.000387121
11,8,40,1.35417e-06,4.036e-07,0.000378454,0.000385926
12,8,40,2.05792e-06,3.9724e-07,0.000381578,0.000382421
13,8,40,3.82525e-06,1.31668e-06,0.000380295,0.000384278
14,8,40,8.84742e-06,2.59536e-06,0.000380873,0.00038921
15,8,40,1.00427e-05,3.57208e-06,0.000381184,0.000391216
16,8,40,4.10038e-05,8.15575e-06,0.00040014,0.000389445
17,8,40,6.05823e-05,1.34421e-05,0.000394704,0.000392158
18,8,40,0.000123343,2.41597e-05,0.00039268,0.000401454
19,8,40,0.000220774,6.13873e-05,0.000414408,0.000408764
20,8,40,0.000734028,0.000136724,0.00060526,0.000394495
21,8,40,0.0008992,0.000287767,0.000626748,0.000413762
22,8,40,0.00218521,0.00103826,0.000744601,0.000605221
23,8,40,0.00436646,0.00224647,0.00097134,0.00122819
