,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.476e-07,4.6125e-09,1.0,1.252e-07,3.9125e-09,1.1789137380191692,8.27361e-05,2.585503125e-06,0.0017839854670452199,8.6359e-05,2.69871875e-06,0.0017091443856459662
1,6,64,3.3784e-07,5.27875e-09,1.0,1.195e-07,1.8671875e-09,2.827112970711297,8.36514e-05,1.307053125e-06,0.004038665222578463,8.35972e-05,1.30620625e-06,0.004041283679357682
2,7,128,1.6476e-07,1.2871875e-09,1.0,1.1914e-07,9.3078125e-10,1.382910861171731,8.00978e-05,6.257640625e-07,0.00205698533542744,8.47318e-05,6.619671875e-07,0.0019444883739044845
3,8,256,2.2656e-07,8.85e-10,1.0,1.4872e-07,5.809375e-10,1.5233996772458311,8.39378e-05,3.2788203125e-07,0.0026991415071636383,8.68475e-05,3.39248046875e-07,0.002608710671003771
4,9,512,3.6256e-07,7.08125e-10,1.0,2.075e-07,4.052734375e-10,1.7472771084337348,8.21895e-05,1.605263671875e-07,0.004411269079383619,8.34272e-05,1.6294375e-07,0.004345824862874458
5,10,1024,5.87833e-07,5.740556640625e-10,1.0,2.4984e-07,2.43984375e-10,2.3528378162023693,8.68764e-05,8.4840234375e-08,0.00676631398170274,8.37102e-05,8.17482421875e-08,0.007022238628028603
6,11,2048,1.09475e-06,5.345458984375e-10,1.0,4.208e-07,2.0546875e-10,2.6015922053231937,9.28763e-05,4.5349755859375e-08,0.01178718359796848,8.78728e-05,4.2906640625e-08,0.012458348886117205
7,12,4096,2.11117e-06,5.1542236328125e-10,1.0,8.1764e-07,1.99619140625e-10,2.582028765715963,8.58982e-05,2.0971240234375e-08,0.02457758136957468,8.71319e-05,2.12724365234375e-08,0.024229587556337
8,13,8192,4.99725e-06,6.10015869140625e-10,1.0,2.11276e-06,2.579052734375e-10,2.3652710198981426,8.89867e-05,1.086263427734375e-08,0.05615726844573403,9.07442e-05,1.10771728515625e-08,0.055069635304515335
9,14,16384,8.76617e-06,5.350445556640625e-10,1.0,3.81716e-06,2.3298095703125e-10,2.2965162581605174,9.6329e-05,5.87945556640625e-09,0.09100239803174537,9.78378e-05,5.97154541015625e-09,0.08959900978967231
10,15,32768,1.7645e-05,5.38482666015625e-10,1.0,6.94617e-06,2.1198028564453125e-10,2.54024879897843,0.000104458,3.18780517578125e-09,0.16891956575848668,9.77443e-05,2.9829193115234375e-09,0.18052203555603755
11,16,65536,3.6467e-05,5.564422607421875e-10,1.0,1.53299e-05,2.3391571044921876e-10,2.378815256459599,8.99093e-05,1.3719070434570313e-09,0.40559764117838754,9.40119e-05,1.4345077514648438e-09,0.3878977023121541
12,17,131072,7.64683e-05,5.834068298339843e-10,1.0,3.87391e-05,2.955558776855469e-10,1.9739307314831782,7.95215e-05,6.067008972167968e-10,0.9616053520117201,8.42436e-05,6.427276611328125e-10,0.9077045615334577
13,18,262144,0.00015514,5.918121337890625e-10,1.0,7.84908e-05,2.9941864013671877e-10,1.9765373776289705,7.16376e-05,2.732757568359375e-10,2.165622522250885,7.66575e-05,2.9242515563964845e-10,2.0238071943384535
14,19,524288,0.000332938,6.350288391113282e-10,1.0,0.00016132,3.076934814453125e-10,2.063835854202827,0.00016115,3.0736923217773435e-10,2.0660130313372638,7.25194e-05,1.3831977844238282e-10,4.591019782292738
15,20,1048576,0.000625783,5.967931747436523e-10,1.0,0.000325314,3.102436065673828e-10,1.9236276336093743,0.000311089,2.966775894165039e-10,2.011588323598713,8.88895e-05,8.477163314819336e-11,7.040010349928844
16,21,2097152,0.00124137,5.919313430786133e-10,1.0,0.000651718,3.1076335906982423e-10,1.904765558109489,0.000444724,2.1206092834472657e-10,2.7913267554708088,0.00014232,6.786346435546875e-11,8.722386172006745
17,22,4194304,0.00253163,6.035876274108887e-10,1.0,0.00133675,3.187060356140137e-10,1.8938694595100056,0.000633967,1.5114951133728028e-10,3.993315109461533,0.000260507,6.210970878601074e-11,9.718088189568803
18,23,8388608,0.00555989,6.627905368804931e-10,1.0,0.00471914,5.625653266906738e-10,1.1781574608932983,0.00239444,2.8543949127197264e-10,2.3220001336429394,0.00234285,2.7928948402404786e-10,2.3731310156433403
