n,lane,threads,seq,simd,par,simdpar
5,8,10,9.176e-08,7.182e-08,0.000244777,0.00040815
6,8,10,6.972e-08,5.986e-08,0.000239199,0.000380295
7,8,10,1.2636e-07,1.082e-07,0.000254809,0.000233549
8,8,10,1.49e-07,1.1024e-07,0.000274479,0.000409754
9,8,10,2.5928e-07,1.553e-07,0.00047242,0.000409666
10,8,10,4.53083e-07,1.8684e-07,0.000389149,0.000220703
11,8,10,8.47583e-07,2.4988e-07,0.000211772,0.000516182
12,8,10,1.71067e-06,4.488e-07,0.000164603,0.000301883
13,8,10,3.34517e-06,1.13096e-06,0.000182636,0.000238925
14,8,10,7.05483e-06,2.3806e-06,0.000237535,0.000153004
15,8,10,1.41488e-05,4.86233e-06,0.000266295,0.000318232
16,8,10,2.7313e-05,1.22922e-05,0.000564605,0.000303015
17,8,10,6.02578e-05,3.00292e-05,0.0013615,0.000761592
18,8,10,0.000120111,6.22645e-05,0.000893407,0.000767133
19,8,10,0.000713777,0.000151865,0.00185113,0.00229622
20,8,10,0.000489809,0.00069042,0.00274607,0.00386953
21,8,10,0.00102072,0.0008777,0.0027928,0.00259951
22,8,10,0.00310305,0.00353348,0.0020816,0.00310503
23,8,10,0.00723495,0.00606693,0.00359328,0.00493679
24,8,10,0.0122492,0.0106284,0.00628906,0.005723
25,8,10,0.0227441,0.0222984,0.0102882,0.00839096
