,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,7.5e-08,2.34375e-09,1.0,1.0562e-07,3.300625e-09,0.7100927854572997,8.47365e-05,2.648015625e-06,0.0008850967410737993,8.67629e-05,2.711340625e-06,0.0008644247714172762
1,6,64,7.8e-08,1.21875e-09,1.0,9.81e-08,1.5328125e-09,0.7951070336391437,0.000204654,3.19771875e-06,0.0003811310797736668,0.000210312,3.286125e-06,0.0003708775533493096
2,7,128,8.736e-08,6.825e-10,1.0,1.0498e-07,8.2015625e-10,0.8321585063821679,0.000207593,1.6218203125e-06,0.00042082343816988044,0.000211477,1.6521640625e-06,0.0004130945682036344
3,8,256,1.592e-07,6.21875e-10,1.0,1.1582e-07,4.52421875e-10,1.3745467104127094,0.000207161,8.0922265625e-07,0.000768484415502918,0.000357991,1.39840234375e-06,0.00044470391713758166
4,9,512,2.3996e-07,4.68671875e-10,1.0,1.3882e-07,2.711328125e-10,1.7285693704077223,0.000207313,4.04908203125e-07,0.0011574768586629877,0.000221308,4.322421875e-07,0.0010842807309270337
5,10,1024,4.26417e-07,4.164228515625e-10,1.0,1.852e-07,1.80859375e-10,2.302467602591793,0.000211221,2.062705078125e-07,0.002018819151504822,0.000218606,2.13482421875e-07,0.0019506189217130363
6,11,2048,7.265e-07,3.54736328125e-10,1.0,2.2332e-07,1.0904296875e-10,3.253179294286226,0.000208131,1.0162646484375e-07,0.0034905900610673083,0.000229169,1.1189892578125e-07,0.0031701495402955897
7,12,4096,1.6795e-06,4.100341796875e-10,1.0,2.6896e-07,6.56640625e-11,6.244422962522308,0.000204776,4.9994140625e-08,0.008201644723991092,0.000232705,5.6812744140625e-08,0.007217292279925227
8,13,8192,3.442e-06,4.20166015625e-10,1.0,7.416e-07,9.052734375e-11,4.641316073354908,0.000209902,2.5622802734375e-08,0.016398128650513096,0.000236685,2.88922119140625e-08,0.014542535437395695
9,14,16384,6.62133e-06,4.041339111328125e-10,1.0,1.47484e-06,9.001708984375e-11,4.489524287380326,0.000220329,1.344781494140625e-08,0.030052013125825467,0.000243666,1.48721923828125e-08,0.02717379527714166
10,15,32768,1.24727e-05,3.806365966796875e-10,1.0,2.97033e-06,9.064727783203125e-11,4.199095723370804,0.000217584,6.64013671875e-09,0.05732360835355541,0.000256018,7.81304931640625e-09,0.04871805888648455
11,16,65536,2.34923e-05,3.5846405029296873e-10,1.0,6.93342e-06,1.0579559326171875e-10,3.388270146623167,0.000219808,3.35400390625e-09,0.10687645581598486,0.000253458,3.867462158203125e-09,0.0926871513229016
12,17,131072,4.5927e-05,3.5039520263671877e-10,1.0,1.45491e-05,1.1100082397460937e-10,3.1566901045425495,0.000212982,1.6249237060546874e-09,0.21563794123447055,0.000255635,1.9503402709960937e-09,0.17965849746709178
13,18,262144,9.70925e-05,3.7037849426269534e-10,1.0,4.50893e-05,1.7200202941894532e-10,2.153337931615705,0.000220122,8.396987915039063e-10,0.4410849438038906,0.000252492,9.631805419921875e-10,0.3845369358237093
14,19,524288,0.000205131,3.9125633239746093e-10,1.0,0.000116131,2.2150230407714844e-10,1.7663759030749757,0.000214502,4.0913009643554685e-10,0.9563127616525721,0.000254742,4.858818054199219e-10,0.8052500176649315
15,20,1048576,0.000487825,4.652261734008789e-10,1.0,0.000343049,3.2715702056884766e-10,1.4220271739605712,0.000266288,2.539520263671875e-10,1.831945112059124,0.000245742,2.343578338623047e-10,1.9851104003385662
16,21,2097152,0.000961299,4.5838308334350585e-10,1.0,0.000582573,2.777924537658691e-10,1.6500919198109079,0.000310057,1.4784669876098632e-10,3.1003944436023056,0.000243728,1.1621856689453125e-10,3.944146753758288
17,22,4194304,0.00202104,4.818534851074219e-10,1.0,0.0013245,3.157854080200195e-10,1.5258890147225368,0.000329875,7.864832878112793e-11,6.126684350132626,0.000214587,5.116152763366699e-11,9.418277901270812
18,23,8388608,0.00394329,4.700767993927002e-10,1.0,0.00264709,3.1555771827697753e-10,1.4896697883336043,0.000428517,5.108320713043213e-11,9.20217867669194,0.000362792,4.3248176574707034e-11,10.869285982050322
19,24,16777216,0.00790405,4.711180925369262e-10,1.0,0.00555001,3.3080637454986573e-10,1.4241505871160591,0.00129406,7.7131986618042e-11,6.107947081279074,0.0012254,7.303953170776367e-11,6.450179533213644
20,25,33554432,0.0162725,4.849582910537719e-10,1.0,0.0119189,3.5521090030670165e-10,1.3652686070023239,0.00360971,1.0757774114608764e-10,4.507979865418552,0.00352777,1.0513573884963989e-10,4.612687335058691
