,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,0.000194172,6.067875e-06,1.0,0.000103147,3.22334375e-06,1.8824784046070173,9.64934e-05,3.01541875e-06,2.0122827053456507,5.59693e-05,1.749040625e-06,3.469259040223837
1,6,64,0.000391387,6.115421875e-06,1.0,0.000192753,3.011765625e-06,2.0305105497709506,9.29045e-05,1.4516328125e-06,4.212788400992417,8.35325e-05,1.3051953125e-06,4.685445784574866
2,7,128,0.000781886,6.108484375e-06,1.0,0.000372264,2.9083125e-06,2.100353512560978,0.000135744,1.0605e-06,5.760004125412541,0.000131343,1.0261171875e-06,5.953008534904791
3,8,256,0.00155807,6.0862109375e-06,1.0,0.000731445,2.85720703125e-06,2.1301259834984174,0.000227561,8.8891015625e-07,6.846823489086442,0.000177967,6.9518359375e-07,8.754825332786414
4,9,512,0.00310449,6.06345703125e-06,1.0,0.00144913,2.83033203125e-06,2.142312973991291,0.000416229,8.12947265625e-07,7.4586105244949295,0.000269239,5.25857421875e-07,11.53061034991216
5,10,1024,0.00622594,6.08001953125e-06,1.0,0.00293843,2.869560546875e-06,2.1187981336972466,0.000809667,7.906904296875e-07,7.68950692074643,0.000454446,4.43794921875e-07,13.700065574347667
6,11,2048,0.0124609,6.084423828125e-06,1.0,0.0055121,2.691455078125e-06,2.2606447633388367,0.00376116,1.83650390625e-06,3.3130470386795565,0.00997228,4.86927734375e-06,1.2495537630311224
7,12,4096,0.045433,1.1092041015625e-05,1.0,0.0150814,3.681982421875e-06,3.0125187316827353,0.00390833,9.5418212890625e-07,11.62465810205382,0.00184721,4.5097900390625e-07,24.595471007627722
8,13,8192,0.0551717,6.73482666015625e-06,1.0,0.0243329,2.97032470703125e-06,2.267370514817387,0.00645756,7.882763671875e-07,8.543737882419984,0.00313725,3.82965087890625e-07,17.586006853135707
9,14,16384,0.0929319,5.672113037109375e-06,1.0,0.243244,1.4846435546875e-05,0.3820521780598905,0.0404161,2.466802978515625e-06,2.2993782180863565,0.0112967,6.89495849609375e-07,8.226464365699718
10,15,32768,0.650373,1.9847808837890624e-05,1.0,0.263537,8.042510986328126e-06,2.467862197717967,0.0454995,1.3885345458984374e-06,14.294069165595227,0.0219954,6.71246337890625e-07,29.56859161461033
11,16,65536,0.733995,1.1199874877929687e-05,1.0,0.266333,4.063919067382812e-06,2.7559296069206596,0.129813,1.9807891845703127e-06,5.6542488040489,0.0389698,5.946319580078125e-07,18.834969643159575
12,17,131072,1.81518,1.3848724365234375e-05,1.0,0.529798,4.0420379638671874e-06,3.4261737492402764,0.264798,2.0202484130859373e-06,6.854961140189881,0.0688307,5.251365661621093e-07,26.371662644721034
13,18,262144,2.43465,9.287452697753906e-06,1.0,1.16957,4.461555480957031e-06,2.081662491342972,0.285975,1.0909080505371093e-06,8.513506425386835,0.0979924,3.738113403320312e-07,24.8452941248505
14,19,524288,5.24806,1.0009880065917968e-05,1.0,2.19979,4.19576644897461e-06,2.3857095450020225,0.62234,1.1870193481445313e-06,8.43278593694765,0.192194,3.6658096313476563e-07,27.306055339916956
15,20,1048576,11.2101,1.0690784454345704e-05,1.0,4.96683,4.7367382049560546e-06,2.256992890837818,1.39006,1.325664520263672e-06,8.064472037178252,0.385721,3.6785221099853514e-07,29.06271631567895
16,21,2097152,20.5033,9.776735305786133e-06,1.0,9.40421,4.4842767715454106e-06,2.180225664888385,2.09787,1.0003423690795898e-06,9.77338919952142,0.757222,3.610715866088867e-07,27.076999875862032
17,22,4194304,40.5911,9.677672386169433e-06,1.0,18.43,4.394054412841797e-06,2.202447097124254,4.85054,1.1564588546752929e-06,8.368367233338969,1.51509,3.6122560501098634e-07,26.791213723277163
18,23,8388608,79.9359,9.529101848602295e-06,1.0,35.1405,4.189074039459229e-06,2.274751355273829,6.85701,8.174192905426025e-07,11.657544614926914,3.0217,3.602147102355957e-07,26.453949763378233
19,24,16777216,161.044,9.598970413208008e-06,1.0,75.3523,4.491347074508667e-06,2.137214126177967,14.3492,8.552789688110351e-07,11.223204081063754,6.05031,3.6062657833099363e-07,26.617479104376475
20,25,33554432,322.193,9.602099657058715e-06,1.0,146.552,4.367589950561523e-06,2.198489273431956,30.9765,9.231716394424439e-07,10.401207366874887,12.0713,3.5975277423858645e-07,26.69082865971353
