n,lane,threads,seq,simd,par,simdpar
5,8,10,7.78523e-05,3.16728e-05,0.00151778,0.000662576
6,8,10,0.000153778,4.82719e-05,0.000499968,0.000344126
7,8,10,0.000435603,0.000148053,0.000919954,0.000520781
8,8,10,0.0010115,0.00020741,0.000922846,0.000788122
9,8,10,0.00163029,0.000343675,0.00100529,0.000623055
10,8,10,0.00328623,0.000798096,0.00135269,0.000891577
11,8,10,0.00732549,0.00168736,0.00267494,0.000947485
12,8,10,0.0145796,0.00325897,0.00307554,0.0013946
13,8,10,0.0290165,0.00711594,0.00594149,0.00218356
14,8,10,0.057884,0.0121299,0.00764743,0.00354006
15,8,10,0.11683,0.0249532,0.0144237,0.00625661
16,8,10,0.233086,0.0462967,0.0278232,0.0072087
17,8,10,0.413741,0.0881813,0.0509049,0.0129194
18,8,10,0.832024,0.154659,0.102686,0.0237697
19,8,10,1.52783,0.293921,0.190659,0.0468507
20,8,10,2.8773,0.601958,0.427573,0.0875753
21,8,10,5.94983,1.22976,0.86025,0.173837
22,8,10,11.4183,2.47859,1.67115,0.346153
23,8,10,21.75,4.59662,3.26129,0.695874
24,8,10,43.248,9.24524,6.4951,1.37419
25,8,10,86.4726,18.5201,12.4153,2.69879
