,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,7.51524e-05,2.3485125e-06,1.0,2.85839e-05,8.93246875e-07,2.629186360153793,0.000152021,4.75065625e-06,0.4943553851112676,3.52199e-05,1.100621875e-06,2.1338050363572867
1,6,64,0.000156093,2.438953125e-06,1.0,4.16407e-05,6.506359375e-07,3.748568107644684,7.64723e-05,1.1948796875e-06,2.0411704630304044,5.57599e-05,8.712484375e-07,2.799377330303677
2,7,128,0.000296672,2.31775e-06,1.0,6.64557e-05,5.1918515625e-07,4.4642069829976965,0.000927891,7.2491484375e-06,0.3197272093381658,0.000104731,8.182109375e-07,2.832704738807039
3,8,256,0.000599103,2.34024609375e-06,1.0,0.000120105,4.6916015625e-07,4.988160359685275,0.00138027,5.3916796875e-06,0.4340476863222413,0.000106611,4.1644921875e-07,5.619523313729353
4,9,512,0.00128661,2.51291015625e-06,1.0,0.000225019,4.39490234375e-07,5.717783831587555,0.00124386,2.4294140625e-06,1.034368819642082,0.000117197,2.28900390625e-07,10.978182035376333
5,10,1024,0.00254778,2.48806640625e-06,1.0,0.00042702,4.1701171875e-07,5.966418434733736,0.00243239,2.375380859375e-06,1.047438938657041,0.000128956,1.2593359375e-07,19.756971370079714
6,11,2048,0.00516362,2.521298828125e-06,1.0,0.000831867,4.0618505859375e-07,6.207266305791671,0.00151061,7.376025390625e-07,3.41823501764188,0.000137133,6.695947265625e-08,37.65410222193053
7,12,4096,0.0103274,2.521337890625e-06,1.0,0.00164006,4.004052734375e-07,6.296964745192249,0.000540677,1.32001220703125e-07,19.100867985876963,0.000157454,3.844091796875e-08,65.58995008065848
8,13,8192,0.0206257,2.51778564453125e-06,1.0,0.00321418,3.9235595703125e-07,6.417095495585188,0.00070974,8.663818359375e-08,29.060923718544817,0.000207222,2.5295654296875e-08,99.53431585449422
9,14,16384,0.0406823,2.483050537109375e-06,1.0,0.00641538,3.91563720703125e-07,6.341370269570937,0.00132493,8.08673095703125e-08,30.705244805385945,0.000308397,1.882305908203125e-08,131.91535585625022
10,15,32768,0.0812744,2.4802978515625e-06,1.0,0.0127949,3.904693603515625e-07,6.352093412218931,0.0025206,7.6922607421875e-08,32.24406887249067,0.000513887,1.5682586669921874e-08,158.15617051997813
11,16,65536,0.150174,2.291473388671875e-06,1.0,0.0263562,4.021636962890625e-07,5.697862362556059,0.00478305,7.298355102539062e-08,31.39712108382727,0.000918848,1.40205078125e-08,163.43726056975692
12,17,131072,0.320755,2.447166442871094e-06,1.0,0.0511519,3.902580261230469e-07,6.270637063334891,0.00947341,7.227638244628906e-08,33.858452236311955,0.00170801,1.3031082153320313e-08,187.79456794749444
13,18,262144,0.640337,2.442691802978516e-06,1.0,0.102282,3.9017486572265624e-07,6.260505269744432,0.0188783,7.201499938964844e-08,33.919208827066,0.003358,1.280975341796875e-08,190.68999404407387
14,19,524288,1.20039,2.289562225341797e-06,1.0,0.209889,4.003314971923828e-07,5.719165844803682,0.0376524,7.181625366210938e-08,31.880836281352583,0.00654223,1.2478313446044921e-08,183.48330767949156
15,20,1048576,2.4027,2.2913932800292967e-06,1.0,0.421965,4.0241718292236326e-07,5.694074153069567,0.0797718,7.60763168334961e-08,30.119666348258402,0.0130382,1.2434196472167969e-08,184.28157260971605
16,21,2097152,5.13841,2.4501848220825197e-06,1.0,0.818781,3.904252052307129e-07,6.2756829970407235,0.152795,7.285833358764648e-08,33.629438136064664,0.0259083,1.2354040145874023e-08,198.330650795305
17,22,4194304,10.2563,2.4452924728393554e-06,1.0,1.63758,3.9042949676513673e-07,6.263083330280047,0.300691,7.169032096862793e-08,34.10910203497943,0.0515031,1.2279295921325684e-08,199.139469274665
18,23,8388608,19.5798,2.3340940475463866e-06,1.0,3.33383,3.9742350578308104e-07,5.873064913327914,0.600334,7.156538963317872e-08,32.61484440328217,0.103302,1.2314558029174805e-08,189.53940872393562
