n,lane,threads,seq,simd,par,simdpar
5,8,20,0.000136545,7.39658e-05,7.54689e-05,8.25698e-05
6,8,20,0.00026627,8.90686e-05,0.000186492,0.000195535
7,8,20,0.000522245,0.000135472,0.000176159,0.000187538
8,8,20,0.00104091,0.00022946,0.00015509,0.000165056
9,8,20,0.00207915,0.000416108,0.000159579,0.000166501
10,8,20,0.00415812,0.000791013,0.000287844,0.000241211
11,8,20,0.00834493,0.00155137,0.000546976,0.000301266
12,8,20,0.016752,0.00304541,0.0010673,0.000406629
13,8,20,0.033392,0.00604183,0.00210517,0.000601742
14,8,20,0.0666456,0.0121874,0.00419695,0.000977601
15,8,20,0.133318,0.0241869,0.00835011,0.00172468
16,8,20,0.26598,0.0480322,0.0166436,0.00320767
17,8,20,0.531997,0.0958273,0.0334764,0.00621642
18,8,20,1.06052,0.191428,0.0667513,0.0121959
19,8,20,2.12028,0.382545,0.133094,0.0241349
20,8,20,4.1522,0.76497,0.265743,0.0484715
21,8,20,8.00294,1.50335,0.53107,0.0962175
22,8,20,15.9904,3.03724,1.062,0.19174
23,8,20,31.4294,5.7365,2.12317,0.382855
