,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,0.000136545,4.26703125e-06,1.0,7.39658e-05,2.31143125e-06,1.8460558798796198,7.54689e-05,2.358403125e-06,1.809288329364811,8.25698e-05,2.58030625e-06,1.6536917856165327
1,6,64,0.00026627,4.16046875e-06,1.0,8.90686e-05,1.391696875e-06,2.989493491533492,0.000186492,2.9139375e-06,1.4277824249833773,0.000195535,3.055234375e-06,1.3617510931546781
2,7,128,0.000522245,4.0800390625e-06,1.0,0.000135472,1.058375e-06,3.855003247903625,0.000176159,1.3762421875e-06,2.9646228691125627,0.000187538,1.465140625e-06,2.7847422922287746
3,8,256,0.00104091,4.0660546875e-06,1.0,0.00022946,8.96328125e-07,4.536346204131439,0.00015509,6.058203125e-07,6.711651299245599,0.000165056,6.4475e-07,6.3064050988755325
4,9,512,0.00207915,4.06083984375e-06,1.0,0.000416108,8.127109375e-07,4.996659521085872,0.000159579,3.11677734375e-07,13.028969977252647,0.000166501,3.25197265625e-07,12.487312388514184
5,10,1024,0.00415812,4.0606640625e-06,1.0,0.000791013,7.724736328125e-07,5.256702481501568,0.000287844,2.8109765625e-07,14.44574144328178,0.000241211,2.355576171875e-07,17.238517314716162
6,11,2048,0.00834493,4.0746728515625e-06,1.0,0.00155137,7.575048828125e-07,5.379071401406499,0.000546976,2.67078125e-07,15.256482916983561,0.000301266,1.471025390625e-07,27.699541269177406
7,12,4096,0.016752,4.08984375e-06,1.0,0.00304541,7.4350830078125e-07,5.500737174961663,0.0010673,2.605712890625e-07,15.695680689590555,0.000406629,9.9274658203125e-08,41.19725843459271
8,13,8192,0.033392,4.076171875e-06,1.0,0.00604183,7.37528076171875e-07,5.526802309896174,0.00210517,2.56978759765625e-07,15.861901889158595,0.000601742,7.3454833984375e-08,55.492220918599656
9,14,16384,0.0666456,4.067724609375e-06,1.0,0.0121874,7.4385986328125e-07,5.468401792014704,0.00419695,2.561614990234375e-07,15.879531564588572,0.000977601,5.966802978515625e-08,68.17259802311986
10,15,32768,0.133318,4.06854248046875e-06,1.0,0.0241869,7.381256103515625e-07,5.5119920287428315,0.00835011,2.548251342773438e-07,15.966017214144482,0.00172468,5.2633056640625e-08,77.30013683697845
11,16,65536,0.26598,4.05853271484375e-06,1.0,0.0480322,7.329132080078125e-07,5.537535236778661,0.0166436,2.53961181640625e-07,15.98091758994448,0.00320767,4.894515991210938e-08,82.92000112230996
12,17,131072,0.531997,4.058815002441407e-06,1.0,0.0958273,7.311042785644532e-07,5.55162255432429,0.0334764,2.554046630859375e-07,15.8917028115329,0.00621642,4.742752075195313e-08,85.57932057357772
13,18,262144,1.06052,4.045562744140625e-06,1.0,0.191428,7.302398681640625e-07,5.540046388198173,0.0667513,2.5463600158691406e-07,15.887630652886159,0.0121959,4.652366638183594e-08,86.95709213752161
14,19,524288,2.12028,4.044113159179688e-06,1.0,0.382545,7.296466827392579e-07,5.542563619966279,0.133094,2.5385665893554686e-07,15.930695598599488,0.0241349,4.603366851806641e-08,87.85120302963759
15,20,1048576,4.1522,3.959846496582031e-06,1.0,0.76497,7.295322418212891e-07,5.427925278115481,0.265743,2.534322738647461e-07,15.624870645699039,0.0484715,4.622602462768555e-08,85.66270901457557
16,21,2097152,8.00294,3.8160991668701175e-06,1.0,1.50335,7.16853141784668e-07,5.323404396847042,0.53107,2.532339096069336e-07,15.069463535880393,0.0962175,4.588007926940918e-08,83.17551380985789
17,22,4194304,15.9904,3.812408447265625e-06,1.0,3.03724,7.241344451904297e-07,5.264779865930911,1.062,2.532005310058594e-07,15.056873822975517,0.19174,4.571437835693359e-08,83.39626577657243
18,23,8388608,31.4294,3.7466764450073244e-06,1.0,5.7365,6.838440895080567e-07,5.478845986228537,2.12317,2.5310158729553223e-07,14.803053924085212,0.382855,4.5639872550964356e-08,82.09217588904416
