n,lane,threads,seq,simd,par,simdpar
5,16,20,9.27438e-05,7.33374e-05,7.50452e-05,7.8986e-05
6,16,20,0.000219347,8.15501e-05,0.000171572,0.000179441
7,16,20,0.000367558,0.000100526,0.000167566,0.000177038
8,16,20,0.000734416,0.000138249,0.00015538,0.000172025
9,16,20,0.0014698,0.000217772,0.000121038,0.000139506
10,16,20,0.00294577,0.000361716,0.000209965,0.000214692
11,16,20,0.00587619,0.000659628,0.000392009,0.000315836
12,16,20,0.0117675,0.00126795,0.000760596,0.000379115
13,16,20,0.0236091,0.00246994,0.0014952,0.000469057
14,16,20,0.0474095,0.00486833,0.0029684,0.000630233
15,16,20,0.0947344,0.00975367,0.00592924,0.000930629
16,16,20,0.188135,0.0193549,0.0118131,0.00152704
17,16,20,0.376382,0.0384218,0.0235747,0.00269925
18,16,20,0.752383,0.0766123,0.0474781,0.00512742
19,16,20,1.50231,0.152959,0.0945242,0.00990172
20,16,20,2.91688,0.305552,0.188577,0.0194798
21,16,20,5.84959,0.610983,0.376768,0.039012
22,16,20,11.5201,1.22158,0.753081,0.0772079
23,16,20,22.3567,2.24414,1.50572,0.153591
24,16,20,44.3308,4.1451,3.01161,0.306404
25,16,20,87.8281,9.12834,6.00888,0.61186
