,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,0.000110852,3.464125e-06,1.0,3.97313e-05,1.241603125e-06,2.7900421078595468,5.52802e-05,1.72750625e-06,2.00527494473609,5.50998e-05,1.72186875e-06,2.011840333358742
1,6,64,0.000203028,3.1723125e-06,1.0,5.32412e-05,8.3189375e-07,3.8133625838636247,4.30366e-05,6.72446875e-07,4.717565978725085,4.33459e-05,6.772796875e-07,4.683903206531644
2,7,128,0.00040694,3.17921875e-06,1.0,8.38919e-05,6.5540546875e-07,4.850766283753259,6.74853e-05,5.2722890625e-07,6.030053952490394,6.73364e-05,5.26065625e-07,6.043388122917174
3,8,256,0.000812571,3.17410546875e-06,1.0,0.000145816,5.6959375e-07,5.57257776924343,0.000116351,4.5449609375e-07,6.983790427241709,0.000115919,4.5280859375e-07,7.009817199941338
4,9,512,0.00162568,3.17515625e-06,1.0,0.00026999,5.2732421875e-07,6.021260046668395,0.000217477,4.24759765625e-07,7.47518128353803,0.000132389,2.58572265625e-07,12.279570054913927
5,10,1024,0.00324617,3.170087890625e-06,1.0,0.00051652,5.044140625e-07,6.284693719507473,0.000420803,4.109404296875e-07,7.714227322523842,0.000167492,1.6356640625e-07,19.38104506483892
6,11,2048,0.00660695,3.2260498046875e-06,1.0,0.00101697,4.965673828125e-07,6.4967009842964885,0.000827535,4.0406982421875e-07,7.983891919979215,0.000236132,1.15298828125e-07,27.979901072281606
7,12,4096,0.0132986,3.246728515625e-06,1.0,0.00200331,4.8908935546875e-07,6.6383135910068845,0.00163852,4.00029296875e-07,8.116226838854576,0.000373523,9.1192138671875e-08,35.603162321998916
8,13,8192,0.0260436,3.179150390625e-06,1.0,0.00398619,4.86595458984375e-07,6.533456759462044,0.00326874,3.9901611328125e-07,7.967473705464491,0.000647518,7.9042724609375e-08,40.220657958543235
9,14,16384,0.0520486,3.17679443359375e-06,1.0,0.00798956,4.8764404296875e-07,6.514576522361683,0.00669565,4.086700439453125e-07,7.773494731654134,0.00119402,7.2877197265625e-08,43.59106212626254
10,15,32768,0.104026,3.17462158203125e-06,1.0,0.015874,4.8443603515625e-07,6.5532316996346225,0.0130037,3.968414306640625e-07,7.999723155717218,0.00228622,6.97698974609375e-08,45.50130783564136
11,16,65536,0.207829,3.1712188720703127e-06,1.0,0.0316352,4.8271484375e-07,6.569549109852316,0.0261507,3.9902801513671873e-07,7.947358961710395,0.00448094,6.837371826171875e-08,46.380670127250085
12,17,131072,0.415614,3.1708831787109374e-06,1.0,0.0631742,4.819808959960937e-07,6.578856558531806,0.0521048,3.97528076171875e-07,7.976501205263238,0.00885395,6.755027770996093e-08,46.941082793555424
13,18,262144,0.829628,3.1647796630859376e-06,1.0,0.126298,4.817886352539062e-07,6.568813441226307,0.103969,3.9661026000976565e-07,7.979570833613866,0.0177325,6.764411926269532e-08,46.785732412237415
14,19,524288,1.66009,3.1663703918457033e-06,1.0,0.252317,4.812564849853516e-07,6.579382284982779,0.207708,3.9617156982421876e-07,7.992422054037399,0.0352607,6.725444793701172e-08,47.080460682856554
15,20,1048576,3.29057,3.1381320953369143e-06,1.0,0.504617,4.812402725219726e-07,6.520925771426647,0.415795,3.9653301239013674e-07,7.913923928859173,0.0702224,6.696929931640625e-08,46.859264280343595
16,21,2097152,6.4505,3.0758380889892578e-06,1.0,1.009,4.811286926269531e-07,6.392963330029733,0.829788,3.9567375183105467e-07,7.7736723114819695,0.140138,6.682300567626954e-08,46.029627938175224
17,22,4194304,12.7833,3.047776222229004e-06,1.0,2.01375,4.801154136657715e-07,6.348007448789573,1.66121,3.9606332778930666e-07,7.695173999674935,0.279943,6.674361228942871e-08,45.6639387303844
18,23,8388608,25.543,3.0449628829956054e-06,1.0,3.99191,4.7587275505065916e-07,6.398691353261972,3.31798,3.9553403854370116e-07,7.698358639895358,0.559645,6.671488285064697e-08,45.64143340867872
19,24,16777216,50.7785,3.026634454727173e-06,1.0,7.82833,4.666048288345337e-07,6.486504784545363,6.63476,3.954625129699707e-07,7.653404192465138,1.11891,6.669223308563233e-08,45.3821129492095
20,25,33554432,101.272,3.01814079284668e-06,1.0,15.4783,4.612892866134644e-07,6.542837391703223,13.2493,3.948599100112915e-07,7.64357362275743,2.23748,6.668210029602051e-08,45.26163362354077
