n,lane,threads,seq,simd,par,simdpar
5,4,10,0.000187384,5.64395e-05,0.00020181,0.000195424
6,4,10,0.000376418,0.000164872,0.000363533,0.00031919
7,4,10,0.000808851,0.000316861,0.000399418,0.000359219
8,4,10,0.00157077,0.000577567,0.000911532,0.000632539
9,4,10,0.00296953,0.000871341,0.00166312,0.00102843
10,4,10,0.00603141,0.00212083,0.00298986,0.00155176
11,4,10,0.0113005,0.00376226,0.0043282,0.00274847
12,4,10,0.0216025,0.00662645,0.00619467,0.0047998
13,4,10,0.0402826,0.0131248,0.00891254,0.00576123
14,4,10,0.0753952,0.0259019,0.0183082,0.00789789
15,4,10,0.152527,0.0515498,0.032954,0.014945
16,4,10,0.299801,0.10353,0.0705247,0.0253792
17,4,10,0.585348,0.208854,0.141482,0.0543542
18,4,10,1.11815,0.40231,0.254354,0.09893
19,4,10,2.31724,0.820343,0.487797,0.16868
20,4,10,4.38387,1.57352,1.0987,0.370334
21,4,10,9.17105,3.34448,1.76745,0.600551
22,4,10,22.2391,8.13301,3.3499,1.41699
23,4,10,35.9875,12.6047,6.21944,2.15614
