,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,0.000240064,7.502e-06,1.0,5.62968e-05,1.759275e-06,4.264256582967416,0.000690523,2.157884375e-05,0.34765532791811427,0.000318972,9.967875e-06,0.752617784633134
1,6,64,0.000261151,4.080484375e-06,1.0,0.000106878,1.66996875e-06,2.443449540597691,0.000262136,4.095875e-06,0.9962424085207678,0.000382096,5.97025e-06,0.6834695992630124
2,7,128,0.000816218,6.376703125e-06,1.0,0.00023343,1.823671875e-06,3.4966285396050205,0.000362716,2.83371875e-06,2.250294996636487,0.000297189,2.3217890625e-06,2.746461006295657
3,8,256,0.00114459,4.4710546875e-06,1.0,0.000493906,1.9293203125e-06,2.317424773134969,0.00113658,4.439765625e-06,1.0070474581639655,0.000622019,2.42976171875e-06,1.8401206394016902
4,9,512,0.00311484,6.083671875e-06,1.0,0.00104514,2.0412890625e-06,2.9803088581434065,0.00137701,2.68947265625e-06,2.2620315030391938,0.00101095,1.97451171875e-06,3.08110193382462
5,10,1024,0.00631699,6.168935546875e-06,1.0,0.00206378,2.01541015625e-06,3.060883427497117,0.0033217,3.24384765625e-06,1.9017340518409247,0.0015385,1.50244140625e-06,4.105940851478713
6,11,2048,0.0117293,5.727197265625e-06,1.0,0.00439638,2.146669921875e-06,2.667944991106319,0.00462239,2.2570263671875e-06,2.5374968360523456,0.00185353,9.050439453125e-07,6.328087487119173
7,12,4096,0.0242437,5.9188720703125e-06,1.0,0.00862549,2.10583251953125e-06,2.8107040875358966,0.00641808,1.5669140625e-06,3.7774069503652186,0.00323355,7.8944091796875e-07,7.4975491333055
8,13,8192,0.0477666,5.8308837890625e-06,1.0,0.0171929,2.09874267578125e-06,2.7782747529503458,0.00936175,1.142791748046875e-06,5.102315272251449,0.005076,6.1962890625e-07,9.410283687943263
9,14,16384,0.0792208,4.83525390625e-06,1.0,0.0276742,1.68909912109375e-06,2.862622948450181,0.0155087,9.46575927734375e-07,5.108152198443454,0.00732409,4.470269775390625e-07,10.816470032454543
10,15,32768,0.171932,5.2469482421875e-06,1.0,0.0543373,1.6582427978515624e-06,3.164161634825433,0.0243734,7.43817138671875e-07,7.054083550099699,0.0113549,3.465240478515625e-07,15.141656905829203
11,16,65536,0.379961,5.797744750976562e-06,1.0,0.125536,1.91552734375e-06,3.0267094697935253,0.0430113,6.563003540039063e-07,8.833980837593842,0.0191835,2.9271697998046874e-07,19.806656762321786
12,17,131072,0.682074,5.203811645507812e-06,1.0,0.212889,1.6242141723632812e-06,3.203894987528712,0.0845235,6.448631286621094e-07,8.069637438108927,0.0347238,2.6492156982421874e-07,19.64283862941268
13,18,262144,1.19179,4.546318054199218e-06,1.0,0.390689,1.4903602600097657e-06,3.050482608929353,0.158381,6.041755676269531e-07,7.524829367158939,0.061015,2.3275375366210937e-07,19.532737851348028
14,19,524288,2.39743,4.572734832763672e-06,1.0,0.783711,1.4948101043701173e-06,3.0590740719474394,0.31448,5.99822998046875e-07,7.623473670821674,0.118947,2.2687339782714843e-07,20.155447384129065
15,20,1048576,4.73459,4.515256881713867e-06,1.0,1.5707,1.4979362487792969e-06,3.0143184567390335,0.610626,5.823383331298828e-07,7.753665910066063,0.228212,2.1763992309570312e-07,20.746455050567015
16,21,2097152,9.10082,4.339609146118164e-06,1.0,3.11094,1.4834117889404296e-06,2.925424469774409,1.22862,5.858516693115235e-07,7.407351337272713,0.445843,2.1259450912475585e-07,20.41261161440238
17,22,4194304,18.7786,4.477167129516602e-06,1.0,6.29426,1.5006685256958009e-06,2.9834484117275104,2.46811,5.884432792663574e-07,7.608493948811034,0.8921,2.126932144165039e-07,21.049882300190564
18,23,8388608,36.1857,4.313671588897705e-06,1.0,12.8251,1.5288710594177247e-06,2.821475076217729,4.85881,5.792152881622315e-07,7.447440834278352,1.78083,2.1229147911071776e-07,20.319570088104985
19,24,16777216,71.6374,4.269921779632568e-06,1.0,26.0254,1.5512347221374512e-06,2.7525955412789043,9.84828,5.87003231048584e-07,7.274102685951251,3.5479,2.114713191986084e-07,20.19149355957045
20,25,33554432,148.743,4.432886838912964e-06,1.0,52.5698,1.566702127456665e-06,2.829438194552766,19.5316,5.820870399475098e-07,7.615505130148067,7.10646,2.1178901195526124e-07,20.930674344188244
