n,lane,threads,seq,simd,par,simdpar
5,8,10,7.7558e-05,3.20122e-05,0.000900689,0.000313462
6,8,10,0.000281068,0.000111804,0.000552412,0.000526106
7,8,10,0.00031575,0.000152981,0.000645219,0.000539405
8,8,10,0.000628429,0.000150696,0.000517595,0.000354416
9,8,10,0.00138939,0.00028101,0.000980648,0.000574346
10,8,10,0.00327541,0.000789784,0.00177144,0.00065226
11,8,10,0.00599238,0.00132524,0.00258961,0.00088684
12,8,10,0.0144905,0.00327213,0.00455761,0.00217922
13,8,10,0.0296682,0.00622796,0.00677841,0.00291037
14,8,10,0.0508446,0.0106942,0.0103979,0.00427685
15,8,10,0.0971703,0.0209802,0.0165532,0.00630012
16,8,10,0.203197,0.0380352,0.028278,0.00958535
17,8,10,0.441745,0.0875248,0.0495595,0.0161843
18,8,10,0.766051,0.15824,0.0981708,0.0269604
19,8,10,1.58892,0.313851,0.195619,0.046966
20,8,10,3.10473,0.592557,0.382484,0.0887225
21,8,10,6.02259,1.18831,0.768348,0.169885
22,8,10,11.3863,2.47801,1.53199,0.333708
23,8,10,22.7111,4.57575,3.05038,0.656368
24,8,10,43.1775,9.44842,6.02677,1.31847
25,8,10,88.0934,18.6677,12.1001,2.63842
