,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,9.22694e-05,2.88341875e-06,1.0,7.26528e-05,2.2704e-06,1.2700047348484849,9.48361e-05,2.963628125e-06,0.9729354117261253,3.68786e-05,1.15245625e-06,2.501976756167533
1,6,64,0.000183693,2.870203125e-06,1.0,8.82605e-05,1.3790703125e-06,2.081259453549436,7.26898e-05,1.135778125e-06,2.5270808283968313,4.08606e-05,6.38446875e-07,4.495602120380023
2,7,128,0.000386216,3.0173125e-06,1.0,0.000120085,9.381640625e-07,3.2161885331223714,7.67667e-05,5.9973984375e-07,5.031035592255496,6.13987e-05,4.7967734375e-07,6.290296048613406
3,8,256,0.000800333,3.12630078125e-06,1.0,0.000137427,5.3682421875e-07,5.823695489241561,9.94235e-05,3.88373046875e-07,8.049736732261488,9.95113e-05,3.88716015625e-07,8.04263435408843
4,9,512,0.00152793,2.98423828125e-06,1.0,0.00021211,4.1427734375e-07,7.203479326764415,0.00017352,3.3890625e-07,8.805497925311203,0.0001949,3.806640625e-07,7.839558748075937
5,10,1024,0.0030629,2.99111328125e-06,1.0,0.0003622,3.537109375e-07,8.456377691882937,0.00033531,3.27451171875e-07,9.1345322239122,0.00020073,1.96025390625e-07,15.258805360434414
6,11,2048,0.00602007,2.9394873046875e-06,1.0,0.000660297,3.2241064453125e-07,9.117215434872488,0.000642097,3.1352392578125e-07,9.37563950618053,0.00025455,1.242919921875e-07,23.649852681202123
7,12,4096,0.011877,2.899658203125e-06,1.0,0.00125649,3.0676025390625e-07,9.452522503163575,0.00122349,2.9870361328125e-07,9.70747615427997,0.000321576,7.8509765625e-08,36.93372639749235
8,13,8192,0.0237871,2.90369873046875e-06,1.0,0.00245063,2.99149169921875e-07,9.706524444734619,0.00237971,2.90491943359375e-07,9.995797807295846,0.000452148,5.519384765625e-08,52.609101444659714
9,14,16384,0.0470678,2.87279052734375e-06,1.0,0.00483879,2.953363037109375e-07,9.727183862081223,0.00475594,2.90279541015625e-07,9.89663452440527,0.000676473,4.128863525390625e-08,69.57823889497438
10,15,32768,0.0941119,2.8720672607421874e-06,1.0,0.00961035,2.9328460693359375e-07,9.792765091802067,0.00978671,2.9866668701171877e-07,9.61629597689111,0.00121436,3.7059326171875e-08,77.49917652096578
11,16,65536,0.187747,2.8647918701171875e-06,1.0,0.0191839,2.9272308349609375e-07,9.786696135822226,0.0152145,2.3215484619140626e-07,12.340004600874165,0.00217052,3.31195068359375e-08,86.49862705711074
12,17,131072,0.375824,2.8673095703125e-06,1.0,0.0382791,2.920463562011719e-07,9.817994675945881,0.0268092,2.045379638671875e-07,14.018471271056205,0.00409857,3.1269607543945314e-08,91.6963721493106
13,18,262144,0.749751,2.860073089599609e-06,1.0,0.076723,2.9267501831054687e-07,9.772180441327894,0.047012,1.793365478515625e-07,15.948077086701268,0.00804143,3.0675621032714845e-08,93.2360289152551
14,19,524288,1.41684,2.7024078369140627e-06,1.0,0.115787,2.2084617614746094e-07,12.236606872965014,0.0839734,1.601665496826172e-07,16.872485810983,0.0146692,2.7979278564453126e-08,96.58604422872413
15,20,1048576,2.91186,2.776966094970703e-06,1.0,0.264298,2.5205421447753904e-07,11.017336491384725,0.161903,1.5440273284912109e-07,17.98521336849842,0.0245942,2.3454856872558594e-08,118.39620723585234
16,21,2097152,5.55012,2.646503448486328e-06,1.0,0.485415,2.3146390914916991e-07,11.433762862705107,0.309325,1.4749765396118165e-07,17.942681645518466,0.0388691,1.8534231185913084e-08,142.79003115585388
17,22,4194304,11.0373,2.631497383117676e-06,1.0,0.935327,2.2299933433532715e-07,11.800471920515498,0.609117,1.4522480964660645e-07,18.1201641064032,0.0693116,1.652517318725586e-08,159.2417430848516
18,23,8388608,22.0779,2.6318907737731933e-06,1.0,1.88061,2.2418618202209471e-07,11.739754654075009,1.21192,1.4447212219238283e-07,18.217291570400686,0.130064,1.5504837036132814e-08,169.74643252552588
19,24,16777216,43.9386,2.6189446449279786e-06,1.0,3.77191,2.2482335567474366e-07,11.648899363982704,2.41298,1.4382481575012208e-07,18.209268207776276,0.250534,1.4932990074157714e-08,175.37978877118476
20,25,33554432,87.571,2.609819173812866e-06,1.0,7.54983,2.250024676322937e-07,11.599069118112594,4.82075,1.436695456504822e-07,18.16543069024529,0.494756,1.4744877815246581e-08,176.99835878695762
