,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,0.000134155,4.19234375e-06,1.0,5.72761e-05,1.789878125e-06,2.3422509563325717,3.09865e-05,9.68328125e-07,4.329466057799364,2.96335e-05,9.26046875e-07,4.527139892351562
1,6,64,0.000261591,4.087359375e-06,1.0,0.000103015,1.609609375e-06,2.539348638547784,5.12437e-05,8.006828125e-07,5.1048421562065185,4.26428e-05,6.6629375e-07,6.134470531953812
2,7,128,0.000524095,4.0944921875e-06,1.0,0.000195827,1.5298984375e-06,2.6763163404433508,9.2051e-05,7.191484375e-07,5.693528587413499,5.82575e-05,4.5513671875e-07,8.996180749259752
3,8,256,0.00104527,4.0830859375e-06,1.0,0.000380172,1.485046875e-06,2.7494660311648413,0.000137747,5.3807421875e-07,7.588332232280922,8.2304e-05,3.215e-07,12.700111780715396
4,9,512,0.00208734,4.0768359375e-06,1.0,0.000747473,1.459908203125e-06,2.7925289609123003,0.000229119,4.47498046875e-07,9.110287667107485,0.000106773,2.08541015625e-07,19.549324267370963
5,10,1024,0.00423024,4.13109375e-06,1.0,0.00148794,1.45306640625e-06,2.843017863623533,0.000445032,4.346015625e-07,9.505473763684408,0.000180413,1.761845703125e-07,23.447534268594833
6,11,2048,0.00842524,4.11388671875e-06,1.0,0.00295798,1.444326171875e-06,2.8483086430604674,0.000878009,4.2871533203125e-07,9.595846967400107,0.000334435,1.6329833984375e-07,25.19245892325863
7,12,4096,0.0167609,4.0920166015625e-06,1.0,0.00596758,1.4569287109375e-06,2.8086594565971463,0.00171932,4.19755859375e-07,9.748563385524509,0.000632547,1.54430419921875e-07,26.497477657786693
8,13,8192,0.0334996,4.089306640625e-06,1.0,0.0118484,1.446337890625e-06,2.827352216333007,0.00338947,4.13753662109375e-07,9.883433103110516,0.00120628,1.472509765625e-07,27.77099844148954
9,14,16384,0.0668385,4.079498291015625e-06,1.0,0.0236016,1.44052734375e-06,2.8319478340451494,0.00675552,4.1232421875e-07,9.8939089810999,0.00237878,1.45189208984375e-07,28.09780643859457
10,15,32768,0.133571,4.076263427734375e-06,1.0,0.0471179,1.4379241943359374e-06,2.834824981588738,0.013471,4.11102294921875e-07,9.915447999406132,0.00473757,1.4457916259765625e-07,28.19398974579795
11,16,65536,0.266824,4.0714111328125e-06,1.0,0.0941054,1.4359344482421876e-06,2.8353739530356386,0.026885,4.102325439453125e-07,9.924641993676772,0.00941812,1.437091064453125e-07,28.330919546576173
12,17,131072,0.533484,4.070159912109375e-06,1.0,0.188147,1.4354476928710938e-06,2.835463759719793,0.0537165,4.0982437133789063e-07,9.931473569573594,0.0189363,1.4447250366210937e-07,28.17255746898813
13,18,262144,1.0667,4.0691375732421874e-06,1.0,0.37621,1.4351272583007812e-06,2.835384492703543,0.107355,4.095268249511719e-07,9.93619300451772,0.0375469,1.4323005676269532e-07,28.409802140789253
14,19,524288,2.1259,4.054832458496094e-06,1.0,0.752383,1.4350566864013672e-06,2.825555601336022,0.214631,4.0937614440917967e-07,9.904906560562083,0.075163,1.4336204528808593e-07,28.283863070925857
15,20,1048576,4.11025,3.919839859008789e-06,1.0,1.50386,1.434192657470703e-06,2.733133403375314,0.429489,4.095926284790039e-07,9.570093762587632,0.150046,1.430950164794922e-07,27.393266065073373
16,21,2097152,7.99018,3.810014724731445e-06,1.0,2.98244,1.4221382141113281e-06,2.679074851463902,0.85828,4.0925979614257815e-07,9.30952602880179,0.300305,1.4319658279418945e-07,26.606883002281013
17,22,4194304,15.6282,3.726053237915039e-06,1.0,5.8679,1.3990163803100585e-06,2.6633378210262615,1.71688,4.093360900878906e-07,9.102674619076465,0.600246,1.4310979843139647e-07,26.03632510670625
18,23,8388608,30.9287,3.686988353729248e-06,1.0,11.5954,1.3822793960571289e-06,2.667324973696466,3.43411,4.093778133392334e-07,9.006321870877752,1.2005,1.4311075210571288e-07,25.763182007496876
19,24,16777216,61.5894,3.6710143089294432e-06,1.0,23.0641,1.374727487564087e-06,2.670357828833555,6.86847,4.0939271450042726e-07,8.966975177878043,2.40108,1.4311552047729491e-07,25.650707181768205
20,25,33554432,121.856,3.631591796875e-06,1.0,46.0013,1.3709455728530884e-06,2.6489686161043275,13.7557,4.099518060684204e-07,8.858582260444761,4.79824,1.4299869537353515e-07,25.395978525459334
