,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,6.62242e-05,2.06950625e-06,1.0,5.90217e-05,1.844428125e-06,1.1220313884554325,0.000153458,4.7955625e-06,0.4315460907870557,0.000143709,4.49090625e-06,0.46082152126867487
1,6,64,0.000131797,2.059328125e-06,1.0,0.000116318,1.81746875e-06,1.133074846541378,0.000411279,6.426234375e-06,0.32045642982014644,0.000403502,6.30471875e-06,0.326632829577053
2,7,128,0.000263249,2.0566328125e-06,1.0,0.000231577,1.8091953125e-06,1.1367666046282663,0.000235655,1.8410546875e-06,1.1170949056884005,0.000222699,1.7398359375e-06,1.182084338052708
3,8,256,0.000525993,2.05466015625e-06,1.0,0.000460783,1.79993359375e-06,1.1415199779505754,0.000247837,9.6811328125e-07,2.122334437553715,0.000227483,8.8860546875e-07,2.312229924873507
4,9,512,0.0010501,2.0509765625e-06,1.0,0.000919988,1.7968515625e-06,1.141427931668674,0.000229631,4.48498046875e-07,4.572988838614996,0.000238251,4.65333984375e-07,4.407536589563108
5,10,1024,0.00210212,2.0528515625e-06,1.0,0.00183992,1.796796875e-06,1.1425061959215617,0.000213115,2.081201171875e-07,9.863782464866386,0.000199218,1.94548828125e-07,10.55185776385668
6,11,2048,0.00420402,2.052744140625e-06,1.0,0.00367669,1.7952587890625e-06,1.1434252003840413,0.000236911,1.1567919921875e-07,17.74514480121227,0.000226337,1.1051611328125e-07,18.574161537883775
7,12,4096,0.008402,2.05126953125e-06,1.0,0.00735075,1.79461669921875e-06,1.1430126177600926,0.000343896,8.3958984375e-08,24.43180496429153,0.000310504,7.5806640625e-08,27.059232731301364
8,13,8192,0.0167924,2.049853515625e-06,1.0,0.0146992,1.7943359375e-06,1.1424023076085772,0.000562388,6.865087890625e-08,29.859100834299447,0.00050447,6.1580810546875e-08,33.28721232184272
9,14,16384,0.0336041,2.051031494140625e-06,1.0,0.0293944,1.794091796875e-06,1.1432143537544566,0.00100024,6.10498046875e-08,33.59603695113173,0.000869943,5.309710693359375e-08,38.62793309446711
10,15,32768,0.0671756,2.05003662109375e-06,1.0,0.0587885,1.7940826416015625e-06,1.142665657398981,0.00185733,5.668121337890625e-08,36.16783231843561,0.00161404,4.9256591796875e-08,41.619538549230505
11,16,65536,0.134395,2.0507049560546873e-06,1.0,0.117579,1.7941131591796875e-06,1.1430187363389719,0.00352159,5.373519897460937e-08,38.16315925476844,0.00307086,4.685760498046875e-08,43.76461317025198
12,17,131072,0.268449,2.048103332519531e-06,1.0,0.23518,1.794281005859375e-06,1.1414618590016157,0.00685208,5.22772216796875e-08,39.1777387304293,0.00602132,4.593902587890625e-08,44.58308145057894
13,18,262144,0.53667,2.0472335815429687e-06,1.0,0.470346,1.7942276000976562e-06,1.1410110854562385,0.0135098,5.153579711914063e-08,39.72449629158092,0.0119135,4.544639587402344e-08,45.047215343937545
14,19,524288,1.07366,2.047843933105469e-06,1.0,0.940696,1.7942352294921875e-06,1.1413464073409476,0.0268231,5.116100311279297e-08,40.027439035756494,0.0236843,4.517421722412109e-08,45.33213985636055
15,20,1048576,2.14541,2.046022415161133e-06,1.0,1.88136,1.7942047119140624e-06,1.1403505974401498,0.0534338,5.095844268798828e-08,40.15080342404995,0.0477666,4.555377960205078e-08,44.914438122035065
