,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.1595e-06,3.6234375e-08,1.0,7.4236e-07,2.319875e-08,1.561910663290048,3.46697e-05,1.083428125e-06,0.03344418901807631,3.0862e-05,9.644375e-07,0.03757047501782128
1,6,64,2.14768e-06,3.35575e-08,1.0,7.321e-07,1.14390625e-08,2.9335883076082503,5.25282e-05,8.20753125e-07,0.040886228730472395,5.82329e-05,9.098890625e-07,0.03688086974888766
2,7,128,5.03886e-06,3.936609375e-08,1.0,1.24874e-06,9.75578125e-09,4.035155436680173,5.23229e-05,4.0877265625e-07,0.09630314833466799,6.04168e-05,4.7200625e-07,0.08340163663087088
3,8,256,8.36772e-06,3.268640625e-08,1.0,1.96504e-06,7.6759375e-09,4.25829499653951,5.23728e-05,2.0458125e-07,0.15977224818990007,6.03296e-05,2.356625e-07,0.13870007425873865
4,9,512,1.67316e-05,3.267890625e-08,1.0,3.09452e-06,6.043984375e-09,5.406848234944354,5.15214e-05,1.00627734375e-07,0.32475049202855516,5.90899e-05,1.154099609375e-07,0.28315498926212435
5,10,1024,3.32676e-05,3.2487890625e-08,1.0,5.81916e-06,5.6827734375e-09,5.716907594910606,5.07985e-05,4.960791015625e-08,0.6548933531501915,6.73836e-05,6.5804296875e-08,0.49370469965985786
6,11,2048,6.74676e-05,3.29431640625e-08,1.0,1.11568e-05,5.44765625e-09,6.047217840240929,5.34902e-05,2.611826171875e-08,1.2613076787897597,7.28662e-05,3.557919921875e-08,0.9259107789345402
7,12,4096,0.000135621,3.3110595703125e-08,1.0,2.23512e-05,5.4568359375e-09,6.067727907226457,5.02354e-05,1.2264501953125e-08,2.699709766419696,7.23483e-05,1.76631591796875e-08,1.8745568313284486
8,13,8192,0.000316137,3.85909423828125e-08,1.0,4.24532e-05,5.182275390625e-09,7.44671779748052,5.04121e-05,6.15382080078125e-09,6.271053973153271,7.12541e-05,8.69801025390625e-09,4.436755218296211
9,14,16384,0.000533753,3.257769775390625e-08,1.0,8.43106e-05,5.14591064453125e-09,6.330793518252746,6.13087e-05,3.741986083984375e-09,8.705991156230683,7.09117e-05,4.328106689453125e-09,7.527008942106874
10,15,32768,0.00106874,3.26153564453125e-08,1.0,0.000193657,5.909942626953125e-09,5.518726408030695,9.36971e-05,2.8594085693359375e-09,11.406329544884528,6.31429e-05,1.9269683837890623e-09,16.925735118279334
11,16,65536,0.00212567,3.2435150146484376e-08,1.0,0.000350183,5.3433685302734376e-09,6.07016902590931,0.000161436,2.46331787109375e-09,13.167261329567136,7.6821e-05,1.1721954345703125e-09,27.670428658830268
12,17,131072,0.00425119,3.243400573730469e-08,1.0,0.000691653,5.276893615722656e-09,6.146420242520455,0.000294483,2.246726989746094e-09,14.436113459860161,0.000108082,8.246002197265625e-10,39.33300642105068
13,18,262144,0.00821025,3.131961822509766e-08,1.0,0.00107259,4.091606140136719e-09,7.654602410986491,0.000567811,2.166027069091797e-09,14.459476832960265,0.000161368,6.15570068359375e-10,50.87904665113282
14,19,524288,0.0160584,3.062896728515625e-08,1.0,0.00189497,3.614368438720703e-09,8.474223866340893,0.00109902,2.096214294433594e-09,14.611563028880274,0.000244686,4.667015075683593e-10,65.62860155464556
15,20,1048576,0.0322699,3.0774974822998044e-08,1.0,0.00370015,3.528738021850586e-09,8.721241030769022,0.00216813,2.0676898956298827e-09,14.883747745753253,0.000414856,3.9563751220703126e-10,77.78578591125594
16,21,2097152,0.0624851,2.9795217514038087e-08,1.0,0.00736678,3.512754440307617e-09,8.482009779035074,0.00432768,2.0635986328125e-09,14.438475118308192,0.000786353,3.74962329864502e-10,79.46189561176723
17,22,4194304,0.119226,2.842569351196289e-08,1.0,0.0138485,3.3017396926879882e-09,8.609307867278044,0.00862508,2.0563793182373047e-09,13.823176132859057,0.00153026,3.6484241485595705e-10,77.91225020584737
18,23,8388608,0.231971,2.765309810638428e-08,1.0,0.027258,3.2494068145751954e-09,8.510198840707316,0.0172429,2.055513858795166e-09,13.45313143380754,0.00309296,3.687095642089844e-10,74.99967668511717
