n,lane,threads,seq,simd,par,simdpar
5,8,40,1.3612e-06,5.876e-07,5.81571e-05,5.62906e-05
6,8,40,1.2668e-06,5.956e-07,0.000148532,0.000147969
7,8,40,1.994e-06,8.316e-07,0.000390153,0.000391035
8,8,40,5.0628e-06,1.22064e-06,0.000393283,0.000387437
9,8,40,1.004e-05,2.0094e-06,0.00039453,0.000391693
10,8,40,2.00267e-05,3.5364e-06,0.000388408,0.00038412
11,8,40,3.10543e-05,6.62732e-06,0.000386962,0.000388192
12,8,40,7.98062e-05,1.29752e-05,0.000381286,0.000384118
13,8,40,0.000152677,2.52556e-05,0.000392958,0.000388485
14,8,40,0.000316273,4.59462e-05,0.000380863,0.000389986
15,8,40,0.000636915,0.000100964,0.000385103,0.000393983
16,8,40,0.00128308,0.000200051,0.000385286,0.000387366
17,8,40,0.00214675,0.000358709,0.000376819,0.00039718
18,8,40,0.00474989,0.000734586,0.000396611,0.000388996
19,8,40,0.00860656,0.00136533,0.000370551,0.000375159
20,8,40,0.0163647,0.00300915,0.000725321,0.000359623
21,8,40,0.0318277,0.00550808,0.00119197,0.000369314
22,8,40,0.0650505,0.0110868,0.00205109,0.000479352
23,8,40,0.138424,0.0215978,0.00398848,0.000830539
