,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.06088e-06,3.31525e-08,1.0,1.00608e-06,3.144e-08,1.0544688295165394,0.000138873,4.33978125e-06,0.007639209925615491,0.000145689,4.55278125e-06,0.007281812628269807
1,6,64,1.09476e-06,1.7105625e-08,1.0,1.4578e-06,2.2778125e-08,0.7509672108656881,0.000433378,6.77153125e-06,0.0025261088472419,0.00043089,6.73265625e-06,0.002540694840910673
2,7,128,1.90616e-06,1.4891875e-08,1.0,2.51958e-06,1.968421875e-08,0.7565387882107336,0.00132104,1.0320625e-05,0.0014429237570399078,0.00128547,1.0042734375e-05,0.0014828506305086856
3,8,256,3.56232e-06,1.39153125e-08,1.0,4.55874e-06,1.7807578125e-08,0.7814264467813474,0.0013138,5.13203125e-06,0.002711462931953113,0.00133297,5.2069140625e-06,0.00267246824759747
4,9,512,6.85252e-06,1.3383828125e-08,1.0,8.74178e-06,1.70737890625e-08,0.7838815435757934,0.00130966,2.5579296875e-06,0.005232289296458623,0.0013137,2.5658203125e-06,0.005216198523254929
5,10,1024,1.35441e-05,1.322666015625e-08,1.0,1.70984e-05,1.669765625e-08,0.7921267487016329,0.00133004,1.2988671875e-06,0.010183227572103094,0.00131639,1.285537109375e-06,0.010288820182468721
6,11,2048,2.67712e-05,1.3071875e-08,1.0,3.39812e-05,1.65923828125e-08,0.7878238555436535,0.00129374,6.31708984375e-07,0.020692874920772333,0.00130219,6.358349609375e-07,0.02055859743969774
7,12,4096,5.325e-05,1.300048828125e-08,1.0,6.73209e-05,1.64357666015625e-08,0.7909876427676993,0.00122836,2.99892578125e-07,0.043350483571591394,0.00126578,3.090283203125e-07,0.04206892192956122
8,13,8192,0.000106505,1.30010986328125e-08,1.0,0.000134469,1.64146728515625e-08,0.7920412883266775,0.00125729,1.53477783203125e-07,0.08470997144652387,0.00129302,1.5783935546875e-07,0.08236918222455956
9,14,16384,0.000212714,1.29830322265625e-08,1.0,0.00026893,1.64141845703125e-08,0.7909641914252779,0.00123792,7.5556640625e-08,0.171831782344578,0.00124081,7.57330322265625e-08,0.17143156486488664
10,15,32768,0.000424826,1.296466064453125e-08,1.0,0.000538156,1.64232177734375e-08,0.7894105055039802,0.00124232,3.791259765625e-08,0.3419618133814154,0.00124152,3.788818359375e-08,0.34218216379921385
11,16,65536,0.000851343,1.2990463256835937e-08,1.0,0.00107359,1.6381683349609374e-08,0.7929870807291425,0.00120258,1.834991455078125e-08,0.7079304495335029,0.00128912,1.967041015625e-08,0.6604063236936825
12,17,131072,0.00170503,1.3008346557617187e-08,1.0,0.00215181,1.6417007446289063e-08,0.7923701442041815,0.00128174,9.778900146484375e-09,1.330246383821992,0.00126793,9.673538208007813e-09,1.344735119446657
13,18,262144,0.00340562,1.2991409301757812e-08,1.0,0.00430487,1.6421775817871093e-08,0.7911086745941225,0.00122633,4.6780776977539066e-09,2.7770828406709445,0.00118067,4.503898620605469e-09,2.8844808456215536
14,19,524288,0.0068201,1.3008308410644531e-08,1.0,0.00863972,1.6478958129882813e-08,0.7893890079771103,0.001133,2.1610260009765623e-09,6.019505736981466,0.000944079,1.8006877899169922e-09,7.224077646044452
15,20,1048576,0.0136031,1.297292709350586e-08,1.0,0.0172134,1.6415977478027344e-08,0.790262237559111,0.000933269,8.900346755981446e-10,14.575754685947995,0.000862549,8.225908279418945e-10,15.770814179832103
